theta_over_pi,level,inverse_xi,momentum,flux_label
0,2,0.64496792282187987,0,"QN(""Sz"",0)"
0.10000000000000001,2,0.62684345734476921,6.0219358727967319e-16,"QN(""Sz"",0)"
0.20000000000000001,2,0.57465918870499688,5.977716127468458e-17,"QN(""Sz"",0)"
0.29999999999999999,2,0.49300768002851025,2.041212060562771e-17,"QN(""Sz"",0)"
0.40000000000000002,2,0.35916445481633585,-1.4666763624345457e-15,"QN(""Sz"",0)"
0.5,2,0.38870434325730902,2.3228814160548805e-16,"QN(""Sz"",0)"
0.59999999999999998,2,0.43442139000672492,1.90042096610056e-15,"QN(""Sz"",0)"
0.69999999999999996,2,0.47743343180371528,1.0280201858685446e-15,"QN(""Sz"",0)"
0,3,0.66582843398526248,1.0904865548671157,"QN(""Sz"",0)"
0.10000000000000001,3,0.65821701014092227,1.0918456517758079,"QN(""Sz"",0)"
0.20000000000000001,3,0.63717698234122755,1.0965314514392883,"QN(""Sz"",0)"
0.29999999999999999,3,0.60380234063398064,1.1051051695030147,"QN(""Sz"",0)"
0.40000000000000002,3,0.59258305114367826,1.118599228187237,"QN(""Sz"",0)"
0.5,3,0.5967907724030086,-3.9593296192749576e-15,"QN(""Sz"",0)"
0.59999999999999998,3,0.63937372120752622,2.843043594246716,"QN(""Sz"",0)"
0.69999999999999996,3,0.63153811884825894,2.8418349822753193,"QN(""Sz"",0)"
0,4,0.66582843398526248,-1.0904865548671157,"QN(""Sz"",0)"
0.10000000000000001,4,0.65821701014092893,-1.0918456517758073,"QN(""Sz"",0)"
0.20000000000000001,4,0.63717698234123654,-1.0965314514392897,"QN(""Sz"",0)"
0.29999999999999999,4,0.60380234063399674,-1.1051051695030141,"QN(""Sz"",0)"
0.40000000000000002,4,0.59258305114369236,-1.1185992281872339,"QN(""Sz"",0)"
0.5,4,0.64976019286680853,-2.8452329307198383,"QN(""Sz"",0)"
0.59999999999999998,4,0.63937372120753488,-2.843043594246712,"QN(""Sz"",0)"
0.69999999999999996,4,0.63153811884826394,-2.8418349822753148,"QN(""Sz"",0)"
0,5,0.90213627104741412,0,"QN(""Sz"",0)"
0.10000000000000001,5,0.89324344084390128,9.6244951387841569e-16,"QN(""Sz"",0)"
0.20000000000000001,5,0.86642209627482603,4.5263708972270329e-16,"QN(""Sz"",0)"
0.29999999999999999,5,0.81818321177572728,1.57955365501988e-15,"QN(""Sz"",0)"
0.40000000000000002,5,0.70123424917512511,1.5350786406377037e-15,"QN(""Sz"",0)"
0.5,5,0.64976019286681685,2.8452329307198414,"QN(""Sz"",0)"
0.59999999999999998,5,0.65343684370550159,2.2155473500223111,"QN(""Sz"",0)"
0.69999999999999996,5,0.65559476935578842,-2.2138362868698511,"QN(""Sz"",0)"
