theta_over_pi,level,inverse_xi,momentum,flux_label
0,2,1.4578710525956771,0,"QN(""Sz"",0)"
0.10000000000000001,2,1.414051647128487,-8.6113548175701555e-16,"QN(""Sz"",0)"
0.20000000000000001,2,1.3438475780178347,1.1364489123814426e-15,"QN(""Sz"",0)"
0.29999999999999999,2,1.2423947086893969,-8.1017025316177301e-16,"QN(""Sz"",0)"
0.40000000000000002,2,1.123256199875011,-5.3122513997060206e-16,"QN(""Sz"",0)"
0.5,2,1.0174459117246677,3.3490303207852333e-16,"QN(""Sz"",0)"
0.59999999999999998,2,0.90583185156127288,5.8513446617406641e-16,"QN(""Sz"",0)"
0.69999999999999996,2,1.2068727543706572,1.3229049325521926e-15,"QN(""Sz"",0)"
0.80000000000000004,2,1.3339590375652413,-2.7471096954640517,"QN(""Sz"",0)"
0.90000000000000002,2,1.311388028690754,2.747840670978551,"QN(""Sz"",0)"
1,2,1.303082654939683,-2.7482617438220807,"QN(""Sz"",0)"
0,3,1.5492534105715141,3.1415926535897931,"QN(""Sz"",0)"
0.10000000000000001,3,1.568181422056643,3.1415926535897913,"QN(""Sz"",0)"
0.20000000000000001,3,1.6482739665183226,1.3902689257336329,"QN(""Sz"",0)"
0.29999999999999999,3,1.6347785144163434,1.4002025992710725,"QN(""Sz"",0)"
0.40000000000000002,3,1.6126061371941218,1.4517239008281269,"QN(""Sz"",0)"
0.5,3,1.5973376089003704,1.4903660304965616,"QN(""Sz"",0)"
0.59999999999999998,3,1.6403996489982859,2.733898289077124,"QN(""Sz"",0)"
0.69999999999999996,3,1.373554079800154,2.7505420202219639,"QN(""Sz"",0)"
0.80000000000000004,3,1.3339590375652426,2.7471096954640517,"QN(""Sz"",0)"
0.90000000000000002,3,1.3113880286907549,-2.7478406709785501,"QN(""Sz"",0)"
1,3,1.3030826549396839,2.7482617438220798,"QN(""Sz"",0)"
0,4,1.6366395061438999,3.1415926535897931,"QN(""Sz"",0)"
0.10000000000000001,4,1.630338449959182,-3.1415926535897931,"QN(""Sz"",0)"
0.20000000000000001,4,1.6482739665183272,-1.3902689257336265,"QN(""Sz"",0)"
0.29999999999999999,4,1.6347785144163438,-1.4002025992710763,"QN(""Sz"",0)"
0.40000000000000002,4,1.612606137194122,-1.4517239008281289,"QN(""Sz"",0)"
0.5,4,1.5973376089003715,-1.4903660304965607,"QN(""Sz"",0)"
0.59999999999999998,4,1.6403996489982871,-2.7338982890771195,"QN(""Sz"",0)"
0.69999999999999996,4,1.3735540798001606,-2.7505420202219613,"QN(""Sz"",0)"
0.80000000000000004,4,1.3514436298153594,2.0647520835211104,"QN(""Sz"",0)"
0.90000000000000002,4,1.3261093732872862,-2.0663444084517888,"QN(""Sz"",0)"
1,4,1.3172959622268827,2.0668638337851064,"QN(""Sz"",0)"
0,5,1.6489400958077902,1.3779011541173967,"QN(""Sz"",0)"
0.10000000000000001,5,1.6581831260286781,-1.3880209482266508,"QN(""Sz"",0)"
0.20000000000000001,5,1.6534666321692346,-3.0880355733236096,"QN(""Sz"",0)"
0.29999999999999999,5,1.6953536171185797,-2.9835486575686523,"QN(""Sz"",0)"
0.40000000000000002,5,1.7280649607694041,2.8246686171429065,"QN(""Sz"",0)"
0.5,5,1.7013798236937432,-2.7923745249708936,"QN(""Sz"",0)"
0.59999999999999998,5,1.6466269082294547,-1.5329540840234999,"QN(""Sz"",0)"
0.69999999999999996,5,1.4430800952337735,-2.0628490549760707,"QN(""Sz"",0)"
0.80000000000000004,5,1.3514436298153643,-2.0647520835211091,"QN(""Sz"",0)"
0.90000000000000002,5,1.3261093732872895,2.0663444084517892,"QN(""Sz"",0)"
1,5,1.3172959622268925,-2.066863833785106,"QN(""Sz"",0)"
0,6,1.6489400958077902,-1.3779011541173967,"QN(""Sz"",0)"
0.10000000000000001,6,1.6581831260286806,1.3880209482266475,"QN(""Sz"",0)"
0.20000000000000001,6,1.6534666321692362,3.0880355733236096,"QN(""Sz"",0)"
0.29999999999999999,6,1.6953536171185821,2.9835486575686505,"QN(""Sz"",0)"
0.40000000000000002,6,1.7280649607694079,-2.8246686171429087,"QN(""Sz"",0)"
0.5,6,1.7013798236937483,2.7923745249708936,"QN(""Sz"",0)"
0.59999999999999998,6,1.646626908229458,1.5329540840235023,"QN(""Sz"",0)"
0.69999999999999996,6,1.4430800952337761,2.0628490549760707,"QN(""Sz"",0)"
0.80000000000000004,6,1.4496962906414985,-6.6994111650609915e-16,"QN(""Sz"",0)"
0.90000000000000002,6,1.5416527120203898,2.9584335321515805e-16,"QN(""Sz"",0)"
1,6,1.5773409442126785,-3.7482597855599189e-16,"QN(""Sz"",0)"
0,7,1.8811382326249471,2.0742116240440929,"QN(""Sz"",0)"
0.10000000000000001,7,1.8809933387505711,2.0703331271632717,"QN(""Sz"",0)"
0.20000000000000001,7,1.8705887234617165,2.0537439770450523,"QN(""Sz"",0)"
0.29999999999999999,7,1.8460050755365673,2.0318218757277986,"QN(""Sz"",0)"
0.40000000000000002,7,1.8005007779904425,2.0120971187656114,"QN(""Sz"",0)"
0.5,7,1.7630073545305189,2.0076705140567621,"QN(""Sz"",0)"
0.59999999999999998,7,1.6523632818604161,-1.9963173540002408,"QN(""Sz"",0)"
0.69999999999999996,7,1.7307506039842879,-3.9726582358377977e-16,"QN(""Sz"",0)"
0.80000000000000004,7,1.7506628448431303,5.9335857215607627e-16,"QN(""Sz"",0)"
0.90000000000000002,7,1.8043330551549741,-2.5440941933916167e-15,"QN(""Sz"",0)"
1,7,1.8402033057181018,8.3478035173645301e-16,"QN(""Sz"",0)"
0,8,1.8811382326249471,-2.0742116240440929,"QN(""Sz"",0)"
0.10000000000000001,8,1.8809933387505784,-2.0703331271632699,"QN(""Sz"",0)"
0.20000000000000001,8,1.870588723461722,-2.0537439770450536,"QN(""Sz"",0)"
0.29999999999999999,8,1.8460050755365698,-2.0318218757277959,"QN(""Sz"",0)"
0.40000000000000002,8,1.8005007779904434,-2.0120971187656123,"QN(""Sz"",0)"
0.5,8,1.7630073545305258,-2.0076705140567581,"QN(""Sz"",0)"
0.59999999999999998,8,1.6523632818604186,1.9963173540002426,"QN(""Sz"",0)"
0.69999999999999996,8,2.0946768932832147,4.5277813334639379e-16,"QN(""Sz"",0)"
0.80000000000000004,8,2.0244023371365767,1.7284516494511674e-15,"QN(""Sz"",0)"
0.90000000000000002,8,1.9846832140514763,-3.0822623266802567e-16,"QN(""Sz"",0)"
1,8,1.9637273861346529,1.8232670375595755e-14,"QN(""Sz"",0)"
0,9,2.0265630089491644,0,"QN(""Sz"",0)"
0.10000000000000001,9,2.0433953125486868,9.2906153402112013e-16,"QN(""Sz"",0)"
0.20000000000000001,9,2.0502580745509085,-0.53053853153500419,"QN(""Sz"",0)"
0.29999999999999999,9,2.0427751610799643,-0.54482954699422992,"QN(""Sz"",0)"
0.40000000000000002,9,2.0332219342071851,-0.59159958278132607,"QN(""Sz"",0)"
0.5,9,1.9839741131258932,-0.63133603386007509,"QN(""Sz"",0)"
0.59999999999999998,9,2.0512119472051462,-0.64702130554035509,"QN(""Sz"",0)"
0.69999999999999996,9,2.1514419422987121,-1.6110448539938318,"QN(""Sz"",0)"
0.80000000000000004,9,2.107940179612521,-4.2512254190392687e-15,"QN(""Sz"",0)"
0.90000000000000002,9,2.0537216787059474,-1.1684996844869716e-15,"QN(""Sz"",0)"
1,9,2.038772138849251,-1.5878229944092758e-12,"QN(""Sz"",0)"
0,10,2.0836782064413799,0.52455254024991738,"QN(""Sz"",0)"
0.10000000000000001,10,2.0637063933741255,-0.52095236996835148,"QN(""Sz"",0)"
0.20000000000000001,10,2.0502580745509116,0.53053853153500352,"QN(""Sz"",0)"
0.29999999999999999,10,2.0427751610799656,0.54482954699423247,"QN(""Sz"",0)"
0.40000000000000002,10,2.0332219342071878,0.59159958278132685,"QN(""Sz"",0)"
0.5,10,1.9839741131259032,0.6313360338600722,"QN(""Sz"",0)"
0.59999999999999998,10,2.0512119472051542,0.64702130554034998,"QN(""Sz"",0)"
0.69999999999999996,10,2.1514419422987179,1.6110448539938309,"QN(""Sz"",0)"
0.80000000000000004,10,2.1527061425796319,0.80779688350670475,"QN(""Sz"",0)"
0.90000000000000002,10,2.1444110631090227,-0.82126579132863442,"QN(""Sz"",0)"
1,10,2.1421978617225301,-0.83599819907729489,"QN(""Sz"",0)"
0,11,2.0836782064413799,-0.52455254024991738,"QN(""Sz"",0)"
0.10000000000000001,11,2.0637063933741269,0.52095236996835259,"QN(""Sz"",0)"
0.20000000000000001,11,2.0668153088231414,1.6430397140891934e-16,"QN(""Sz"",0)"
0.29999999999999999,11,2.1000247102557212,-1.210546025788571e-15,"QN(""Sz"",0)"
0.40000000000000002,11,2.1580888993244045,2.8176084764577427e-15,"QN(""Sz"",0)"
0.5,11,2.2101978587281232,-3.4040106644278818e-14,"QN(""Sz"",0)"
0.59999999999999998,11,2.0627832338977372,2.4048741683767171e-13,"QN(""Sz"",0)"
0.69999999999999996,11,2.1997702349785455,0.78871490486709062,"QN(""Sz"",0)"
0.80000000000000004,11,2.1527061425796434,-0.80779688350670764,"QN(""Sz"",0)"
0.90000000000000002,11,2.1444110631090245,0.82126579132864075,"QN(""Sz"",0)"
1,11,2.1421978617248714,0.83599819907937301,"QN(""Sz"",0)"
0,12,2.1968591097960051,2.8437009229900063,"QN(""Sz"",0)"
0.10000000000000001,12,2.2193457838344308,-2.8241425498733892,"QN(""Sz"",0)"
0.20000000000000001,12,2.2824038142033496,-2.9507052250193944,"QN(""Sz"",0)"
0.29999999999999999,12,2.3455142004573162,-3.0859564513998943,"QN(""Sz"",0)"
0.40000000000000002,12,2.2264377094743519,2.7308764693599019,"QN(""Sz"",0)"
0.5,12,2.2543475142464442,-0.51247355877823009,"QN(""Sz"",0)"
0.59999999999999998,12,2.2014764145606964,-0.21908628941595401,"QN(""Sz"",0)"
0.69999999999999996,12,2.1997702349785517,-0.78871490486708695,"QN(""Sz"",0)"
0.80000000000000004,12,2.1850463669315907,-1.6867056494004053,"QN(""Sz"",0)"
0.90000000000000002,12,2.2000744040715645,-1.6628002981983425,"QN(""Sz"",0)"
1,12,2.2053857632069276,1.649618394314964,"QN(""Sz"",0)"
0,13,2.1968591097960051,-2.8437009229900063,"QN(""Sz"",0)"
0.10000000000000001,13,2.2193457838344348,2.8241425498733919,"QN(""Sz"",0)"
0.20000000000000001,13,2.2824038142033527,2.9507052250193921,"QN(""Sz"",0)"
