comparison_group,case,theta_over_pi,chi,mps_period,julia_threads,threading_backend,threaded_blocksparse,slurm_logical_cpus,requested_memory_gib,charged_physical_cores,iterations,mean_seconds_per_iteration,median_seconds_per_iteration,min_seconds_per_iteration,max_seconds_per_iteration,projected_node_hours_per_iteration,comparison_note
matched_chi512,Project B validation,0.0,512,2,2,blocksparse,true,4,8,3,1,381.741060556,381.741060556,381.741060556,381.741060556,0.002485293363,"One deliberately forced post-expansion iteration; residual 0.0069716645, so this is a kernel and memory validation rather than a converged solve"
matched_chi512,Legacy partial run,0.0,512,6,32,serial,false,69,128,35,40,408.951255819,397.950046110,357.811212271,827.207102007,0.031061835837,"Completed theta/pi=0 segment of Slurm job 54370665; last ten iterations averaged 388.843571302 seconds and the final residual was 1.5049519e-5"
legacy_flux_context,Legacy partial run,0.1,512,6,32,serial,false,69,128,35,20,1012.184093869,,773.854392169,2393.756488415,0.076880302269,"Finite-flux context only; not a matched Project B comparison"
legacy_flux_context,Legacy partial run,0.2,512,6,32,serial,false,69,128,35,20,1085.477870087,,796.913015978,2498.499650789,0.082447320862,"Finite-flux context only; not a matched Project B comparison"
legacy_flux_context,Legacy partial run,0.3,512,6,32,serial,false,69,128,35,20,1162.169279454,,841.183490970,2563.013317011,0.088272406209,"Finite-flux context only; not a matched Project B comparison"
legacy_flux_context,Legacy partial run,0.4,512,6,32,serial,false,69,128,35,20,1115.373932133,,1002.980594463,2656.708568117,0.084718072102,"Finite-flux context only; not a matched Project B comparison"
legacy_flux_context,Legacy partial run,0.5,512,6,32,serial,false,69,128,35,20,1005.596316948,,901.239523544,2743.695722490,0.076379928588,"Finite-flux context only; not a matched Project B comparison"
legacy_flux_context,Legacy partial run,0.6,512,6,32,serial,false,69,128,35,20,997.564961185,,817.585006960,2333.687427549,0.075769908076,"Finite-flux context only; not a matched Project B comparison"
legacy_flux_context,Legacy partial run,0.7,512,6,32,serial,false,69,128,35,20,979.817976322,,858.157805636,2218.526565685,0.074421938306,"Finite-flux context only; not a matched Project B comparison"
