chi,theta_over_pi,last_residual,minimum_residual,tolerance,mean_entropy,energy_term_std,leading_inverse_xi
64,0.0,0.00037382382319735866,8.535439947556669e-6,1.0e-5,1.2561021096611336,0.13952539294243751,1.457871052595677
64,0.1,9.905644763572994e-5,9.905644763572994e-5,1.0e-5,1.2630245806630587,0.13857799582644525,1.414051647128487
64,0.2,2.5033265025427262e-5,2.5033265025427262e-5,1.0e-5,1.2821782311122276,0.13534653585414985,1.3438475780178347
64,0.3,6.113707876616498e-5,6.113707876616498e-5,1.0e-5,1.3130968809138273,0.13011529650789058,1.242394708689397
64,0.4,0.00045275202817611786,0.00045275202817611786,1.0e-5,1.3585227252559828,0.12194077607602509,1.123256199875011
64,0.5,9.323249369038347e-5,9.323249369038347e-5,1.0e-5,1.4186328328506665,0.1107293476952722,1.0174459117246677
64,0.6,0.00652408459287672,0.00474845611122018,1.0e-5,1.5286933461005516,0.08108082266554491,0.9058318515612729
64,0.7,0.0032313126927172534,0.0032313126927172534,1.0e-5,1.6949088790796436,0.011662238503553865,1.2068727543706572
64,0.8,0.0002243135755469802,0.0002243135755469802,1.0e-5,1.7443915858607237,0.0013993709582534783,1.3339590375652413
64,0.9,4.235906340452994e-5,4.235906340452994e-5,1.0e-5,1.7644475873187473,0.0008879169566549004,1.311388028690754
64,1.0,3.359017790204731e-5,3.359017790204731e-5,1.0e-5,1.7710384744843264,0.0008316508106578395,1.303082654939683
512,0.0,1.5049519006841564e-5,8.535439947556669e-6,1.0e-5,1.7046349287673221,0.10930770319761628,0.6449679228218799
512,0.1,1.0022235532016545e-5,1.0022235532016545e-5,1.0e-5,1.7189627950929978,0.10765214404599813,0.6268434573447692
512,0.2,1.1275575178923282e-5,1.1275575178923282e-5,1.0e-5,1.76301277940672,0.10254158088103275,0.5746591887049969
512,0.3,3.6758947843949544e-5,3.6758947843949544e-5,1.0e-5,1.8415665487998758,0.09342909877615563,0.49300768002851025
512,0.4,0.03920756081409963,0.005489197799576608,1.0e-5,2.1253459200755596,0.054367392227291624,0.35916445481633585
512,0.5,0.0025129519221989693,0.0025129519221989693,1.0e-5,2.4553299057619182,0.0012887445304246585,0.388704343257309
512,0.6,0.00011301255375363163,0.00011301255375363163,1.0e-5,2.429987989310078,0.00029920725331720885,0.4344213900067249
512,0.7,1.0873267215565212e-5,1.0873267215565212e-5,1.0e-5,2.41213353633755,0.00020311519407943424,0.4774334318037153
