After sweep 1 energy=-286.19315  maxlinkdim=4 maxerr=9.26E-07 time=19.046
After sweep 2 energy=-293.633  maxlinkdim=16 maxerr=9.97E-07 time=1.303
After sweep 3 energy=-295.74866  maxlinkdim=38 maxerr=1.00E-06 time=1.475
After sweep 4 energy=-296.50696  maxlinkdim=72 maxerr=9.98E-07 time=1.756
After sweep 5 energy=-296.94244  maxlinkdim=109 maxerr=1.00E-06 time=1.723
After sweep 6 energy=-297.1406  maxlinkdim=144 maxerr=1.00E-06 time=2.032
After sweep 7 energy=-297.23065  maxlinkdim=194 maxerr=1.00E-06 time=2.606
After sweep 8 energy=-297.29803  maxlinkdim=229 maxerr=1.00E-06 time=3.141
After sweep 9 energy=-297.3272  maxlinkdim=289 maxerr=1.00E-06 time=3.806
After sweep 10 energy=-297.34735  maxlinkdim=333 maxerr=1.00E-06 time=4.897
After sweep 11 energy=-297.35898  maxlinkdim=376 maxerr=1.00E-06 time=5.965
After sweep 12 energy=-297.3693  maxlinkdim=415 maxerr=1.00E-06 time=6.995
After sweep 13 energy=-297.37518  maxlinkdim=439 maxerr=1.00E-06 time=7.452
After sweep 14 energy=-297.37918  maxlinkdim=460 maxerr=1.00E-06 time=8.023
After sweep 15 energy=-297.38226  maxlinkdim=477 maxerr=1.00E-06 time=8.373
After sweep 16 energy=-297.3833  maxlinkdim=491 maxerr=1.00E-06 time=8.595
After sweep 17 energy=-297.38605  maxlinkdim=501 maxerr=1.00E-06 time=8.716
After sweep 18 energy=-297.38577  maxlinkdim=508 maxerr=1.00E-06 time=8.993
After sweep 19 energy=-297.3886  maxlinkdim=512 maxerr=1.01E-06 time=9.046
After sweep 20 energy=-297.38998  maxlinkdim=512 maxerr=1.04E-06 time=9.016
E0 = -297.38998
M = 147.99997
After sweep 1 energy=-286.5895  maxlinkdim=4 maxerr=9.24E-07 time=1.057
After sweep 2 energy=-293.88617  maxlinkdim=16 maxerr=9.94E-07 time=1.071
After sweep 3 energy=-295.84  maxlinkdim=36 maxerr=9.99E-07 time=1.541
After sweep 4 energy=-296.6238  maxlinkdim=63 maxerr=1.00E-06 time=1.819
After sweep 5 energy=-296.95364  maxlinkdim=100 maxerr=1.00E-06 time=1.702
After sweep 6 energy=-297.1157  maxlinkdim=146 maxerr=9.99E-07 time=2.078
After sweep 7 energy=-297.20956  maxlinkdim=204 maxerr=1.00E-06 time=2.529
After sweep 8 energy=-297.2734  maxlinkdim=254 maxerr=1.00E-06 time=3.124
After sweep 9 energy=-297.3055  maxlinkdim=300 maxerr=1.00E-06 time=3.924
After sweep 10 energy=-297.33182  maxlinkdim=343 maxerr=1.00E-06 time=5.072
After sweep 11 energy=-297.3527  maxlinkdim=367 maxerr=1.00E-06 time=6.204
After sweep 12 energy=-297.36752  maxlinkdim=381 maxerr=1.00E-06 time=6.894
After sweep 13 energy=-297.3807  maxlinkdim=413 maxerr=1.00E-06 time=7.358
After sweep 14 energy=-297.3859  maxlinkdim=443 maxerr=1.00E-06 time=7.655
After sweep 15 energy=-297.38684  maxlinkdim=473 maxerr=1.00E-06 time=7.845
After sweep 16 energy=-297.39197  maxlinkdim=502 maxerr=1.00E-06 time=7.989
After sweep 17 energy=-297.396  maxlinkdim=512 maxerr=1.13E-06 time=8.282
After sweep 18 energy=-297.40244  maxlinkdim=503 maxerr=1.01E-06 time=8.435
After sweep 19 energy=-297.41095  maxlinkdim=472 maxerr=1.00E-06 time=8.071
After sweep 20 energy=-297.4122  maxlinkdim=433 maxerr=1.00E-06 time=7.483
E0 = -297.4122
M = 148.00223
After sweep 1 energy=-286.858  maxlinkdim=4 maxerr=9.61E-07 time=1.140
After sweep 2 energy=-293.892  maxlinkdim=16 maxerr=9.92E-07 time=1.203
After sweep 3 energy=-295.7564  maxlinkdim=40 maxerr=1.00E-06 time=1.535
