After sweep 12 energy=-119.18739  maxlinkdim=512 maxerr=1.83E-05 time=12.073
After sweep 13 energy=-119.187126  maxlinkdim=512 maxerr=1.82E-05 time=12.579
After sweep 14 energy=-119.18657  maxlinkdim=512 maxerr=1.82E-05 time=11.810
After sweep 15 energy=-119.18689  maxlinkdim=512 maxerr=1.80E-05 time=11.840
After sweep 16 energy=-119.18713  maxlinkdim=512 maxerr=1.81E-05 time=11.832
After sweep 17 energy=-119.18754  maxlinkdim=512 maxerr=1.84E-05 time=11.854
After sweep 18 energy=-119.18725  maxlinkdim=512 maxerr=1.81E-05 time=12.043
After sweep 19 energy=-119.187584  maxlinkdim=512 maxerr=1.84E-05 time=12.040
After sweep 20 energy=-119.187294  maxlinkdim=512 maxerr=1.84E-05 time=12.047
E0 = -119.187294
M = 1.751548
After sweep 1 energy=-96.06508  maxlinkdim=4 maxerr=2.50E-07 time=1.215
After sweep 2 energy=-110.52649  maxlinkdim=16 maxerr=2.89E-07 time=1.267
After sweep 3 energy=-117.12544  maxlinkdim=64 maxerr=9.98E-07 time=1.973
After sweep 4 energy=-118.89185  maxlinkdim=235 maxerr=9.99E-07 time=2.911
After sweep 5 energy=-119.171295  maxlinkdim=512 maxerr=5.58E-06 time=8.051
After sweep 6 energy=-119.18716  maxlinkdim=512 maxerr=1.62E-05 time=11.784
After sweep 7 energy=-119.18661  maxlinkdim=512 maxerr=1.76E-05 time=11.768
After sweep 8 energy=-119.18677  maxlinkdim=512 maxerr=1.80E-05 time=11.770
After sweep 9 energy=-119.187  maxlinkdim=512 maxerr=1.81E-05 time=11.800
After sweep 10 energy=-119.187675  maxlinkdim=512 maxerr=1.81E-05 time=12.036
After sweep 11 energy=-119.187515  maxlinkdim=512 maxerr=1.80E-05 time=12.057
After sweep 12 energy=-119.187256  maxlinkdim=512 maxerr=1.80E-05 time=12.038
After sweep 13 energy=-119.18749  maxlinkdim=512 maxerr=1.83E-05 time=12.531
After sweep 14 energy=-119.18745  maxlinkdim=512 maxerr=1.81E-05 time=11.791
After sweep 15 energy=-119.18801  maxlinkdim=512 maxerr=1.82E-05 time=11.799
After sweep 16 energy=-119.1875  maxlinkdim=512 maxerr=1.82E-05 time=11.771
After sweep 17 energy=-119.18776  maxlinkdim=512 maxerr=1.82E-05 time=11.810
After sweep 18 energy=-119.187546  maxlinkdim=512 maxerr=1.83E-05 time=12.018
