After sweep 1 energy=-73.06872  maxlinkdim=4 maxerr=2.52E-07 time=18.307
After sweep 2 energy=-89.09352  maxlinkdim=16 maxerr=2.34E-07 time=1.255
After sweep 3 energy=-94.751  maxlinkdim=64 maxerr=7.20E-07 time=1.490
After sweep 4 energy=-95.74596  maxlinkdim=256 maxerr=2.87E-07 time=2.840
After sweep 5 energy=-95.878876  maxlinkdim=512 maxerr=4.49E-06 time=12.273
After sweep 6 energy=-96.047295  maxlinkdim=512 maxerr=1.19E-05 time=14.283
After sweep 7 energy=-96.098175  maxlinkdim=512 maxerr=3.98E-06 time=14.251
After sweep 8 energy=-96.09989  maxlinkdim=512 maxerr=3.96E-06 time=14.372
After sweep 9 energy=-96.101166  maxlinkdim=512 maxerr=4.05E-06 time=14.551
After sweep 10 energy=-96.10127  maxlinkdim=512 maxerr=4.09E-06 time=15.121
After sweep 11 energy=-96.10119  maxlinkdim=512 maxerr=4.05E-06 time=14.167
After sweep 12 energy=-96.10082  maxlinkdim=512 maxerr=4.13E-06 time=14.142
After sweep 13 energy=-96.101006  maxlinkdim=512 maxerr=4.12E-06 time=14.112
After sweep 14 energy=-96.10093  maxlinkdim=512 maxerr=4.05E-06 time=14.290
After sweep 15 energy=-96.10082  maxlinkdim=512 maxerr=4.07E-06 time=14.475
After sweep 16 energy=-96.10072  maxlinkdim=512 maxerr=4.10E-06 time=14.665
After sweep 17 energy=-96.10106  maxlinkdim=512 maxerr=4.05E-06 time=14.159
After sweep 18 energy=-96.10082  maxlinkdim=512 maxerr=4.11E-06 time=14.158
After sweep 19 energy=-96.101105  maxlinkdim=512 maxerr=4.09E-06 time=14.274
After sweep 20 energy=-96.10068  maxlinkdim=512 maxerr=4.06E-06 time=14.298
E0 = -96.10068
M = -1.4352438e-5
After sweep 1 energy=-75.6863  maxlinkdim=4 maxerr=2.53E-07 time=0.894
After sweep 2 energy=-89.71203  maxlinkdim=16 maxerr=3.01E-07 time=0.940
After sweep 3 energy=-94.84573  maxlinkdim=64 maxerr=1.01E-06 time=1.347
After sweep 4 energy=-95.99736  maxlinkdim=256 maxerr=3.40E-07 time=2.769
After sweep 5 energy=-96.096825  maxlinkdim=512 maxerr=2.34E-06 time=11.724
After sweep 6 energy=-96.10005  maxlinkdim=512 maxerr=3.85E-06 time=14.152
After sweep 7 energy=-96.10092  maxlinkdim=512 maxerr=4.03E-06 time=14.142
After sweep 8 energy=-96.10048  maxlinkdim=512 maxerr=4.15E-06 time=14.205
After sweep 9 energy=-96.10119  maxlinkdim=512 maxerr=4.09E-06 time=14.245
After sweep 10 energy=-96.10081  maxlinkdim=512 maxerr=4.03E-06 time=14.824
After sweep 11 energy=-96.10109  maxlinkdim=512 maxerr=4.05E-06 time=14.086
After sweep 12 energy=-96.10097  maxlinkdim=512 maxerr=4.15E-06 time=14.083
After sweep 13 energy=-96.101105  maxlinkdim=512 maxerr=4.07E-06 time=14.109
After sweep 14 energy=-96.10153  maxlinkdim=512 maxerr=4.08E-06 time=14.300
After sweep 15 energy=-96.1008  maxlinkdim=512 maxerr=4.03E-06 time=14.594
After sweep 16 energy=-96.10088  maxlinkdim=512 maxerr=4.06E-06 time=14.417
After sweep 17 energy=-96.10103  maxlinkdim=512 maxerr=4.09E-06 time=14.056
After sweep 18 energy=-96.10083  maxlinkdim=512 maxerr=4.17E-06 time=14.059
After sweep 19 energy=-96.100464  maxlinkdim=512 maxerr=4.04E-06 time=14.270
After sweep 20 energy=-96.10107  maxlinkdim=512 maxerr=4.06E-06 time=14.339
E0 = -96.10107
M = -1.3291576e-5
After sweep 1 energy=-75.44217  maxlinkdim=4 maxerr=2.49E-07 time=0.958
After sweep 2 energy=-89.50741  maxlinkdim=16 maxerr=7.72E-07 time=0.942
After sweep 3 energy=-94.84256  maxlinkdim=64 maxerr=5.56E-07 time=1.453
After sweep 4 energy=-95.779785  maxlinkdim=256 maxerr=2.38E-07 time=2.556
After sweep 5 energy=-96.08575  maxlinkdim=512 maxerr=2.98E-06 time=11.688
After sweep 6 energy=-96.09891  maxlinkdim=512 maxerr=3.79E-06 time=14.119
After sweep 7 energy=-96.1001  maxlinkdim=512 maxerr=3.99E-06 time=14.104
After sweep 8 energy=-96.10068  maxlinkdim=512 maxerr=4.05E-06 time=14.211
After sweep 9 energy=-96.100975  maxlinkdim=512 maxerr=4.08E-06 time=14.292
After sweep 10 energy=-96.100975  maxlinkdim=512 maxerr=4.14E-06 time=14.862
After sweep 11 energy=-96.10071  maxlinkdim=512 maxerr=4.12E-06 time=14.077
After sweep 12 energy=-96.100784  maxlinkdim=512 maxerr=4.16E-06 time=14.064
After sweep 13 energy=-96.10107  maxlinkdim=512 maxerr=4.29E-06 time=14.108
After sweep 14 energy=-96.10086  maxlinkdim=512 maxerr=4.04E-06 time=14.275
After sweep 15 energy=-96.10073  maxlinkdim=512 maxerr=4.16E-06 time=14.630
After sweep 16 energy=-96.10119  maxlinkdim=512 maxerr=4.08E-06 time=14.463
After sweep 17 energy=-96.10086  maxlinkdim=512 maxerr=4.07E-06 time=14.093
After sweep 18 energy=-96.10113  maxlinkdim=512 maxerr=3.99E-06 time=14.099
After sweep 19 energy=-96.100624  maxlinkdim=512 maxerr=4.02E-06 time=14.247
After sweep 20 energy=-96.101036  maxlinkdim=512 maxerr=4.07E-06 time=14.378
E0 = -96.101036
M = -9.4924435e-6
After sweep 1 energy=-74.99593  maxlinkdim=4 maxerr=2.17E-07 time=0.917
After sweep 2 energy=-89.55177  maxlinkdim=16 maxerr=3.52E-07 time=0.998
After sweep 3 energy=-94.8891  maxlinkdim=64 maxerr=7.43E-07 time=1.406
After sweep 4 energy=-95.78593  maxlinkdim=256 maxerr=2.48E-07 time=2.811
After sweep 5 energy=-95.886185  maxlinkdim=512 maxerr=4.44E-06 time=11.702
After sweep 6 energy=-96.08416  maxlinkdim=512 maxerr=1.23E-05 time=14.127
After sweep 7 energy=-96.0989  maxlinkdim=512 maxerr=3.91E-06 time=14.111
After sweep 8 energy=-96.10095  maxlinkdim=512 maxerr=4.05E-06 time=14.212
After sweep 9 energy=-96.10089  maxlinkdim=512 maxerr=4.13E-06 time=14.287
After sweep 10 energy=-96.100395  maxlinkdim=512 maxerr=4.07E-06 time=14.911
After sweep 11 energy=-96.100876  maxlinkdim=512 maxerr=4.11E-06 time=14.114
After sweep 12 energy=-96.10078  maxlinkdim=512 maxerr=4.07E-06 time=14.105
After sweep 13 energy=-96.10086  maxlinkdim=512 maxerr=4.10E-06 time=14.141
After sweep 14 energy=-96.10098  maxlinkdim=512 maxerr=4.14E-06 time=14.316
After sweep 15 energy=-96.1008  maxlinkdim=512 maxerr=4.12E-06 time=14.545
After sweep 16 energy=-96.100655  maxlinkdim=512 maxerr=4.03E-06 time=14.478
After sweep 17 energy=-96.10069  maxlinkdim=512 maxerr=4.26E-06 time=14.098
After sweep 18 energy=-96.10064  maxlinkdim=512 maxerr=4.12E-06 time=14.096
After sweep 19 energy=-96.100624  maxlinkdim=512 maxerr=4.06E-06 time=14.299
After sweep 20 energy=-96.10067  maxlinkdim=512 maxerr=4.08E-06 time=14.352
E0 = -96.10067
M = -1.0556916e-5
After sweep 1 energy=-74.947426  maxlinkdim=4 maxerr=2.81E-07 time=0.924
After sweep 2 energy=-88.988365  maxlinkdim=16 maxerr=2.78E-07 time=1.007
After sweep 3 energy=-94.801346  maxlinkdim=64 maxerr=5.84E-07 time=1.417
After sweep 4 energy=-95.75966  maxlinkdim=256 maxerr=4.41E-07 time=2.819
After sweep 5 energy=-95.875  maxlinkdim=512 maxerr=4.46E-06 time=11.702
After sweep 6 energy=-96.02064  maxlinkdim=512 maxerr=1.40E-05 time=14.157
After sweep 7 energy=-96.098305  maxlinkdim=512 maxerr=3.88E-06 time=14.125
