After sweep 1 energy=-424.62054  maxlinkdim=4 maxerr=9.83E-07 time=18.657
After sweep 2 energy=-427.39392  maxlinkdim=10 maxerr=9.96E-07 time=1.170
After sweep 3 energy=-427.5313  maxlinkdim=9 maxerr=9.94E-07 time=1.082
After sweep 4 energy=-427.54538  maxlinkdim=9 maxerr=9.95E-07 time=1.168
After sweep 5 energy=-427.54663  maxlinkdim=9 maxerr=1.00E-06 time=1.129
After sweep 6 energy=-427.54788  maxlinkdim=8 maxerr=9.95E-07 time=1.155
After sweep 7 energy=-427.54562  maxlinkdim=8 maxerr=9.54E-07 time=1.143
After sweep 8 energy=-427.54645  maxlinkdim=8 maxerr=9.96E-07 time=1.164
After sweep 9 energy=-427.5463  maxlinkdim=8 maxerr=9.88E-07 time=1.165
After sweep 10 energy=-427.544  maxlinkdim=8 maxerr=9.97E-07 time=1.198
After sweep 11 energy=-427.54788  maxlinkdim=8 maxerr=1.00E-06 time=1.159
After sweep 12 energy=-427.5517  maxlinkdim=8 maxerr=9.83E-07 time=1.204
After sweep 13 energy=-427.5447  maxlinkdim=8 maxerr=9.58E-07 time=1.191
After sweep 14 energy=-427.5463  maxlinkdim=8 maxerr=9.89E-07 time=1.193
After sweep 15 energy=-427.54822  maxlinkdim=8 maxerr=9.67E-07 time=1.153
After sweep 16 energy=-427.547  maxlinkdim=8 maxerr=9.85E-07 time=1.211
After sweep 17 energy=-427.54208  maxlinkdim=8 maxerr=9.93E-07 time=1.203
After sweep 18 energy=-427.5489  maxlinkdim=8 maxerr=9.98E-07 time=1.133
After sweep 19 energy=-427.5472  maxlinkdim=8 maxerr=9.43E-07 time=1.205
After sweep 20 energy=-427.5478  maxlinkdim=8 maxerr=9.98E-07 time=1.160
E0 = -427.5478
M = -0.00026093455
After sweep 1 energy=-425.9619  maxlinkdim=4 maxerr=9.50E-07 time=1.117
After sweep 2 energy=-427.42032  maxlinkdim=8 maxerr=9.96E-07 time=1.313
After sweep 3 energy=-427.53207  maxlinkdim=8 maxerr=9.90E-07 time=1.206
After sweep 4 energy=-427.54688  maxlinkdim=9 maxerr=9.96E-07 time=1.242
After sweep 5 energy=-427.54764  maxlinkdim=9 maxerr=9.97E-07 time=1.244
After sweep 6 energy=-427.54395  maxlinkdim=8 maxerr=9.98E-07 time=1.183
After sweep 7 energy=-427.54614  maxlinkdim=8 maxerr=9.42E-07 time=1.226
After sweep 8 energy=-427.5478  maxlinkdim=8 maxerr=9.88E-07 time=1.251
After sweep 9 energy=-427.54816  maxlinkdim=8 maxerr=9.99E-07 time=1.162
After sweep 10 energy=-427.5489  maxlinkdim=8 maxerr=9.53E-07 time=1.215
After sweep 11 energy=-427.5484  maxlinkdim=8 maxerr=9.56E-07 time=1.249
After sweep 12 energy=-427.54654  maxlinkdim=8 maxerr=9.69E-07 time=1.177
After sweep 13 energy=-427.54755  maxlinkdim=8 maxerr=9.45E-07 time=1.263
After sweep 14 energy=-427.54544  maxlinkdim=8 maxerr=9.93E-07 time=1.189
After sweep 15 energy=-427.54834  maxlinkdim=8 maxerr=9.42E-07 time=1.239
After sweep 16 energy=-427.5483  maxlinkdim=8 maxerr=9.99E-07 time=1.170
After sweep 17 energy=-427.5455  maxlinkdim=8 maxerr=9.40E-07 time=1.286
After sweep 18 energy=-427.54755  maxlinkdim=8 maxerr=9.89E-07 time=1.218
After sweep 19 energy=-427.54813  maxlinkdim=8 maxerr=9.83E-07 time=1.264
After sweep 20 energy=-427.5468  maxlinkdim=8 maxerr=9.97E-07 time=1.193
E0 = -427.5468
M = -0.00042716743
After sweep 1 energy=-425.6236  maxlinkdim=4 maxerr=9.26E-07 time=1.139
After sweep 2 energy=-427.42102  maxlinkdim=9 maxerr=9.98E-07 time=1.339
After sweep 3 energy=-427.53006  maxlinkdim=8 maxerr=9.79E-07 time=1.205
After sweep 4 energy=-427.5473  maxlinkdim=9 maxerr=9.94E-07 time=1.201
After sweep 5 energy=-427.5496  maxlinkdim=9 maxerr=9.95E-07 time=1.242
After sweep 6 energy=-427.54672  maxlinkdim=8 maxerr=9.47E-07 time=1.230
After sweep 7 energy=-427.54495  maxlinkdim=8 maxerr=9.82E-07 time=1.169
After sweep 8 energy=-427.54385  maxlinkdim=8 maxerr=9.84E-07 time=1.249
After sweep 9 energy=-427.5449  maxlinkdim=8 maxerr=9.49E-07 time=1.236
After sweep 10 energy=-427.54544  maxlinkdim=8 maxerr=9.80E-07 time=1.180
After sweep 11 energy=-427.54913  maxlinkdim=8 maxerr=9.71E-07 time=1.262
After sweep 12 energy=-427.5464  maxlinkdim=8 maxerr=9.35E-07 time=1.181
After sweep 13 energy=-427.5519  maxlinkdim=8 maxerr=9.70E-07 time=1.268
After sweep 14 energy=-427.54648  maxlinkdim=8 maxerr=9.93E-07 time=1.181
After sweep 15 energy=-427.5499  maxlinkdim=8 maxerr=9.83E-07 time=1.249
After sweep 16 energy=-427.54712  maxlinkdim=8 maxerr=9.94E-07 time=1.185
After sweep 17 energy=-427.54385  maxlinkdim=8 maxerr=9.89E-07 time=1.247
After sweep 18 energy=-427.5471  maxlinkdim=8 maxerr=9.38E-07 time=1.172
After sweep 19 energy=-427.54727  maxlinkdim=8 maxerr=9.71E-07 time=1.259
After sweep 20 energy=-427.54572  maxlinkdim=8 maxerr=9.44E-07 time=1.177
E0 = -427.54572
M = 6.313365e-5
After sweep 1 energy=-425.521  maxlinkdim=4 maxerr=9.88E-07 time=1.116
After sweep 2 energy=-427.40955  maxlinkdim=8 maxerr=9.95E-07 time=1.377
After sweep 3 energy=-427.5296  maxlinkdim=8 maxerr=9.96E-07 time=1.157
After sweep 4 energy=-427.54352  maxlinkdim=9 maxerr=9.95E-07 time=1.190
After sweep 5 energy=-427.54764  maxlinkdim=9 maxerr=9.94E-07 time=1.241
After sweep 6 energy=-427.5467  maxlinkdim=8 maxerr=9.91E-07 time=1.204
After sweep 7 energy=-427.54575  maxlinkdim=9 maxerr=9.55E-07 time=1.143
After sweep 8 energy=-427.5459  maxlinkdim=8 maxerr=9.99E-07 time=1.165
After sweep 9 energy=-427.54672  maxlinkdim=8 maxerr=9.94E-07 time=1.227
After sweep 10 energy=-427.5465  maxlinkdim=8 maxerr=9.97E-07 time=1.164
After sweep 11 energy=-427.54822  maxlinkdim=8 maxerr=9.92E-07 time=1.249
After sweep 12 energy=-427.54813  maxlinkdim=8 maxerr=9.78E-07 time=1.163
After sweep 13 energy=-427.5456  maxlinkdim=8 maxerr=9.84E-07 time=1.236
After sweep 14 energy=-427.54636  maxlinkdim=8 maxerr=9.69E-07 time=1.255
After sweep 15 energy=-427.5476  maxlinkdim=8 maxerr=9.90E-07 time=1.164
After sweep 16 energy=-427.54922  maxlinkdim=8 maxerr=9.98E-07 time=1.242
After sweep 17 energy=-427.54736  maxlinkdim=8 maxerr=9.75E-07 time=1.219
After sweep 18 energy=-427.54782  maxlinkdim=8 maxerr=9.60E-07 time=1.271
After sweep 19 energy=-427.54623  maxlinkdim=8 maxerr=9.75E-07 time=1.161
After sweep 20 energy=-427.54736  maxlinkdim=8 maxerr=9.94E-07 time=1.169
E0 = -427.54736
M = -0.00011654783
After sweep 1 energy=-425.92023  maxlinkdim=4 maxerr=9.30E-07 time=1.128
After sweep 2 energy=-427.4207  maxlinkdim=8 maxerr=9.97E-07 time=1.396
After sweep 3 energy=-427.5326  maxlinkdim=9 maxerr=9.72E-07 time=1.238
After sweep 4 energy=-427.54532  maxlinkdim=9 maxerr=9.97E-07 time=1.212
After sweep 5 energy=-427.5469  maxlinkdim=9 maxerr=9.91E-07 time=1.171
After sweep 6 energy=-427.54474  maxlinkdim=8 maxerr=9.42E-07 time=1.215
After sweep 7 energy=-427.54965  maxlinkdim=8 maxerr=9.92E-07 time=1.216
After sweep 8 energy=-427.54752  maxlinkdim=8 maxerr=9.57E-07 time=1.134
After sweep 9 energy=-427.55008  maxlinkdim=8 maxerr=9.80E-07 time=1.216
After sweep 10 energy=-427.5491  maxlinkdim=8 maxerr=9.38E-07 time=1.156
After sweep 11 energy=-427.5475  maxlinkdim=8 maxerr=9.85E-07 time=1.208
After sweep 12 energy=-427.5478  maxlinkdim=8 maxerr=1.00E-06 time=1.134
