After sweep 1 energy=-111.489426  maxlinkdim=4 maxerr=0.00E+00 time=26.625
After sweep 2 energy=-125.32032  maxlinkdim=16 maxerr=0.00E+00 time=1.764
After sweep 3 energy=-130.06184  maxlinkdim=64 maxerr=0.00E+00 time=4.079
After sweep 4 energy=-131.09894  maxlinkdim=256 maxerr=0.00E+00 time=8.764
After sweep 5 energy=-131.34074  maxlinkdim=512 maxerr=5.78E-06 time=42.605
After sweep 6 energy=-131.45229  maxlinkdim=512 maxerr=1.52E-05 time=58.248
After sweep 7 energy=-131.55962  maxlinkdim=512 maxerr=2.17E-05 time=58.941
After sweep 8 energy=-131.61148  maxlinkdim=512 maxerr=1.95E-05 time=57.957
After sweep 9 energy=-131.62968  maxlinkdim=512 maxerr=1.47E-05 time=57.038
After sweep 10 energy=-131.6367  maxlinkdim=512 maxerr=1.18E-05 time=57.582
After sweep 11 energy=-131.64093  maxlinkdim=512 maxerr=1.02E-05 time=57.409
After sweep 12 energy=-131.64479  maxlinkdim=512 maxerr=9.54E-06 time=56.428
After sweep 13 energy=-131.64673  maxlinkdim=512 maxerr=9.44E-06 time=56.441
After sweep 14 energy=-131.6489  maxlinkdim=512 maxerr=9.30E-06 time=56.114
After sweep 15 energy=-131.6499  maxlinkdim=512 maxerr=9.20E-06 time=56.112
After sweep 16 energy=-131.6504  maxlinkdim=512 maxerr=9.12E-06 time=55.843
After sweep 17 energy=-131.65137  maxlinkdim=512 maxerr=9.11E-06 time=57.599
After sweep 18 energy=-131.65141  maxlinkdim=512 maxerr=9.07E-06 time=55.975
After sweep 19 energy=-131.65157  maxlinkdim=512 maxerr=9.11E-06 time=56.199
After sweep 20 energy=-131.65234  maxlinkdim=512 maxerr=9.15E-06 time=58.975
E0 = -131.65234
M = 28.000235
After sweep 1 energy=-110.9305  maxlinkdim=4 maxerr=0.00E+00 time=1.561
After sweep 2 energy=-125.14834  maxlinkdim=16 maxerr=0.00E+00 time=1.707
After sweep 3 energy=-130.00166  maxlinkdim=64 maxerr=0.00E+00 time=3.459
After sweep 4 energy=-131.07008  maxlinkdim=256 maxerr=0.00E+00 time=8.489
After sweep 5 energy=-131.37106  maxlinkdim=512 maxerr=5.72E-06 time=42.260
After sweep 6 energy=-131.50337  maxlinkdim=512 maxerr=1.47E-05 time=58.367
After sweep 7 energy=-131.56607  maxlinkdim=512 maxerr=2.05E-05 time=58.931
After sweep 8 energy=-131.60219  maxlinkdim=512 maxerr=1.64E-05 time=58.711
After sweep 9 energy=-131.61906  maxlinkdim=512 maxerr=1.34E-05 time=55.985
After sweep 10 energy=-131.63043  maxlinkdim=512 maxerr=1.21E-05 time=59.028
After sweep 11 energy=-131.63522  maxlinkdim=512 maxerr=1.06E-05 time=58.375
After sweep 12 energy=-131.63959  maxlinkdim=512 maxerr=1.00E-05 time=59.537
After sweep 13 energy=-131.64171  maxlinkdim=512 maxerr=9.64E-06 time=56.650
After sweep 14 energy=-131.64409  maxlinkdim=512 maxerr=9.54E-06 time=56.276
After sweep 15 energy=-131.64565  maxlinkdim=512 maxerr=9.45E-06 time=57.206
After sweep 16 energy=-131.64732  maxlinkdim=512 maxerr=9.27E-06 time=55.169
After sweep 17 energy=-131.6483  maxlinkdim=512 maxerr=9.21E-06 time=56.748
After sweep 18 energy=-131.64839  maxlinkdim=512 maxerr=9.27E-06 time=56.621
After sweep 19 energy=-131.64967  maxlinkdim=512 maxerr=9.22E-06 time=56.753
After sweep 20 energy=-131.64957  maxlinkdim=512 maxerr=9.18E-06 time=57.643
E0 = -131.64957
M = 28.000122
After sweep 1 energy=-111.89327  maxlinkdim=4 maxerr=0.00E+00 time=1.543
After sweep 2 energy=-125.162834  maxlinkdim=16 maxerr=0.00E+00 time=1.715
After sweep 3 energy=-130.17535  maxlinkdim=64 maxerr=0.00E+00 time=2.910
After sweep 4 energy=-131.19542  maxlinkdim=256 maxerr=0.00E+00 time=7.874
After sweep 5 energy=-131.43732  maxlinkdim=512 maxerr=6.01E-06 time=44.118
After sweep 6 energy=-131.52933  maxlinkdim=512 maxerr=1.59E-05 time=57.797
After sweep 7 energy=-131.57518  maxlinkdim=512 maxerr=2.54E-05 time=57.773
After sweep 8 energy=-131.60254  maxlinkdim=512 maxerr=1.79E-05 time=57.912
After sweep 9 energy=-131.61446  maxlinkdim=512 maxerr=1.34E-05 time=56.858
After sweep 10 energy=-131.6201  maxlinkdim=512 maxerr=9.93E-06 time=56.712
After sweep 11 energy=-131.62405  maxlinkdim=512 maxerr=9.70E-06 time=56.197
After sweep 12 energy=-131.62749  maxlinkdim=512 maxerr=9.79E-06 time=55.422
After sweep 13 energy=-131.63013  maxlinkdim=512 maxerr=9.61E-06 time=56.626
After sweep 14 energy=-131.63261  maxlinkdim=512 maxerr=9.59E-06 time=56.808
After sweep 15 energy=-131.63504  maxlinkdim=512 maxerr=9.51E-06 time=55.510
After sweep 16 energy=-131.63748  maxlinkdim=512 maxerr=9.45E-06 time=56.274
After sweep 17 energy=-131.63899  maxlinkdim=512 maxerr=9.33E-06 time=55.899
After sweep 18 energy=-131.64029  maxlinkdim=512 maxerr=9.30E-06 time=55.355
After sweep 19 energy=-131.64124  maxlinkdim=512 maxerr=9.29E-06 time=55.925
After sweep 20 energy=-131.64317  maxlinkdim=512 maxerr=9.37E-06 time=58.218
E0 = -131.64317
M = 28.000237
After sweep 1 energy=-110.531  maxlinkdim=4 maxerr=0.00E+00 time=1.521
After sweep 2 energy=-124.965576  maxlinkdim=16 maxerr=0.00E+00 time=1.723
After sweep 3 energy=-130.15111  maxlinkdim=64 maxerr=0.00E+00 time=2.907
After sweep 4 energy=-131.1348  maxlinkdim=256 maxerr=0.00E+00 time=7.901
After sweep 5 energy=-131.38025  maxlinkdim=512 maxerr=5.08E-06 time=41.938
After sweep 6 energy=-131.46248  maxlinkdim=512 maxerr=1.35E-05 time=56.930
After sweep 7 energy=-131.48697  maxlinkdim=512 maxerr=1.24E-05 time=57.034
After sweep 8 energy=-131.49435  maxlinkdim=512 maxerr=1.19E-05 time=59.330
After sweep 9 energy=-131.49777  maxlinkdim=512 maxerr=1.13E-05 time=57.038
After sweep 10 energy=-131.50095  maxlinkdim=512 maxerr=1.63E-05 time=56.321
After sweep 11 energy=-131.53468  maxlinkdim=512 maxerr=2.82E-05 time=56.747
After sweep 12 energy=-131.56947  maxlinkdim=512 maxerr=1.75E-05 time=56.169
After sweep 13 energy=-131.58003  maxlinkdim=512 maxerr=1.20E-05 time=56.479
After sweep 14 energy=-131.58534  maxlinkdim=512 maxerr=1.07E-05 time=56.301
After sweep 15 energy=-131.58852  maxlinkdim=512 maxerr=1.02E-05 time=55.414
After sweep 16 energy=-131.59239  maxlinkdim=512 maxerr=9.86E-06 time=55.503
After sweep 17 energy=-131.5943  maxlinkdim=512 maxerr=9.58E-06 time=56.513
After sweep 18 energy=-131.59602  maxlinkdim=512 maxerr=9.43E-06 time=55.156
After sweep 19 energy=-131.5972  maxlinkdim=512 maxerr=9.28E-06 time=56.143
After sweep 20 energy=-131.59811  maxlinkdim=512 maxerr=9.23E-06 time=56.638
E0 = -131.59811
M = 30.0003
After sweep 1 energy=-111.19767  maxlinkdim=4 maxerr=0.00E+00 time=1.563
After sweep 2 energy=-125.19033  maxlinkdim=16 maxerr=0.00E+00 time=1.738
After sweep 3 energy=-130.21446  maxlinkdim=64 maxerr=0.00E+00 time=2.836
After sweep 4 energy=-131.19086  maxlinkdim=256 maxerr=0.00E+00 time=7.941
After sweep 5 energy=-131.41203  maxlinkdim=512 maxerr=5.67E-06 time=41.952
After sweep 6 energy=-131.47719  maxlinkdim=512 maxerr=1.71E-05 time=56.931
After sweep 7 energy=-131.53871  maxlinkdim=512 maxerr=2.04E-05 time=56.414
After sweep 8 energy=-131.59459  maxlinkdim=512 maxerr=1.83E-05 time=56.497
After sweep 9 energy=-131.6105  maxlinkdim=512 maxerr=1.61E-05 time=56.538
After sweep 10 energy=-131.61732  maxlinkdim=512 maxerr=1.29E-05 time=56.614
After sweep 11 energy=-131.62369  maxlinkdim=512 maxerr=1.09E-05 time=55.958
After sweep 12 energy=-131.62749  maxlinkdim=512 maxerr=1.03E-05 time=55.607
After sweep 13 energy=-131.62984  maxlinkdim=512 maxerr=9.76E-06 time=56.015
After sweep 14 energy=-131.63373  maxlinkdim=512 maxerr=9.68E-06 time=55.611
After sweep 15 energy=-131.63556  maxlinkdim=512 maxerr=9.57E-06 time=55.921
After sweep 16 energy=-131.63702  maxlinkdim=512 maxerr=9.46E-06 time=55.739
After sweep 17 energy=-131.63885  maxlinkdim=512 maxerr=9.38E-06 time=56.835
After sweep 18 energy=-131.64009  maxlinkdim=512 maxerr=9.33E-06 time=56.022
After sweep 19 energy=-131.64148  maxlinkdim=512 maxerr=9.31E-06 time=56.011
After sweep 20 energy=-131.6427  maxlinkdim=512 maxerr=9.37E-06 time=55.873
E0 = -131.6427
M = 28.00017
After sweep 1 energy=-111.42837  maxlinkdim=4 maxerr=0.00E+00 time=1.519
After sweep 2 energy=-125.0719  maxlinkdim=16 maxerr=0.00E+00 time=1.720
After sweep 3 energy=-130.03264  maxlinkdim=64 maxerr=0.00E+00 time=2.809
After sweep 4 energy=-131.16354  maxlinkdim=256 maxerr=0.00E+00 time=7.963
After sweep 5 energy=-131.45035  maxlinkdim=512 maxerr=6.11E-06 time=43.145
After sweep 6 energy=-131.55698  maxlinkdim=512 maxerr=1.58E-05 time=58.077
After sweep 7 energy=-131.59789  maxlinkdim=512 maxerr=1.45E-05 time=58.038
After sweep 8 energy=-131.61552  maxlinkdim=512 maxerr=1.33E-05 time=56.937
After sweep 9 energy=-131.62694  maxlinkdim=512 maxerr=1.17E-05 time=56.756
After sweep 10 energy=-131.63275  maxlinkdim=512 maxerr=1.06E-05 time=56.262
After sweep 11 energy=-131.63983  maxlinkdim=512 maxerr=1.01E-05 time=55.661
After sweep 12 energy=-131.64294  maxlinkdim=512 maxerr=9.61E-06 time=55.966
After sweep 13 energy=-131.64581  maxlinkdim=512 maxerr=9.44E-06 time=56.206
After sweep 14 energy=-131.64885  maxlinkdim=512 maxerr=9.26E-06 time=55.600
After sweep 15 energy=-131.64917  maxlinkdim=512 maxerr=9.18E-06 time=56.899
After sweep 16 energy=-131.65001  maxlinkdim=512 maxerr=9.11E-06 time=55.818
After sweep 17 energy=-131.65092  maxlinkdim=512 maxerr=9.10E-06 time=56.196
After sweep 18 energy=-131.6516  maxlinkdim=512 maxerr=9.15E-06 time=55.001
After sweep 19 energy=-131.65276  maxlinkdim=512 maxerr=9.16E-06 time=55.384
After sweep 20 energy=-131.65266  maxlinkdim=512 maxerr=9.15E-06 time=55.572
E0 = -131.65266
M = 28.000204
After sweep 1 energy=-111.42703  maxlinkdim=4 maxerr=0.00E+00 time=1.475
After sweep 2 energy=-125.28688  maxlinkdim=16 maxerr=0.00E+00 time=1.815
After sweep 3 energy=-130.21613  maxlinkdim=64 maxerr=0.00E+00 time=3.012
After sweep 4 energy=-131.24197  maxlinkdim=256 maxerr=5.44E-18 time=8.493
After sweep 5 energy=-131.48524  maxlinkdim=512 maxerr=4.77E-06 time=41.325
After sweep 6 energy=-131.55563  maxlinkdim=512 maxerr=1.14E-05 time=56.165
After sweep 7 energy=-131.57802  maxlinkdim=512 maxerr=1.73E-05 time=56.128
After sweep 8 energy=-131.60376  maxlinkdim=512 maxerr=2.55E-05 time=56.175
After sweep 9 energy=-131.62906  maxlinkdim=512 maxerr=1.76E-05 time=56.123
After sweep 10 energy=-131.6372  maxlinkdim=512 maxerr=1.13E-05 time=57.052
After sweep 11 energy=-131.63951  maxlinkdim=512 maxerr=9.61E-06 time=55.518
After sweep 12 energy=-131.64256  maxlinkdim=512 maxerr=9.41E-06 time=55.169
After sweep 13 energy=-131.64432  maxlinkdim=512 maxerr=9.31E-06 time=55.429
After sweep 14 energy=-131.64592  maxlinkdim=512 maxerr=9.26E-06 time=55.161
