After sweep 1 energy=-150.36462  maxlinkdim=4 maxerr=0.00E+00 time=26.236
After sweep 2 energy=-166.6902  maxlinkdim=16 maxerr=0.00E+00 time=1.813
After sweep 3 energy=-172.01208  maxlinkdim=64 maxerr=0.00E+00 time=2.895
After sweep 4 energy=-173.52087  maxlinkdim=256 maxerr=6.16E-17 time=9.243
After sweep 5 energy=-173.63298  maxlinkdim=512 maxerr=5.42E-08 time=38.813
After sweep 6 energy=-173.66791  maxlinkdim=512 maxerr=2.52E-07 time=50.471
After sweep 7 energy=-173.70027  maxlinkdim=512 maxerr=8.15E-07 time=51.663
After sweep 8 energy=-173.9041  maxlinkdim=512 maxerr=5.40E-07 time=51.120
After sweep 9 energy=-174.40498  maxlinkdim=512 maxerr=9.33E-07 time=51.636
After sweep 10 energy=-174.78163  maxlinkdim=512 maxerr=1.41E-06 time=51.741
After sweep 11 energy=-175.06407  maxlinkdim=512 maxerr=2.35E-06 time=50.819
After sweep 12 energy=-175.24075  maxlinkdim=512 maxerr=9.86E-07 time=51.518
After sweep 13 energy=-175.25267  maxlinkdim=512 maxerr=3.86E-07 time=51.837
After sweep 14 energy=-175.25377  maxlinkdim=512 maxerr=8.32E-07 time=52.354
After sweep 15 energy=-175.25697  maxlinkdim=512 maxerr=8.37E-07 time=54.645
After sweep 16 energy=-175.25787  maxlinkdim=512 maxerr=9.47E-07 time=53.282
After sweep 17 energy=-175.25838  maxlinkdim=512 maxerr=8.69E-07 time=53.548
After sweep 18 energy=-175.25783  maxlinkdim=512 maxerr=8.88E-07 time=54.108
After sweep 19 energy=-175.25998  maxlinkdim=512 maxerr=9.27E-07 time=52.365
After sweep 20 energy=-175.25906  maxlinkdim=512 maxerr=8.97E-07 time=52.922
E0 = -175.25906
M = 74.0
After sweep 1 energy=-151.75316  maxlinkdim=4 maxerr=0.00E+00 time=1.736
After sweep 2 energy=-166.2641  maxlinkdim=16 maxerr=0.00E+00 time=1.775
After sweep 3 energy=-171.72815  maxlinkdim=64 maxerr=0.00E+00 time=2.833
After sweep 4 energy=-174.12888  maxlinkdim=256 maxerr=5.43E-17 time=8.112
After sweep 5 energy=-174.34073  maxlinkdim=512 maxerr=2.53E-08 time=38.407
After sweep 6 energy=-174.39822  maxlinkdim=512 maxerr=2.97E-08 time=50.371
After sweep 7 energy=-174.42308  maxlinkdim=512 maxerr=2.15E-06 time=50.439
After sweep 8 energy=-174.44643  maxlinkdim=512 maxerr=1.12E-06 time=51.859
After sweep 9 energy=-174.4648  maxlinkdim=512 maxerr=7.58E-07 time=52.028
After sweep 10 energy=-174.47641  maxlinkdim=512 maxerr=9.23E-07 time=53.391
After sweep 11 energy=-174.48671  maxlinkdim=512 maxerr=8.00E-07 time=51.832
After sweep 12 energy=-174.49286  maxlinkdim=512 maxerr=8.92E-07 time=52.230
After sweep 13 energy=-175.5744  maxlinkdim=512 maxerr=8.45E-07 time=52.573
After sweep 14 energy=-175.61795  maxlinkdim=512 maxerr=7.77E-07 time=51.817
After sweep 15 energy=-175.62227  maxlinkdim=512 maxerr=4.90E-07 time=52.603
After sweep 16 energy=-175.62457  maxlinkdim=512 maxerr=5.34E-07 time=52.396
After sweep 17 energy=-175.62567  maxlinkdim=512 maxerr=6.07E-07 time=52.090
After sweep 18 energy=-175.62685  maxlinkdim=512 maxerr=8.65E-07 time=52.602
After sweep 19 energy=-175.62749  maxlinkdim=512 maxerr=5.45E-07 time=52.453
After sweep 20 energy=-175.62926  maxlinkdim=512 maxerr=4.91E-07 time=52.377
E0 = -175.62926
M = 77.99441
After sweep 1 energy=-151.38434  maxlinkdim=4 maxerr=0.00E+00 time=1.712
After sweep 2 energy=-165.4068  maxlinkdim=16 maxerr=0.00E+00 time=1.800
After sweep 3 energy=-171.61284  maxlinkdim=64 maxerr=0.00E+00 time=2.914
After sweep 4 energy=-173.95723  maxlinkdim=256 maxerr=0.00E+00 time=8.391
After sweep 5 energy=-174.32214  maxlinkdim=512 maxerr=1.24E-07 time=38.585
After sweep 6 energy=-174.4346  maxlinkdim=512 maxerr=7.60E-07 time=52.013
After sweep 7 energy=-174.46858  maxlinkdim=512 maxerr=8.26E-07 time=51.816
After sweep 8 energy=-174.48865  maxlinkdim=512 maxerr=1.00E-06 time=51.583
After sweep 9 energy=-174.71481  maxlinkdim=512 maxerr=5.34E-06 time=51.554
After sweep 10 energy=-174.822  maxlinkdim=512 maxerr=8.03E-07 time=52.124
After sweep 11 energy=-174.87155  maxlinkdim=512 maxerr=1.17E-06 time=51.977
After sweep 12 energy=-175.23758  maxlinkdim=512 maxerr=2.03E-06 time=52.571
After sweep 13 energy=-175.25336  maxlinkdim=512 maxerr=1.37E-06 time=53.382
After sweep 14 energy=-175.25594  maxlinkdim=512 maxerr=9.77E-07 time=52.670
After sweep 15 energy=-175.25735  maxlinkdim=512 maxerr=9.57E-07 time=52.597
After sweep 16 energy=-175.25835  maxlinkdim=512 maxerr=9.26E-07 time=53.261
After sweep 17 energy=-175.25839  maxlinkdim=512 maxerr=9.65E-07 time=52.226
After sweep 18 energy=-175.25786  maxlinkdim=512 maxerr=9.15E-07 time=52.743
After sweep 19 energy=-175.26051  maxlinkdim=512 maxerr=8.91E-07 time=52.931
After sweep 20 energy=-175.25954  maxlinkdim=512 maxerr=8.32E-07 time=54.109
E0 = -175.25954
M = 74.00026
After sweep 1 energy=-150.35643  maxlinkdim=4 maxerr=0.00E+00 time=1.455
After sweep 2 energy=-164.70418  maxlinkdim=16 maxerr=0.00E+00 time=1.823
After sweep 3 energy=-170.34695  maxlinkdim=64 maxerr=0.00E+00 time=3.040
After sweep 4 energy=-172.67027  maxlinkdim=256 maxerr=0.00E+00 time=7.784
After sweep 5 energy=-173.73955  maxlinkdim=512 maxerr=3.58E-08 time=38.589
After sweep 6 energy=-174.65564  maxlinkdim=512 maxerr=1.18E-07 time=50.643
After sweep 7 energy=-175.10062  maxlinkdim=512 maxerr=1.67E-07 time=52.007
After sweep 8 energy=-175.17624  maxlinkdim=512 maxerr=6.38E-08 time=51.127
After sweep 9 energy=-175.20471  maxlinkdim=512 maxerr=1.01E-07 time=51.616
After sweep 10 energy=-175.22191  maxlinkdim=512 maxerr=9.37E-08 time=52.117
