After sweep 1 energy=-153.96594  maxlinkdim=4 maxerr=2.22E-07 time=18.631
After sweep 2 energy=-167.39984  maxlinkdim=16 maxerr=9.80E-07 time=1.316
After sweep 3 energy=-170.37624  maxlinkdim=61 maxerr=1.00E-06 time=1.656
After sweep 4 energy=-171.32982  maxlinkdim=174 maxerr=1.00E-06 time=2.364
After sweep 5 energy=-171.9263  maxlinkdim=329 maxerr=1.00E-06 time=4.175
After sweep 6 energy=-172.07729  maxlinkdim=497 maxerr=1.00E-06 time=6.290
After sweep 7 energy=-172.13309  maxlinkdim=512 maxerr=2.00E-06 time=8.158
After sweep 8 energy=-172.15408  maxlinkdim=512 maxerr=1.68E-06 time=9.284
After sweep 9 energy=-172.15923  maxlinkdim=512 maxerr=1.19E-06 time=9.835
After sweep 10 energy=-172.16197  maxlinkdim=512 maxerr=1.09E-06 time=10.009
After sweep 11 energy=-172.1625  maxlinkdim=512 maxerr=1.23E-06 time=10.028
After sweep 12 energy=-172.1626  maxlinkdim=512 maxerr=1.30E-06 time=10.337
After sweep 13 energy=-172.16153  maxlinkdim=512 maxerr=1.31E-06 time=10.560
After sweep 14 energy=-172.16225  maxlinkdim=512 maxerr=1.34E-06 time=10.715
After sweep 15 energy=-172.1625  maxlinkdim=512 maxerr=1.35E-06 time=10.894
After sweep 16 energy=-172.16263  maxlinkdim=512 maxerr=1.33E-06 time=11.612
After sweep 17 energy=-172.16302  maxlinkdim=512 maxerr=1.33E-06 time=10.871
After sweep 18 energy=-172.16312  maxlinkdim=512 maxerr=1.34E-06 time=10.990
After sweep 19 energy=-172.16391  maxlinkdim=512 maxerr=1.32E-06 time=11.093
After sweep 20 energy=-172.16333  maxlinkdim=512 maxerr=1.32E-06 time=11.159
E0 = -172.16333
M = -0.2801584
After sweep 1 energy=-155.64076  maxlinkdim=4 maxerr=2.73E-07 time=1.055
After sweep 2 energy=-167.17482  maxlinkdim=16 maxerr=9.82E-07 time=1.132
After sweep 3 energy=-170.34894  maxlinkdim=61 maxerr=9.98E-07 time=1.833
After sweep 4 energy=-171.23561  maxlinkdim=175 maxerr=1.00E-06 time=2.369
After sweep 5 energy=-171.79492  maxlinkdim=363 maxerr=1.00E-06 time=4.549
After sweep 6 energy=-172.19424  maxlinkdim=512 maxerr=2.02E-06 time=7.758
After sweep 7 energy=-172.37859  maxlinkdim=439 maxerr=1.00E-06 time=7.334
After sweep 8 energy=-172.41054  maxlinkdim=507 maxerr=1.00E-06 time=7.198
After sweep 9 energy=-172.4164  maxlinkdim=512 maxerr=1.22E-06 time=7.841
After sweep 10 energy=-172.41748  maxlinkdim=512 maxerr=1.29E-06 time=8.168
After sweep 11 energy=-172.41728  maxlinkdim=512 maxerr=1.35E-06 time=8.467
After sweep 12 energy=-172.41884  maxlinkdim=512 maxerr=1.45E-06 time=8.708
After sweep 13 energy=-172.41963  maxlinkdim=512 maxerr=1.58E-06 time=9.185
After sweep 14 energy=-172.41806  maxlinkdim=512 maxerr=1.68E-06 time=9.520
After sweep 15 energy=-172.41983  maxlinkdim=512 maxerr=1.75E-06 time=9.774
After sweep 16 energy=-172.41803  maxlinkdim=512 maxerr=1.82E-06 time=9.941
After sweep 17 energy=-172.4177  maxlinkdim=512 maxerr=1.84E-06 time=10.228
After sweep 18 energy=-172.41844  maxlinkdim=512 maxerr=1.87E-06 time=10.535
After sweep 19 energy=-172.41933  maxlinkdim=512 maxerr=1.91E-06 time=10.181
After sweep 20 energy=-172.41827  maxlinkdim=512 maxerr=1.88E-06 time=10.271
E0 = -172.41827
M = -0.004163254
After sweep 1 energy=-153.47093  maxlinkdim=4 maxerr=3.10E-07 time=1.185
After sweep 2 energy=-166.77927  maxlinkdim=16 maxerr=9.91E-07 time=1.228
After sweep 3 energy=-170.28725  maxlinkdim=61 maxerr=9.99E-07 time=1.750
After sweep 4 energy=-171.27644  maxlinkdim=177 maxerr=1.00E-06 time=2.397
After sweep 5 energy=-171.83282  maxlinkdim=379 maxerr=1.00E-06 time=4.548
After sweep 6 energy=-172.2273  maxlinkdim=446 maxerr=1.00E-06 time=6.729
After sweep 7 energy=-172.31291  maxlinkdim=512 maxerr=1.06E-06 time=7.462
After sweep 8 energy=-172.37746  maxlinkdim=512 maxerr=1.27E-06 time=8.811
After sweep 9 energy=-172.4038  maxlinkdim=512 maxerr=1.09E-06 time=9.624
After sweep 10 energy=-172.41348  maxlinkdim=512 maxerr=1.53E-06 time=10.575
After sweep 11 energy=-172.41887  maxlinkdim=512 maxerr=1.85E-06 time=11.391
After sweep 12 energy=-172.42076  maxlinkdim=512 maxerr=1.65E-06 time=11.909
After sweep 13 energy=-172.4197  maxlinkdim=512 maxerr=1.54E-06 time=11.794
After sweep 14 energy=-172.4216  maxlinkdim=512 maxerr=1.38E-06 time=11.581
After sweep 15 energy=-172.4213  maxlinkdim=512 maxerr=1.29E-06 time=11.655
After sweep 16 energy=-172.4223  maxlinkdim=512 maxerr=1.27E-06 time=11.523
After sweep 17 energy=-172.42133  maxlinkdim=512 maxerr=1.22E-06 time=10.997
After sweep 18 energy=-172.42159  maxlinkdim=512 maxerr=1.20E-06 time=10.874
After sweep 19 energy=-172.4219  maxlinkdim=512 maxerr=1.21E-06 time=10.739
After sweep 20 energy=-172.4221  maxlinkdim=512 maxerr=1.14E-06 time=10.715
E0 = -172.4221
M = -0.610712
After sweep 1 energy=-154.0244  maxlinkdim=4 maxerr=8.40E-07 time=1.185
After sweep 2 energy=-166.7459  maxlinkdim=16 maxerr=9.96E-07 time=1.232
After sweep 3 energy=-170.19984  maxlinkdim=61 maxerr=9.99E-07 time=1.758
After sweep 4 energy=-171.31857  maxlinkdim=177 maxerr=1.00E-06 time=2.313
After sweep 5 energy=-171.94286  maxlinkdim=336 maxerr=1.00E-06 time=4.118
After sweep 6 energy=-172.1108  maxlinkdim=507 maxerr=1.00E-06 time=6.459
After sweep 7 energy=-172.36977  maxlinkdim=498 maxerr=1.00E-06 time=8.295
After sweep 8 energy=-172.4066  maxlinkdim=512 maxerr=1.01E-06 time=8.271
After sweep 9 energy=-172.41727  maxlinkdim=512 maxerr=1.30E-06 time=8.739
After sweep 10 energy=-172.41977  maxlinkdim=512 maxerr=1.62E-06 time=8.977
After sweep 11 energy=-172.42123  maxlinkdim=512 maxerr=1.60E-06 time=8.965
After sweep 12 energy=-172.42096  maxlinkdim=512 maxerr=1.55E-06 time=8.927
After sweep 13 energy=-172.42096  maxlinkdim=512 maxerr=1.56E-06 time=8.957
After sweep 14 energy=-172.42166  maxlinkdim=512 maxerr=1.44E-06 time=8.878
After sweep 15 energy=-172.42062  maxlinkdim=512 maxerr=1.42E-06 time=8.829
After sweep 16 energy=-172.42091  maxlinkdim=512 maxerr=1.35E-06 time=8.819
After sweep 17 energy=-172.42079  maxlinkdim=512 maxerr=1.31E-06 time=8.832
After sweep 18 energy=-172.42065  maxlinkdim=512 maxerr=1.27E-06 time=9.165
After sweep 19 energy=-172.42073  maxlinkdim=512 maxerr=1.18E-06 time=8.536
After sweep 20 energy=-172.42097  maxlinkdim=512 maxerr=1.22E-06 time=8.527
E0 = -172.42097
M = -0.9282831
After sweep 1 energy=-153.36015  maxlinkdim=4 maxerr=6.02E-07 time=1.159
After sweep 2 energy=-166.51335  maxlinkdim=16 maxerr=9.97E-07 time=1.250
After sweep 3 energy=-170.22888  maxlinkdim=62 maxerr=9.96E-07 time=1.939
After sweep 4 energy=-171.34705  maxlinkdim=179 maxerr=9.99E-07 time=2.353
After sweep 5 energy=-171.87032  maxlinkdim=350 maxerr=1.00E-06 time=4.364
After sweep 6 energy=-172.01067  maxlinkdim=512 maxerr=1.61E-06 time=7.790
After sweep 7 energy=-172.0682  maxlinkdim=512 maxerr=4.68E-06 time=11.108
After sweep 8 energy=-172.09856  maxlinkdim=512 maxerr=4.68E-06 time=11.860
After sweep 9 energy=-172.10782  maxlinkdim=512 maxerr=3.85E-06 time=11.623
After sweep 10 energy=-172.10994  maxlinkdim=512 maxerr=3.25E-06 time=11.242
After sweep 11 energy=-172.11053  maxlinkdim=512 maxerr=3.13E-06 time=11.041
After sweep 12 energy=-172.11162  maxlinkdim=512 maxerr=3.13E-06 time=10.774
After sweep 13 energy=-172.11235  maxlinkdim=512 maxerr=3.00E-06 time=10.665
After sweep 14 energy=-172.11145  maxlinkdim=512 maxerr=2.97E-06 time=10.715
After sweep 15 energy=-172.11139  maxlinkdim=512 maxerr=3.04E-06 time=10.931
After sweep 16 energy=-172.113  maxlinkdim=512 maxerr=3.07E-06 time=10.332
After sweep 17 energy=-172.11276  maxlinkdim=512 maxerr=3.17E-06 time=10.318
After sweep 18 energy=-172.1113  maxlinkdim=512 maxerr=3.09E-06 time=10.317
After sweep 19 energy=-172.11246  maxlinkdim=512 maxerr=3.09E-06 time=10.289
After sweep 20 energy=-172.11172  maxlinkdim=512 maxerr=3.11E-06 time=10.439
E0 = -172.11172
M = 0.05170981
After sweep 1 energy=-153.84282  maxlinkdim=4 maxerr=2.78E-07 time=1.115
After sweep 2 energy=-167.12442  maxlinkdim=16 maxerr=9.74E-07 time=1.220
After sweep 3 energy=-170.55879  maxlinkdim=61 maxerr=1.00E-06 time=1.879
After sweep 4 energy=-171.54465  maxlinkdim=174 maxerr=1.00E-06 time=2.310
After sweep 5 energy=-171.96538  maxlinkdim=323 maxerr=1.00E-06 time=3.915
After sweep 6 energy=-172.08597  maxlinkdim=431 maxerr=1.00E-06 time=6.248
After sweep 7 energy=-172.15065  maxlinkdim=498 maxerr=1.00E-06 time=8.550
After sweep 8 energy=-172.16682  maxlinkdim=512 maxerr=1.36E-06 time=10.151
After sweep 9 energy=-172.16896  maxlinkdim=512 maxerr=1.24E-06 time=10.786
After sweep 10 energy=-172.17026  maxlinkdim=498 maxerr=1.00E-06 time=10.635
After sweep 11 energy=-172.17096  maxlinkdim=493 maxerr=1.00E-06 time=10.374
After sweep 12 energy=-172.17065  maxlinkdim=489 maxerr=1.00E-06 time=10.277
After sweep 13 energy=-172.1704  maxlinkdim=490 maxerr=1.00E-06 time=9.992
After sweep 14 energy=-172.17122  maxlinkdim=497 maxerr=1.00E-06 time=9.723
After sweep 15 energy=-172.17046  maxlinkdim=500 maxerr=1.00E-06 time=9.452
After sweep 16 energy=-172.17032  maxlinkdim=498 maxerr=1.00E-06 time=9.713
After sweep 17 energy=-172.17072  maxlinkdim=500 maxerr=1.00E-06 time=8.815
After sweep 18 energy=-172.17133  maxlinkdim=496 maxerr=1.00E-06 time=8.665
After sweep 19 energy=-172.17116  maxlinkdim=501 maxerr=1.00E-06 time=8.586
After sweep 20 energy=-172.1722  maxlinkdim=505 maxerr=1.00E-06 time=8.524
E0 = -172.1722
M = -1.1376148
After sweep 1 energy=-153.58055  maxlinkdim=4 maxerr=2.36E-07 time=1.119
After sweep 2 energy=-166.64566  maxlinkdim=16 maxerr=9.69E-07 time=1.194
After sweep 3 energy=-170.28238  maxlinkdim=63 maxerr=1.00E-06 time=1.880
After sweep 4 energy=-171.44458  maxlinkdim=171 maxerr=1.00E-06 time=2.268
After sweep 5 energy=-171.76747  maxlinkdim=359 maxerr=1.00E-06 time=3.969
After sweep 6 energy=-172.12112  maxlinkdim=512 maxerr=1.97E-06 time=6.970
After sweep 7 energy=-172.35127  maxlinkdim=424 maxerr=1.00E-06 time=7.119
After sweep 8 energy=-172.41106  maxlinkdim=446 maxerr=1.00E-06 time=6.786
After sweep 9 energy=-172.4299  maxlinkdim=444 maxerr=1.00E-06 time=7.103
After sweep 10 energy=-172.43286  maxlinkdim=452 maxerr=1.00E-06 time=7.047
