After sweep 1 energy=-89.37226  maxlinkdim=4 maxerr=2.06E-07 time=20.451
After sweep 2 energy=-104.133316  maxlinkdim=16 maxerr=9.83E-07 time=1.474
After sweep 3 energy=-109.799416  maxlinkdim=64 maxerr=9.99E-07 time=1.932
After sweep 4 energy=-110.8975  maxlinkdim=238 maxerr=9.99E-07 time=2.983
After sweep 5 energy=-111.21121  maxlinkdim=512 maxerr=1.02E-05 time=9.805
After sweep 6 energy=-113.12681  maxlinkdim=512 maxerr=9.64E-05 time=20.042
After sweep 7 energy=-113.694016  maxlinkdim=512 maxerr=1.11E-04 time=20.567
After sweep 8 energy=-114.18033  maxlinkdim=512 maxerr=1.46E-04 time=20.901
After sweep 9 energy=-114.853745  maxlinkdim=512 maxerr=7.67E-05 time=21.284
After sweep 10 energy=-114.88542  maxlinkdim=512 maxerr=4.69E-05 time=20.405
After sweep 11 energy=-114.890465  maxlinkdim=512 maxerr=3.98E-05 time=20.501
After sweep 12 energy=-114.89182  maxlinkdim=512 maxerr=3.90E-05 time=20.785
After sweep 13 energy=-114.89404  maxlinkdim=512 maxerr=3.92E-05 time=20.848
After sweep 14 energy=-114.89708  maxlinkdim=512 maxerr=4.05E-05 time=20.297
After sweep 15 energy=-114.90158  maxlinkdim=512 maxerr=4.39E-05 time=20.598
After sweep 16 energy=-114.9071  maxlinkdim=512 maxerr=4.82E-05 time=21.289
After sweep 17 energy=-114.91217  maxlinkdim=512 maxerr=4.91E-05 time=20.348
After sweep 18 energy=-114.91753  maxlinkdim=512 maxerr=4.69E-05 time=20.369
After sweep 19 energy=-114.9199  maxlinkdim=512 maxerr=4.39E-05 time=20.624
After sweep 20 energy=-114.92117  maxlinkdim=512 maxerr=3.99E-05 time=21.103
E0 = -114.92117
M = 0.30561632
After sweep 1 energy=-90.38674  maxlinkdim=4 maxerr=2.47E-07 time=1.171
After sweep 2 energy=-104.86113  maxlinkdim=16 maxerr=9.79E-07 time=1.185
After sweep 3 energy=-110.04066  maxlinkdim=64 maxerr=9.98E-07 time=1.978
After sweep 4 energy=-110.89764  maxlinkdim=211 maxerr=1.00E-06 time=2.684
After sweep 5 energy=-111.12261  maxlinkdim=512 maxerr=1.30E-06 time=9.053
After sweep 6 energy=-113.11589  maxlinkdim=512 maxerr=8.98E-05 time=19.755
After sweep 7 energy=-113.77204  maxlinkdim=512 maxerr=1.17E-04 time=20.485
After sweep 8 energy=-114.25911  maxlinkdim=512 maxerr=1.29E-04 time=20.814
After sweep 9 energy=-114.82441  maxlinkdim=512 maxerr=7.16E-05 time=21.255
After sweep 10 energy=-114.85221  maxlinkdim=512 maxerr=4.62E-05 time=20.356
After sweep 11 energy=-114.856926  maxlinkdim=512 maxerr=4.08E-05 time=20.477
After sweep 12 energy=-114.858444  maxlinkdim=512 maxerr=3.97E-05 time=20.808
After sweep 13 energy=-114.86013  maxlinkdim=512 maxerr=4.03E-05 time=20.844
After sweep 14 energy=-114.86229  maxlinkdim=512 maxerr=4.19E-05 time=20.320
After sweep 15 energy=-114.86732  maxlinkdim=512 maxerr=4.46E-05 time=20.582
After sweep 16 energy=-114.87394  maxlinkdim=512 maxerr=5.11E-05 time=21.213
After sweep 17 energy=-114.88264  maxlinkdim=512 maxerr=5.15E-05 time=20.338
After sweep 18 energy=-114.89253  maxlinkdim=512 maxerr=4.95E-05 time=20.481
After sweep 19 energy=-114.902794  maxlinkdim=512 maxerr=5.62E-05 time=20.640
After sweep 20 energy=-114.9122  maxlinkdim=512 maxerr=5.76E-05 time=21.159
E0 = -114.9122
M = -0.013343215
After sweep 1 energy=-88.87802  maxlinkdim=4 maxerr=2.18E-07 time=1.186
After sweep 2 energy=-103.85408  maxlinkdim=16 maxerr=7.67E-07 time=1.296
After sweep 3 energy=-109.9333  maxlinkdim=64 maxerr=9.98E-07 time=1.758
After sweep 4 energy=-110.91319  maxlinkdim=231 maxerr=1.00E-06 time=3.059
After sweep 5 energy=-111.19838  maxlinkdim=512 maxerr=7.01E-06 time=9.501
After sweep 6 energy=-113.13799  maxlinkdim=512 maxerr=8.94E-05 time=19.882
After sweep 7 energy=-113.80816  maxlinkdim=512 maxerr=1.23E-04 time=20.469
After sweep 8 energy=-114.39933  maxlinkdim=512 maxerr=1.38E-04 time=20.771
After sweep 9 energy=-114.824646  maxlinkdim=512 maxerr=6.15E-05 time=21.131
After sweep 10 energy=-114.85583  maxlinkdim=512 maxerr=5.21E-05 time=20.313
After sweep 11 energy=-114.86281  maxlinkdim=512 maxerr=4.74E-05 time=20.446
After sweep 12 energy=-114.86763  maxlinkdim=512 maxerr=5.33E-05 time=20.797
After sweep 13 energy=-114.87365  maxlinkdim=512 maxerr=5.55E-05 time=20.850
After sweep 14 energy=-114.87952  maxlinkdim=512 maxerr=4.86E-05 time=20.348
After sweep 15 energy=-114.8856  maxlinkdim=512 maxerr=4.55E-05 time=20.582
After sweep 16 energy=-114.8894  maxlinkdim=512 maxerr=4.30E-05 time=21.211
After sweep 17 energy=-114.89503  maxlinkdim=512 maxerr=4.60E-05 time=20.310
After sweep 18 energy=-114.900154  maxlinkdim=512 maxerr=5.01E-05 time=20.378
After sweep 19 energy=-114.90845  maxlinkdim=512 maxerr=5.52E-05 time=20.654
After sweep 20 energy=-114.91503  maxlinkdim=512 maxerr=5.55E-05 time=21.237
E0 = -114.91503
M = -0.11131526
After sweep 1 energy=-89.52155  maxlinkdim=4 maxerr=2.50E-07 time=1.180
After sweep 2 energy=-104.69745  maxlinkdim=16 maxerr=9.30E-07 time=1.304
After sweep 3 energy=-110.03453  maxlinkdim=64 maxerr=9.97E-07 time=1.771
After sweep 4 energy=-110.90067  maxlinkdim=211 maxerr=1.00E-06 time=3.061
After sweep 5 energy=-111.12529  maxlinkdim=512 maxerr=1.50E-06 time=9.253
After sweep 6 energy=-113.106155  maxlinkdim=512 maxerr=9.07E-05 time=19.791
After sweep 7 energy=-113.74921  maxlinkdim=512 maxerr=1.20E-04 time=20.487
After sweep 8 energy=-114.18294  maxlinkdim=512 maxerr=1.32E-04 time=20.844
After sweep 9 energy=-114.81936  maxlinkdim=512 maxerr=8.43E-05 time=21.183
After sweep 10 energy=-114.85339  maxlinkdim=512 maxerr=5.05E-05 time=20.324
After sweep 11 energy=-114.85904  maxlinkdim=512 maxerr=4.20E-05 time=20.502
After sweep 12 energy=-114.86233  maxlinkdim=512 maxerr=4.18E-05 time=20.825
After sweep 13 energy=-114.86667  maxlinkdim=512 maxerr=4.43E-05 time=20.860
After sweep 14 energy=-114.872475  maxlinkdim=512 maxerr=5.04E-05 time=20.300
After sweep 15 energy=-114.881134  maxlinkdim=512 maxerr=5.46E-05 time=20.578
After sweep 16 energy=-114.889534  maxlinkdim=512 maxerr=4.70E-05 time=21.445
After sweep 17 energy=-114.89887  maxlinkdim=512 maxerr=4.68E-05 time=20.356
After sweep 18 energy=-114.907845  maxlinkdim=512 maxerr=5.15E-05 time=20.432
After sweep 19 energy=-114.91422  maxlinkdim=512 maxerr=4.86E-05 time=20.754
After sweep 20 energy=-114.91805  maxlinkdim=512 maxerr=4.43E-05 time=21.249
E0 = -114.91805
M = 0.101430416
After sweep 1 energy=-89.49131  maxlinkdim=4 maxerr=2.61E-07 time=1.251
After sweep 2 energy=-104.84849  maxlinkdim=16 maxerr=9.66E-07 time=1.364
After sweep 3 energy=-110.034584  maxlinkdim=64 maxerr=9.98E-07 time=1.778
After sweep 4 energy=-110.89762  maxlinkdim=214 maxerr=1.00E-06 time=3.035
After sweep 5 energy=-111.123436  maxlinkdim=512 maxerr=1.32E-06 time=9.149
After sweep 6 energy=-113.12628  maxlinkdim=512 maxerr=9.15E-05 time=19.801
After sweep 7 energy=-113.778824  maxlinkdim=512 maxerr=1.21E-04 time=20.493
After sweep 8 energy=-114.25397  maxlinkdim=512 maxerr=1.30E-04 time=20.824
After sweep 9 energy=-114.82248  maxlinkdim=512 maxerr=7.72E-05 time=21.276
After sweep 10 energy=-114.85177  maxlinkdim=512 maxerr=4.81E-05 time=20.307
After sweep 11 energy=-114.856346  maxlinkdim=512 maxerr=4.08E-05 time=20.454
After sweep 12 energy=-114.857735  maxlinkdim=512 maxerr=4.02E-05 time=20.753
After sweep 13 energy=-114.85855  maxlinkdim=512 maxerr=4.00E-05 time=20.870
After sweep 14 energy=-114.86028  maxlinkdim=512 maxerr=4.10E-05 time=20.298
After sweep 15 energy=-114.86289  maxlinkdim=512 maxerr=4.23E-05 time=20.550
After sweep 16 energy=-114.8664  maxlinkdim=512 maxerr=4.55E-05 time=21.248
After sweep 17 energy=-114.87436  maxlinkdim=512 maxerr=5.13E-05 time=20.320
After sweep 18 energy=-114.886314  maxlinkdim=512 maxerr=5.19E-05 time=20.434
After sweep 19 energy=-114.899086  maxlinkdim=512 maxerr=5.58E-05 time=20.631
After sweep 20 energy=-114.90957  maxlinkdim=512 maxerr=5.58E-05 time=21.202
E0 = -114.90957
M = -0.011071399
After sweep 1 energy=-91.16484  maxlinkdim=4 maxerr=2.66E-07 time=1.245
After sweep 2 energy=-104.675735  maxlinkdim=16 maxerr=9.34E-07 time=1.332
After sweep 3 energy=-110.02632  maxlinkdim=64 maxerr=9.99E-07 time=1.773
After sweep 4 energy=-110.89951  maxlinkdim=215 maxerr=1.00E-06 time=3.033
After sweep 5 energy=-111.12477  maxlinkdim=512 maxerr=1.58E-06 time=9.150
After sweep 6 energy=-113.113754  maxlinkdim=512 maxerr=8.88E-05 time=19.765
After sweep 7 energy=-113.73687  maxlinkdim=512 maxerr=1.19E-04 time=20.489
After sweep 8 energy=-114.14424  maxlinkdim=512 maxerr=1.24E-04 time=20.796
After sweep 9 energy=-114.81413  maxlinkdim=512 maxerr=8.77E-05 time=21.433
After sweep 10 energy=-114.85183  maxlinkdim=512 maxerr=5.42E-05 time=20.423
After sweep 11 energy=-114.85768  maxlinkdim=512 maxerr=4.20E-05 time=20.482
After sweep 12 energy=-114.86004  maxlinkdim=512 maxerr=4.07E-05 time=20.866
After sweep 13 energy=-114.86242  maxlinkdim=512 maxerr=4.21E-05 time=20.928
After sweep 14 energy=-114.86791  maxlinkdim=512 maxerr=4.58E-05 time=20.350
After sweep 15 energy=-114.87294  maxlinkdim=512 maxerr=5.03E-05 time=20.586
After sweep 16 energy=-114.88078  maxlinkdim=512 maxerr=4.99E-05 time=21.337
After sweep 17 energy=-114.88856  maxlinkdim=512 maxerr=4.71E-05 time=20.412
After sweep 18 energy=-114.8976  maxlinkdim=512 maxerr=4.86E-05 time=20.430
After sweep 19 energy=-114.90757  maxlinkdim=512 maxerr=5.44E-05 time=20.671
After sweep 20 energy=-114.91426  maxlinkdim=512 maxerr=5.35E-05 time=21.172
E0 = -114.91426
M = -0.21203163
After sweep 1 energy=-89.99027  maxlinkdim=4 maxerr=2.51E-07 time=1.202
After sweep 2 energy=-104.91481  maxlinkdim=16 maxerr=8.85E-07 time=1.300
After sweep 3 energy=-110.043846  maxlinkdim=64 maxerr=9.96E-07 time=1.777
After sweep 4 energy=-110.898  maxlinkdim=211 maxerr=1.00E-06 time=3.024
After sweep 5 energy=-111.12332  maxlinkdim=512 maxerr=1.33E-06 time=9.125
After sweep 6 energy=-113.11303  maxlinkdim=512 maxerr=9.09E-05 time=19.798
After sweep 7 energy=-113.73358  maxlinkdim=512 maxerr=1.22E-04 time=20.501
After sweep 8 energy=-114.20246  maxlinkdim=512 maxerr=1.27E-04 time=20.792
