After sweep 1 energy=-122.28083  maxlinkdim=4 maxerr=2.32E-07 time=18.541
After sweep 2 energy=-136.91176  maxlinkdim=16 maxerr=9.57E-07 time=1.307
After sweep 3 energy=-141.96286  maxlinkdim=63 maxerr=1.07E-06 time=1.676
After sweep 4 energy=-142.65594  maxlinkdim=189 maxerr=1.00E-06 time=2.415
After sweep 5 energy=-142.77942  maxlinkdim=392 maxerr=1.00E-06 time=5.429
After sweep 6 energy=-142.8107  maxlinkdim=512 maxerr=1.87E-06 time=10.419
After sweep 7 energy=-142.81721  maxlinkdim=512 maxerr=3.21E-06 time=13.931
After sweep 8 energy=-142.81902  maxlinkdim=512 maxerr=2.83E-06 time=14.692
After sweep 9 energy=-142.8182  maxlinkdim=512 maxerr=2.69E-06 time=14.789
After sweep 10 energy=-142.81993  maxlinkdim=512 maxerr=2.49E-06 time=14.953
After sweep 11 energy=-142.81929  maxlinkdim=512 maxerr=2.42E-06 time=15.190
After sweep 12 energy=-142.81891  maxlinkdim=512 maxerr=2.45E-06 time=15.176
After sweep 13 energy=-142.81876  maxlinkdim=512 maxerr=2.46E-06 time=14.670
After sweep 14 energy=-142.8183  maxlinkdim=512 maxerr=2.46E-06 time=14.668
After sweep 15 energy=-142.81894  maxlinkdim=512 maxerr=2.43E-06 time=14.858
After sweep 16 energy=-142.81976  maxlinkdim=512 maxerr=2.40E-06 time=14.923
After sweep 17 energy=-142.81961  maxlinkdim=512 maxerr=2.46E-06 time=15.140
After sweep 18 energy=-142.8192  maxlinkdim=512 maxerr=2.42E-06 time=15.017
After sweep 19 energy=-142.81999  maxlinkdim=512 maxerr=2.48E-06 time=14.656
After sweep 20 energy=-142.81898  maxlinkdim=512 maxerr=2.53E-06 time=14.651
E0 = -142.81898
M = 8.373335e-5
After sweep 1 energy=-125.46068  maxlinkdim=4 maxerr=2.35E-07 time=1.045
After sweep 2 energy=-138.22015  maxlinkdim=16 maxerr=8.87E-07 time=1.104
After sweep 3 energy=-142.09079  maxlinkdim=62 maxerr=1.00E-06 time=1.601
After sweep 4 energy=-142.64426  maxlinkdim=194 maxerr=1.00E-06 time=2.661
After sweep 5 energy=-142.75096  maxlinkdim=397 maxerr=1.00E-06 time=5.396
After sweep 6 energy=-142.78249  maxlinkdim=512 maxerr=2.26E-06 time=10.956
After sweep 7 energy=-142.79198  maxlinkdim=512 maxerr=3.48E-06 time=14.643
After sweep 8 energy=-142.7949  maxlinkdim=512 maxerr=4.05E-06 time=15.113
After sweep 9 energy=-142.79732  maxlinkdim=512 maxerr=4.51E-06 time=15.300
After sweep 10 energy=-142.80429  maxlinkdim=512 maxerr=5.56E-06 time=15.449
After sweep 11 energy=-142.81326  maxlinkdim=512 maxerr=6.04E-06 time=16.052
After sweep 12 energy=-142.81737  maxlinkdim=512 maxerr=4.09E-06 time=15.088
After sweep 13 energy=-142.8187  maxlinkdim=512 maxerr=3.38E-06 time=14.892
After sweep 14 energy=-142.81868  maxlinkdim=512 maxerr=2.79E-06 time=14.843
After sweep 15 energy=-142.81848  maxlinkdim=512 maxerr=2.65E-06 time=14.930
After sweep 16 energy=-142.81941  maxlinkdim=512 maxerr=2.53E-06 time=14.875
After sweep 17 energy=-142.81831  maxlinkdim=512 maxerr=2.51E-06 time=15.353
After sweep 18 energy=-142.81892  maxlinkdim=512 maxerr=2.49E-06 time=14.619
After sweep 19 energy=-142.81876  maxlinkdim=512 maxerr=2.46E-06 time=14.607
After sweep 20 energy=-142.81905  maxlinkdim=512 maxerr=2.42E-06 time=14.702
E0 = -142.81905
M = -0.0002802685
After sweep 1 energy=-124.22656  maxlinkdim=4 maxerr=2.50E-07 time=1.149
After sweep 2 energy=-139.0918  maxlinkdim=16 maxerr=5.70E-07 time=1.235
After sweep 3 energy=-142.15623  maxlinkdim=63 maxerr=9.99E-07 time=1.702
After sweep 4 energy=-142.66245  maxlinkdim=190 maxerr=1.00E-06 time=2.432
After sweep 5 energy=-142.7612  maxlinkdim=393 maxerr=1.00E-06 time=5.250
After sweep 6 energy=-142.78511  maxlinkdim=512 maxerr=2.39E-06 time=10.652
After sweep 7 energy=-142.79135  maxlinkdim=512 maxerr=3.39E-06 time=14.532
After sweep 8 energy=-142.79253  maxlinkdim=512 maxerr=3.78E-06 time=15.239
After sweep 9 energy=-142.79414  maxlinkdim=512 maxerr=3.96E-06 time=15.429
After sweep 10 energy=-142.79411  maxlinkdim=512 maxerr=3.93E-06 time=15.608
After sweep 11 energy=-142.79552  maxlinkdim=512 maxerr=4.20E-06 time=16.118
After sweep 12 energy=-142.79709  maxlinkdim=512 maxerr=4.82E-06 time=15.435
After sweep 13 energy=-142.80469  maxlinkdim=512 maxerr=6.00E-06 time=15.481
After sweep 14 energy=-142.81528  maxlinkdim=512 maxerr=5.63E-06 time=15.502
After sweep 15 energy=-142.81819  maxlinkdim=512 maxerr=3.76E-06 time=15.534
After sweep 16 energy=-142.81827  maxlinkdim=512 maxerr=3.06E-06 time=15.927
After sweep 17 energy=-142.81993  maxlinkdim=512 maxerr=2.77E-06 time=14.885
After sweep 18 energy=-142.81938  maxlinkdim=512 maxerr=2.58E-06 time=14.713
After sweep 19 energy=-142.81892  maxlinkdim=512 maxerr=2.51E-06 time=14.655
After sweep 20 energy=-142.81955  maxlinkdim=512 maxerr=2.46E-06 time=14.841
E0 = -142.81955
M = -0.00024390593
After sweep 1 energy=-124.18947  maxlinkdim=4 maxerr=3.84E-07 time=1.184
After sweep 2 energy=-138.81657  maxlinkdim=16 maxerr=9.91E-07 time=1.235
After sweep 3 energy=-142.12616  maxlinkdim=63 maxerr=9.99E-07 time=1.718
After sweep 4 energy=-142.62457  maxlinkdim=193 maxerr=1.00E-06 time=2.358
After sweep 5 energy=-142.73074  maxlinkdim=400 maxerr=1.00E-06 time=5.364
After sweep 6 energy=-142.7694  maxlinkdim=512 maxerr=2.73E-06 time=11.185
After sweep 7 energy=-142.78519  maxlinkdim=512 maxerr=3.82E-06 time=14.781
After sweep 8 energy=-142.79088  maxlinkdim=512 maxerr=4.20E-06 time=15.189
After sweep 9 energy=-142.79253  maxlinkdim=512 maxerr=3.75E-06 time=15.364
After sweep 10 energy=-142.79271  maxlinkdim=512 maxerr=3.75E-06 time=15.477
After sweep 11 energy=-142.79335  maxlinkdim=512 maxerr=3.95E-06 time=16.057
After sweep 12 energy=-142.79262  maxlinkdim=512 maxerr=4.03E-06 time=15.146
After sweep 13 energy=-142.79427  maxlinkdim=512 maxerr=4.08E-06 time=15.196
After sweep 14 energy=-142.79486  maxlinkdim=512 maxerr=4.40E-06 time=15.293
After sweep 15 energy=-142.79973  maxlinkdim=512 maxerr=5.81E-06 time=15.572
After sweep 16 energy=-142.80992  maxlinkdim=512 maxerr=5.80E-06 time=15.579
After sweep 17 energy=-142.81662  maxlinkdim=512 maxerr=4.98E-06 time=15.929
After sweep 18 energy=-142.818  maxlinkdim=512 maxerr=3.44E-06 time=14.996
After sweep 19 energy=-142.81908  maxlinkdim=512 maxerr=2.92E-06 time=14.854
After sweep 20 energy=-142.8186  maxlinkdim=512 maxerr=2.78E-06 time=14.903
E0 = -142.8186
M = -0.00034853444
