After sweep 1 energy=-468.9136  maxlinkdim=4 maxerr=9.64E-07 time=18.589
After sweep 2 energy=-470.56244  maxlinkdim=8 maxerr=9.99E-07 time=1.175
After sweep 3 energy=-470.6594  maxlinkdim=7 maxerr=9.80E-07 time=1.132
After sweep 4 energy=-470.67432  maxlinkdim=8 maxerr=9.96E-07 time=1.137
After sweep 5 energy=-470.6769  maxlinkdim=8 maxerr=9.71E-07 time=1.150
After sweep 6 energy=-470.6748  maxlinkdim=8 maxerr=9.02E-07 time=1.169
After sweep 7 energy=-470.67508  maxlinkdim=8 maxerr=9.62E-07 time=1.178
After sweep 8 energy=-470.67523  maxlinkdim=8 maxerr=9.08E-07 time=1.180
After sweep 9 energy=-470.67245  maxlinkdim=8 maxerr=9.60E-07 time=1.173
After sweep 10 energy=-470.67697  maxlinkdim=8 maxerr=9.88E-07 time=1.127
After sweep 11 energy=-470.6745  maxlinkdim=8 maxerr=9.94E-07 time=1.194
After sweep 12 energy=-470.67825  maxlinkdim=8 maxerr=9.52E-07 time=1.207
After sweep 13 energy=-470.67786  maxlinkdim=8 maxerr=9.52E-07 time=1.199
After sweep 14 energy=-470.6771  maxlinkdim=8 maxerr=9.62E-07 time=1.137
After sweep 15 energy=-470.6797  maxlinkdim=8 maxerr=9.54E-07 time=1.207
After sweep 16 energy=-470.67697  maxlinkdim=8 maxerr=9.69E-07 time=1.213
After sweep 17 energy=-470.67465  maxlinkdim=8 maxerr=9.89E-07 time=1.144
After sweep 18 energy=-470.6759  maxlinkdim=8 maxerr=9.96E-07 time=1.212
After sweep 19 energy=-470.6772  maxlinkdim=8 maxerr=9.60E-07 time=1.229
After sweep 20 energy=-470.6744  maxlinkdim=8 maxerr=9.91E-07 time=1.156
E0 = -470.6744
M = -0.00028818194
After sweep 1 energy=-469.17032  maxlinkdim=4 maxerr=9.69E-07 time=1.087
After sweep 2 energy=-470.56708  maxlinkdim=8 maxerr=9.97E-07 time=1.282
After sweep 3 energy=-470.6589  maxlinkdim=7 maxerr=9.83E-07 time=1.169
After sweep 4 energy=-470.67374  maxlinkdim=8 maxerr=9.78E-07 time=1.228
After sweep 5 energy=-470.67902  maxlinkdim=8 maxerr=9.26E-07 time=1.209
After sweep 6 energy=-470.67593  maxlinkdim=8 maxerr=9.88E-07 time=1.225
After sweep 7 energy=-470.67615  maxlinkdim=8 maxerr=9.75E-07 time=1.155
After sweep 8 energy=-470.67432  maxlinkdim=8 maxerr=9.87E-07 time=1.203
After sweep 9 energy=-470.67575  maxlinkdim=8 maxerr=9.71E-07 time=1.210
After sweep 10 energy=-470.67715  maxlinkdim=8 maxerr=9.84E-07 time=1.163
After sweep 11 energy=-470.675  maxlinkdim=8 maxerr=9.64E-07 time=1.227
After sweep 12 energy=-470.67535  maxlinkdim=8 maxerr=9.93E-07 time=1.167
After sweep 13 energy=-470.67624  maxlinkdim=8 maxerr=9.94E-07 time=1.249
After sweep 14 energy=-470.67767  maxlinkdim=8 maxerr=9.69E-07 time=1.169
After sweep 15 energy=-470.67496  maxlinkdim=8 maxerr=9.79E-07 time=1.243
After sweep 16 energy=-470.6779  maxlinkdim=8 maxerr=9.50E-07 time=1.164
After sweep 17 energy=-470.6769  maxlinkdim=8 maxerr=9.83E-07 time=1.229
After sweep 18 energy=-470.67624  maxlinkdim=8 maxerr=9.84E-07 time=1.191
After sweep 19 energy=-470.67456  maxlinkdim=8 maxerr=9.61E-07 time=1.253
After sweep 20 energy=-470.67636  maxlinkdim=8 maxerr=9.41E-07 time=1.158
E0 = -470.67636
M = -0.0001764118
After sweep 1 energy=-469.38177  maxlinkdim=4 maxerr=9.50E-07 time=1.141
After sweep 2 energy=-470.54938  maxlinkdim=7 maxerr=9.96E-07 time=1.317
After sweep 3 energy=-470.64865  maxlinkdim=8 maxerr=9.92E-07 time=1.184
After sweep 4 energy=-470.66998  maxlinkdim=8 maxerr=9.98E-07 time=1.248
After sweep 5 energy=-470.67688  maxlinkdim=8 maxerr=9.31E-07 time=1.143
After sweep 6 energy=-470.6744  maxlinkdim=8 maxerr=9.84E-07 time=1.200
After sweep 7 energy=-470.67517  maxlinkdim=8 maxerr=9.29E-07 time=1.229
After sweep 8 energy=-470.67566  maxlinkdim=8 maxerr=9.68E-07 time=1.136
After sweep 9 energy=-470.67508  maxlinkdim=8 maxerr=9.68E-07 time=1.208
After sweep 10 energy=-470.67603  maxlinkdim=8 maxerr=9.52E-07 time=1.160
After sweep 11 energy=-470.67612  maxlinkdim=8 maxerr=9.49E-07 time=1.227
After sweep 12 energy=-470.67697  maxlinkdim=8 maxerr=9.60E-07 time=1.144
After sweep 13 energy=-470.67947  maxlinkdim=8 maxerr=9.71E-07 time=1.222
After sweep 14 energy=-470.6743  maxlinkdim=8 maxerr=9.59E-07 time=1.146
After sweep 15 energy=-470.67734  maxlinkdim=8 maxerr=9.92E-07 time=1.243
After sweep 16 energy=-470.67883  maxlinkdim=8 maxerr=9.70E-07 time=1.149
After sweep 17 energy=-470.6752  maxlinkdim=8 maxerr=9.14E-07 time=1.233
After sweep 18 energy=-470.67413  maxlinkdim=8 maxerr=9.98E-07 time=1.162
After sweep 19 energy=-470.6786  maxlinkdim=8 maxerr=9.60E-07 time=1.235
After sweep 20 energy=-470.67654  maxlinkdim=8 maxerr=9.48E-07 time=1.154
E0 = -470.67654
M = -6.377553e-5
After sweep 1 energy=-469.0636  maxlinkdim=4 maxerr=9.45E-07 time=1.103
After sweep 2 energy=-470.55936  maxlinkdim=8 maxerr=9.93E-07 time=1.333
After sweep 3 energy=-470.65335  maxlinkdim=8 maxerr=9.58E-07 time=1.178
After sweep 4 energy=-470.67484  maxlinkdim=8 maxerr=9.48E-07 time=1.170
After sweep 5 energy=-470.67435  maxlinkdim=8 maxerr=9.99E-07 time=1.226
After sweep 6 energy=-470.6746  maxlinkdim=8 maxerr=9.66E-07 time=1.223
After sweep 7 energy=-470.67752  maxlinkdim=8 maxerr=9.46E-07 time=1.151
After sweep 8 energy=-470.67462  maxlinkdim=8 maxerr=9.76E-07 time=1.223
After sweep 9 energy=-470.67685  maxlinkdim=8 maxerr=9.69E-07 time=1.224
After sweep 10 energy=-470.67642  maxlinkdim=8 maxerr=9.90E-07 time=1.175
After sweep 11 energy=-470.6764  maxlinkdim=8 maxerr=9.69E-07 time=1.244
After sweep 12 energy=-470.67505  maxlinkdim=8 maxerr=9.54E-07 time=1.183
After sweep 13 energy=-470.67413  maxlinkdim=8 maxerr=9.78E-07 time=1.263
After sweep 14 energy=-470.6759  maxlinkdim=8 maxerr=9.72E-07 time=1.180
After sweep 15 energy=-470.67673  maxlinkdim=8 maxerr=9.96E-07 time=1.264
After sweep 16 energy=-470.67422  maxlinkdim=8 maxerr=9.49E-07 time=1.202
After sweep 17 energy=-470.6784  maxlinkdim=8 maxerr=9.48E-07 time=1.312
After sweep 18 energy=-470.67734  maxlinkdim=8 maxerr=9.23E-07 time=1.272
After sweep 19 energy=-470.6745  maxlinkdim=8 maxerr=9.94E-07 time=1.301
After sweep 20 energy=-470.67624  maxlinkdim=8 maxerr=9.83E-07 time=1.213
E0 = -470.67624
M = -0.00017555967
After sweep 1 energy=-468.84506  maxlinkdim=4 maxerr=9.80E-07 time=1.090
After sweep 2 energy=-470.56165  maxlinkdim=7 maxerr=9.94E-07 time=1.305
After sweep 3 energy=-470.65057  maxlinkdim=8 maxerr=9.90E-07 time=1.177
After sweep 4 energy=-470.6761  maxlinkdim=8 maxerr=9.72E-07 time=1.178
After sweep 5 energy=-470.67548  maxlinkdim=8 maxerr=9.81E-07 time=1.160
After sweep 6 energy=-470.6753  maxlinkdim=8 maxerr=9.91E-07 time=1.213
After sweep 7 energy=-470.67407  maxlinkdim=8 maxerr=9.97E-07 time=1.152
After sweep 8 energy=-470.67545  maxlinkdim=8 maxerr=9.32E-07 time=1.210
After sweep 9 energy=-470.6749  maxlinkdim=8 maxerr=9.76E-07 time=1.221
After sweep 10 energy=-470.6746  maxlinkdim=8 maxerr=9.66E-07 time=1.175
After sweep 11 energy=-470.67493  maxlinkdim=8 maxerr=9.37E-07 time=1.240
After sweep 12 energy=-470.6769  maxlinkdim=8 maxerr=9.36E-07 time=1.187
After sweep 13 energy=-470.67413  maxlinkdim=8 maxerr=9.66E-07 time=1.242
