After sweep 1 energy=-90.0138  maxlinkdim=4 maxerr=2.56E-07 time=20.148
After sweep 2 energy=-104.905  maxlinkdim=16 maxerr=5.93E-07 time=1.443
After sweep 3 energy=-110.05978  maxlinkdim=64 maxerr=7.00E-07 time=1.855
After sweep 4 energy=-110.939964  maxlinkdim=256 maxerr=3.46E-07 time=3.392
After sweep 5 energy=-111.244896  maxlinkdim=512 maxerr=1.31E-05 time=16.779
After sweep 6 energy=-113.313675  maxlinkdim=512 maxerr=1.21E-04 time=20.542
After sweep 7 energy=-113.78868  maxlinkdim=512 maxerr=1.37E-04 time=20.739
After sweep 8 energy=-114.35202  maxlinkdim=512 maxerr=1.30E-04 time=21.221
After sweep 9 energy=-114.83059  maxlinkdim=512 maxerr=6.21E-05 time=20.886
After sweep 10 energy=-114.85481  maxlinkdim=512 maxerr=4.48E-05 time=20.450
After sweep 11 energy=-114.85879  maxlinkdim=512 maxerr=3.92E-05 time=20.697
After sweep 12 energy=-114.86194  maxlinkdim=512 maxerr=3.91E-05 time=21.679
After sweep 13 energy=-114.86607  maxlinkdim=512 maxerr=4.20E-05 time=20.391
After sweep 14 energy=-114.87186  maxlinkdim=512 maxerr=4.72E-05 time=20.489
After sweep 15 energy=-114.88115  maxlinkdim=512 maxerr=4.84E-05 time=20.712
After sweep 16 energy=-114.89217  maxlinkdim=512 maxerr=5.18E-05 time=21.172
After sweep 17 energy=-114.903114  maxlinkdim=512 maxerr=4.83E-05 time=20.401
After sweep 18 energy=-114.91166  maxlinkdim=512 maxerr=4.72E-05 time=20.562
After sweep 19 energy=-114.91734  maxlinkdim=512 maxerr=4.28E-05 time=21.337
After sweep 20 energy=-114.92076  maxlinkdim=512 maxerr=3.89E-05 time=20.364
E0 = -114.92076
M = -0.25362045
After sweep 1 energy=-90.50794  maxlinkdim=4 maxerr=2.60E-07 time=1.208
After sweep 2 energy=-104.596725  maxlinkdim=16 maxerr=3.43E-07 time=1.226
After sweep 3 energy=-110.0643  maxlinkdim=64 maxerr=9.28E-07 time=2.029
After sweep 4 energy=-110.94143  maxlinkdim=256 maxerr=5.98E-07 time=3.246
After sweep 5 energy=-111.2414  maxlinkdim=512 maxerr=1.31E-05 time=16.451
After sweep 6 energy=-113.30118  maxlinkdim=512 maxerr=1.08E-04 time=20.597
After sweep 7 energy=-113.69683  maxlinkdim=512 maxerr=1.37E-04 time=20.800
After sweep 8 energy=-114.12711  maxlinkdim=512 maxerr=1.23E-04 time=21.468
After sweep 9 energy=-114.81972  maxlinkdim=512 maxerr=9.77E-05 time=20.494
After sweep 10 energy=-114.857285  maxlinkdim=512 maxerr=4.73E-05 time=20.420
After sweep 11 energy=-114.865776  maxlinkdim=512 maxerr=4.35E-05 time=20.657
After sweep 12 energy=-114.87481  maxlinkdim=512 maxerr=4.81E-05 time=21.249
After sweep 13 energy=-114.88411  maxlinkdim=512 maxerr=4.93E-05 time=20.444
After sweep 14 energy=-114.89448  maxlinkdim=512 maxerr=4.73E-05 time=20.502
After sweep 15 energy=-114.90474  maxlinkdim=512 maxerr=4.95E-05 time=20.764
After sweep 16 energy=-114.91254  maxlinkdim=512 maxerr=4.76E-05 time=20.957
After sweep 17 energy=-114.9176  maxlinkdim=512 maxerr=4.29E-05 time=20.365
After sweep 18 energy=-114.919975  maxlinkdim=512 maxerr=3.92E-05 time=20.589
After sweep 19 energy=-114.92183  maxlinkdim=512 maxerr=3.64E-05 time=21.210
After sweep 20 energy=-114.922485  maxlinkdim=512 maxerr=3.52E-05 time=20.379
E0 = -114.922485
M = -0.14610383
After sweep 1 energy=-88.78664  maxlinkdim=4 maxerr=3.09E-07 time=1.304
After sweep 2 energy=-104.5485  maxlinkdim=16 maxerr=5.32E-07 time=1.390
After sweep 3 energy=-110.0557  maxlinkdim=64 maxerr=8.68E-07 time=1.889
After sweep 4 energy=-110.94097  maxlinkdim=256 maxerr=3.88E-07 time=3.220
After sweep 5 energy=-111.24104  maxlinkdim=512 maxerr=1.32E-05 time=16.513
After sweep 6 energy=-113.283325  maxlinkdim=512 maxerr=1.13E-04 time=20.488
After sweep 7 energy=-113.757484  maxlinkdim=512 maxerr=1.35E-04 time=20.714
After sweep 8 energy=-114.23695  maxlinkdim=512 maxerr=1.30E-04 time=21.111
After sweep 9 energy=-114.82707  maxlinkdim=512 maxerr=7.26E-05 time=20.682
After sweep 10 energy=-114.859886  maxlinkdim=512 maxerr=4.55E-05 time=20.371
After sweep 11 energy=-114.868515  maxlinkdim=512 maxerr=4.30E-05 time=20.692
After sweep 12 energy=-114.87527  maxlinkdim=512 maxerr=4.59E-05 time=21.303
After sweep 13 energy=-114.88207  maxlinkdim=512 maxerr=4.48E-05 time=20.340
After sweep 14 energy=-114.88851  maxlinkdim=512 maxerr=4.17E-05 time=20.478
After sweep 15 energy=-114.894  maxlinkdim=512 maxerr=3.88E-05 time=20.786
After sweep 16 energy=-114.9018  maxlinkdim=512 maxerr=4.26E-05 time=20.959
After sweep 17 energy=-114.909004  maxlinkdim=512 maxerr=4.65E-05 time=20.354
After sweep 18 energy=-114.91458  maxlinkdim=512 maxerr=4.62E-05 time=20.606
After sweep 19 energy=-114.918816  maxlinkdim=512 maxerr=4.30E-05 time=21.263
After sweep 20 energy=-114.92168  maxlinkdim=512 maxerr=3.83E-05 time=20.349
E0 = -114.92168
M = 0.19984002
After sweep 1 energy=-89.911674  maxlinkdim=4 maxerr=2.32E-07 time=1.180
After sweep 2 energy=-104.577644  maxlinkdim=16 maxerr=2.30E-07 time=1.284
After sweep 3 energy=-110.05415  maxlinkdim=64 maxerr=9.66E-07 time=1.772
After sweep 4 energy=-110.94101  maxlinkdim=256 maxerr=3.43E-07 time=3.585
After sweep 5 energy=-111.240105  maxlinkdim=512 maxerr=1.30E-05 time=16.462
After sweep 6 energy=-113.26927  maxlinkdim=512 maxerr=1.18E-04 time=20.481
After sweep 7 energy=-113.79949  maxlinkdim=512 maxerr=1.28E-04 time=20.674
After sweep 8 energy=-114.36844  maxlinkdim=512 maxerr=1.30E-04 time=21.463
After sweep 9 energy=-114.82869  maxlinkdim=512 maxerr=6.71E-05 time=20.435
After sweep 10 energy=-114.853226  maxlinkdim=512 maxerr=4.68E-05 time=20.438
After sweep 11 energy=-114.85867  maxlinkdim=512 maxerr=4.07E-05 time=20.724
After sweep 12 energy=-114.86119  maxlinkdim=512 maxerr=4.07E-05 time=21.293
After sweep 13 energy=-114.86644  maxlinkdim=512 maxerr=4.23E-05 time=20.424
After sweep 14 energy=-114.87285  maxlinkdim=512 maxerr=4.82E-05 time=20.529
After sweep 15 energy=-114.881584  maxlinkdim=512 maxerr=5.09E-05 time=20.873
After sweep 16 energy=-114.89163  maxlinkdim=512 maxerr=4.99E-05 time=21.008
After sweep 17 energy=-114.900986  maxlinkdim=512 maxerr=5.27E-05 time=20.401
After sweep 18 energy=-114.90986  maxlinkdim=512 maxerr=4.98E-05 time=20.694
After sweep 19 energy=-114.91522  maxlinkdim=512 maxerr=4.60E-05 time=21.314
After sweep 20 energy=-114.91906  maxlinkdim=512 maxerr=4.20E-05 time=20.417
E0 = -114.91906
M = 0.014408253
After sweep 1 energy=-91.07409  maxlinkdim=4 maxerr=2.37E-07 time=1.200
After sweep 2 energy=-104.67593  maxlinkdim=16 maxerr=6.15E-07 time=1.314
After sweep 3 energy=-110.05934  maxlinkdim=64 maxerr=7.52E-07 time=1.818
After sweep 4 energy=-110.940094  maxlinkdim=256 maxerr=3.99E-07 time=3.626
After sweep 5 energy=-111.240204  maxlinkdim=512 maxerr=1.30E-05 time=16.452
After sweep 6 energy=-113.31317  maxlinkdim=512 maxerr=1.11E-04 time=20.530
After sweep 7 energy=-113.7198  maxlinkdim=512 maxerr=1.36E-04 time=20.721
After sweep 8 energy=-114.17003  maxlinkdim=512 maxerr=1.29E-04 time=21.493
After sweep 9 energy=-114.82222  maxlinkdim=512 maxerr=8.58E-05 time=20.392
After sweep 10 energy=-114.85777  maxlinkdim=512 maxerr=4.87E-05 time=20.488
After sweep 11 energy=-114.865005  maxlinkdim=512 maxerr=4.20E-05 time=20.759
After sweep 12 energy=-114.872574  maxlinkdim=512 maxerr=4.35E-05 time=21.163
