After sweep 1 energy=-136.21451  maxlinkdim=4 maxerr=3.16E-07 time=18.738
After sweep 2 energy=-150.97495  maxlinkdim=16 maxerr=1.00E-06 time=1.317
After sweep 3 energy=-155.11417  maxlinkdim=62 maxerr=9.99E-07 time=1.676
After sweep 4 energy=-156.30255  maxlinkdim=185 maxerr=1.00E-06 time=2.466
After sweep 5 energy=-156.81718  maxlinkdim=357 maxerr=1.00E-06 time=4.256
After sweep 6 energy=-156.85075  maxlinkdim=504 maxerr=1.00E-06 time=5.433
After sweep 7 energy=-156.85402  maxlinkdim=512 maxerr=1.41E-06 time=5.887
After sweep 8 energy=-156.8547  maxlinkdim=512 maxerr=1.33E-06 time=5.994
After sweep 9 energy=-156.85426  maxlinkdim=512 maxerr=1.08E-06 time=6.032
After sweep 10 energy=-156.85506  maxlinkdim=492 maxerr=1.00E-06 time=5.843
After sweep 11 energy=-156.85478  maxlinkdim=486 maxerr=1.00E-06 time=5.800
After sweep 12 energy=-156.85437  maxlinkdim=479 maxerr=1.00E-06 time=5.784
After sweep 13 energy=-156.85516  maxlinkdim=476 maxerr=1.00E-06 time=5.741
After sweep 14 energy=-156.85446  maxlinkdim=473 maxerr=1.00E-06 time=5.729
After sweep 15 energy=-156.85533  maxlinkdim=473 maxerr=1.00E-06 time=5.708
After sweep 16 energy=-156.85495  maxlinkdim=473 maxerr=1.00E-06 time=5.672
After sweep 17 energy=-156.85503  maxlinkdim=473 maxerr=1.00E-06 time=5.735
After sweep 18 energy=-156.85477  maxlinkdim=469 maxerr=1.00E-06 time=5.740
After sweep 19 energy=-156.85495  maxlinkdim=473 maxerr=1.00E-06 time=5.867
After sweep 20 energy=-156.85583  maxlinkdim=474 maxerr=1.00E-06 time=5.721
E0 = -156.85583
M = -6.544753e-6
After sweep 1 energy=-138.94305  maxlinkdim=4 maxerr=2.84E-07 time=1.008
After sweep 2 energy=-151.67406  maxlinkdim=16 maxerr=9.88E-07 time=1.298
After sweep 3 energy=-155.30815  maxlinkdim=62 maxerr=9.99E-07 time=1.616
After sweep 4 energy=-156.5157  maxlinkdim=188 maxerr=1.00E-06 time=2.294
After sweep 5 energy=-156.79129  maxlinkdim=361 maxerr=1.00E-06 time=4.097
After sweep 6 energy=-156.82906  maxlinkdim=512 maxerr=1.82E-06 time=6.544
After sweep 7 energy=-156.85153  maxlinkdim=512 maxerr=2.33E-06 time=7.574
After sweep 8 energy=-156.85483  maxlinkdim=512 maxerr=1.69E-06 time=6.900
After sweep 9 energy=-156.8553  maxlinkdim=512 maxerr=1.21E-06 time=6.350
After sweep 10 energy=-156.85657  maxlinkdim=497 maxerr=1.00E-06 time=6.017
After sweep 11 energy=-156.85432  maxlinkdim=484 maxerr=1.00E-06 time=5.869
After sweep 12 energy=-156.85538  maxlinkdim=480 maxerr=1.00E-06 time=5.814
After sweep 13 energy=-156.85474  maxlinkdim=479 maxerr=1.00E-06 time=5.775
After sweep 14 energy=-156.85501  maxlinkdim=477 maxerr=1.00E-06 time=5.748
After sweep 15 energy=-156.8543  maxlinkdim=473 maxerr=1.00E-06 time=5.704
After sweep 16 energy=-156.8551  maxlinkdim=474 maxerr=1.00E-06 time=5.745
After sweep 17 energy=-156.85457  maxlinkdim=472 maxerr=1.00E-06 time=5.746
After sweep 18 energy=-156.85437  maxlinkdim=467 maxerr=1.00E-06 time=5.744
After sweep 19 energy=-156.85408  maxlinkdim=472 maxerr=1.00E-06 time=5.739
After sweep 20 energy=-156.85492  maxlinkdim=471 maxerr=1.00E-06 time=5.736
E0 = -156.85492
M = -1.5442783e-5
After sweep 1 energy=-136.33421  maxlinkdim=4 maxerr=2.07E-07 time=1.081
After sweep 2 energy=-150.16284  maxlinkdim=16 maxerr=8.24E-07 time=1.344
After sweep 3 energy=-154.82433  maxlinkdim=63 maxerr=9.99E-07 time=1.657
After sweep 4 energy=-156.52222  maxlinkdim=189 maxerr=1.00E-06 time=2.323
After sweep 5 energy=-156.697  maxlinkdim=369 maxerr=1.00E-06 time=4.192
After sweep 6 energy=-156.96812  maxlinkdim=497 maxerr=1.00E-06 time=7.049
After sweep 7 energy=-157.05432  maxlinkdim=342 maxerr=1.00E-06 time=6.015
After sweep 8 energy=-157.0551  maxlinkdim=327 maxerr=1.00E-06 time=5.332
After sweep 9 energy=-157.05547  maxlinkdim=318 maxerr=1.00E-06 time=5.274
After sweep 10 energy=-157.05469  maxlinkdim=321 maxerr=1.00E-06 time=5.230
After sweep 11 energy=-157.05444  maxlinkdim=320 maxerr=1.00E-06 time=5.236
After sweep 12 energy=-157.05412  maxlinkdim=321 maxerr=1.00E-06 time=5.220
After sweep 13 energy=-157.0547  maxlinkdim=321 maxerr=1.00E-06 time=5.165
After sweep 14 energy=-157.05469  maxlinkdim=321 maxerr=1.00E-06 time=5.158
After sweep 15 energy=-157.05362  maxlinkdim=319 maxerr=1.00E-06 time=5.153
After sweep 16 energy=-157.05548  maxlinkdim=320 maxerr=1.00E-06 time=5.159
After sweep 17 energy=-157.0548  maxlinkdim=318 maxerr=1.00E-06 time=5.188
After sweep 18 energy=-157.05562  maxlinkdim=316 maxerr=1.00E-06 time=5.237
After sweep 19 energy=-157.05507  maxlinkdim=319 maxerr=1.00E-06 time=5.223
After sweep 20 energy=-157.05469  maxlinkdim=318 maxerr=1.00E-06 time=5.235
E0 = -157.05469
M = -0.00014864634
After sweep 1 energy=-136.73476  maxlinkdim=4 maxerr=2.62E-07 time=1.130
After sweep 2 energy=-150.66766  maxlinkdim=16 maxerr=9.80E-07 time=1.169
After sweep 3 energy=-155.03052  maxlinkdim=63 maxerr=9.99E-07 time=1.642
After sweep 4 energy=-156.39363  maxlinkdim=188 maxerr=1.00E-06 time=2.362
After sweep 5 energy=-156.8125  maxlinkdim=382 maxerr=1.00E-06 time=4.390
After sweep 6 energy=-156.85178  maxlinkdim=505 maxerr=1.00E-06 time=6.096
After sweep 7 energy=-156.85481  maxlinkdim=512 maxerr=1.06E-06 time=6.364
After sweep 8 energy=-156.85509  maxlinkdim=489 maxerr=1.00E-06 time=6.111
After sweep 9 energy=-156.85492  maxlinkdim=484 maxerr=1.00E-06 time=5.946
After sweep 10 energy=-156.8551  maxlinkdim=475 maxerr=1.00E-06 time=5.901
After sweep 11 energy=-156.8554  maxlinkdim=475 maxerr=1.00E-06 time=5.864
After sweep 12 energy=-156.85489  maxlinkdim=475 maxerr=1.00E-06 time=5.841
After sweep 13 energy=-156.85526  maxlinkdim=472 maxerr=1.00E-06 time=5.816
After sweep 14 energy=-156.85504  maxlinkdim=472 maxerr=1.00E-06 time=5.792
After sweep 15 energy=-156.85544  maxlinkdim=473 maxerr=1.00E-06 time=5.777
After sweep 16 energy=-156.85468  maxlinkdim=473 maxerr=1.00E-06 time=5.770
After sweep 17 energy=-156.85535  maxlinkdim=468 maxerr=1.00E-06 time=5.821
After sweep 18 energy=-156.85504  maxlinkdim=474 maxerr=1.00E-06 time=5.813
After sweep 19 energy=-156.85637  maxlinkdim=470 maxerr=1.00E-06 time=5.805
After sweep 20 energy=-156.85503  maxlinkdim=472 maxerr=1.00E-06 time=5.815
E0 = -156.85503
M = -6.3449115e-6
After sweep 1 energy=-136.57603  maxlinkdim=4 maxerr=2.28E-07 time=1.075
After sweep 2 energy=-151.1586  maxlinkdim=16 maxerr=8.77E-07 time=1.254
