After sweep 1 energy=-106.52101  maxlinkdim=4 maxerr=0.00E+00 time=23.933
After sweep 2 energy=-120.64352  maxlinkdim=16 maxerr=0.00E+00 time=1.579
After sweep 3 energy=-126.10931  maxlinkdim=64 maxerr=0.00E+00 time=2.721
After sweep 4 energy=-127.010414  maxlinkdim=256 maxerr=0.00E+00 time=7.980
After sweep 5 energy=-127.12756  maxlinkdim=1024 maxerr=7.01E-17 time=53.422
After sweep 6 energy=-127.15444  maxlinkdim=1024 maxerr=1.04E-06 time=187.356
After sweep 7 energy=-127.16341  maxlinkdim=1024 maxerr=1.42E-06 time=187.397
After sweep 8 energy=-127.168655  maxlinkdim=1024 maxerr=1.46E-06 time=186.539
After sweep 9 energy=-127.17217  maxlinkdim=1024 maxerr=1.75E-06 time=186.183
After sweep 10 energy=-127.17343  maxlinkdim=1024 maxerr=1.48E-06 time=185.798
After sweep 11 energy=-127.176125  maxlinkdim=1024 maxerr=1.33E-06 time=185.233
After sweep 12 energy=-127.17669  maxlinkdim=1024 maxerr=1.24E-06 time=184.519
After sweep 13 energy=-127.17753  maxlinkdim=1024 maxerr=1.20E-06 time=184.545
After sweep 14 energy=-127.178185  maxlinkdim=1024 maxerr=1.19E-06 time=183.627
After sweep 15 energy=-127.178154  maxlinkdim=1024 maxerr=1.20E-06 time=183.164
After sweep 16 energy=-127.179245  maxlinkdim=1024 maxerr=1.20E-06 time=183.176
After sweep 17 energy=-127.178734  maxlinkdim=1024 maxerr=1.21E-06 time=182.497
After sweep 18 energy=-127.17851  maxlinkdim=1024 maxerr=1.21E-06 time=182.217
After sweep 19 energy=-127.17864  maxlinkdim=1024 maxerr=1.21E-06 time=182.290
After sweep 20 energy=-127.178566  maxlinkdim=1024 maxerr=1.22E-06 time=181.762
E0 = -127.178566
M = 16.00007
After sweep 1 energy=-105.7441  maxlinkdim=4 maxerr=0.00E+00 time=1.269
After sweep 2 energy=-120.18152  maxlinkdim=16 maxerr=0.00E+00 time=1.456
After sweep 3 energy=-125.915054  maxlinkdim=64 maxerr=0.00E+00 time=2.528
After sweep 4 energy=-127.00377  maxlinkdim=256 maxerr=0.00E+00 time=8.065
After sweep 5 energy=-127.126205  maxlinkdim=1024 maxerr=5.80E-17 time=52.414
After sweep 6 energy=-127.15587  maxlinkdim=1024 maxerr=1.12E-06 time=187.538
After sweep 7 energy=-127.1642  maxlinkdim=1024 maxerr=1.62E-06 time=187.710
After sweep 8 energy=-127.16756  maxlinkdim=1024 maxerr=1.58E-06 time=186.818
After sweep 9 energy=-127.169655  maxlinkdim=1024 maxerr=1.36E-06 time=186.823
After sweep 10 energy=-127.17209  maxlinkdim=1024 maxerr=1.46E-06 time=186.528
After sweep 11 energy=-127.17285  maxlinkdim=1024 maxerr=1.27E-06 time=185.967
After sweep 12 energy=-127.1742  maxlinkdim=1024 maxerr=1.20E-06 time=185.083
After sweep 13 energy=-127.175514  maxlinkdim=1024 maxerr=1.18E-06 time=184.789
After sweep 14 energy=-127.17621  maxlinkdim=1024 maxerr=1.19E-06 time=183.780
After sweep 15 energy=-127.176384  maxlinkdim=1024 maxerr=1.18E-06 time=183.153
After sweep 16 energy=-127.17681  maxlinkdim=1024 maxerr=1.19E-06 time=183.212
After sweep 17 energy=-127.17713  maxlinkdim=1024 maxerr=1.19E-06 time=182.420
After sweep 18 energy=-127.17708  maxlinkdim=1024 maxerr=1.19E-06 time=182.052
After sweep 19 energy=-127.178474  maxlinkdim=1024 maxerr=1.19E-06 time=182.307
After sweep 20 energy=-127.17771  maxlinkdim=1024 maxerr=1.20E-06 time=181.737
E0 = -127.17771
M = 16.000084
After sweep 1 energy=-106.49512  maxlinkdim=4 maxerr=0.00E+00 time=1.290
After sweep 2 energy=-120.352295  maxlinkdim=16 maxerr=0.00E+00 time=1.557
After sweep 3 energy=-126.10407  maxlinkdim=64 maxerr=0.00E+00 time=2.594
After sweep 4 energy=-127.0409  maxlinkdim=256 maxerr=0.00E+00 time=7.698
After sweep 5 energy=-127.13767  maxlinkdim=1024 maxerr=6.13E-17 time=52.296
After sweep 6 energy=-127.159  maxlinkdim=1024 maxerr=1.03E-06 time=187.111
After sweep 7 energy=-127.16676  maxlinkdim=1024 maxerr=1.49E-06 time=186.491
After sweep 8 energy=-127.17057  maxlinkdim=1024 maxerr=1.44E-06 time=186.560
After sweep 9 energy=-127.17364  maxlinkdim=1024 maxerr=1.37E-06 time=185.678
After sweep 10 energy=-127.17561  maxlinkdim=1024 maxerr=1.38E-06 time=185.764
After sweep 11 energy=-127.17569  maxlinkdim=1024 maxerr=1.25E-06 time=184.951
After sweep 12 energy=-127.177  maxlinkdim=1024 maxerr=1.21E-06 time=184.332
After sweep 13 energy=-127.17786  maxlinkdim=1024 maxerr=1.20E-06 time=184.349
After sweep 14 energy=-127.17842  maxlinkdim=1024 maxerr=1.20E-06 time=183.435
After sweep 15 energy=-127.17821  maxlinkdim=1024 maxerr=1.20E-06 time=182.810
After sweep 16 energy=-127.178375  maxlinkdim=1024 maxerr=1.21E-06 time=183.015
After sweep 17 energy=-127.17963  maxlinkdim=1024 maxerr=1.21E-06 time=182.207
After sweep 18 energy=-127.179405  maxlinkdim=1024 maxerr=1.21E-06 time=182.025
After sweep 19 energy=-127.17844  maxlinkdim=1024 maxerr=1.21E-06 time=182.236
After sweep 20 energy=-127.17968  maxlinkdim=1024 maxerr=1.21E-06 time=181.705
E0 = -127.17968
M = 16.00011
After sweep 1 energy=-105.6554  maxlinkdim=4 maxerr=0.00E+00 time=1.280
After sweep 2 energy=-120.42553  maxlinkdim=16 maxerr=0.00E+00 time=1.530
After sweep 3 energy=-126.238594  maxlinkdim=64 maxerr=0.00E+00 time=2.927
After sweep 4 energy=-126.988106  maxlinkdim=256 maxerr=5.99E-17 time=7.765
After sweep 5 energy=-127.07927  maxlinkdim=1024 maxerr=9.16E-17 time=52.364
After sweep 6 energy=-127.09892  maxlinkdim=1024 maxerr=1.34E-06 time=188.253
After sweep 7 energy=-127.10755  maxlinkdim=1024 maxerr=2.32E-06 time=189.020
After sweep 8 energy=-127.14032  maxlinkdim=1024 maxerr=2.54E-06 time=189.259
After sweep 9 energy=-127.16185  maxlinkdim=1024 maxerr=1.40E-06 time=188.160
After sweep 10 energy=-127.1689  maxlinkdim=1024 maxerr=1.39E-06 time=187.405
After sweep 11 energy=-127.17194  maxlinkdim=1024 maxerr=1.35E-06 time=186.408
After sweep 12 energy=-127.17417  maxlinkdim=1024 maxerr=1.17E-06 time=185.424
After sweep 13 energy=-127.17611  maxlinkdim=1024 maxerr=1.14E-06 time=184.692
After sweep 14 energy=-127.176506  maxlinkdim=1024 maxerr=1.15E-06 time=183.234
After sweep 15 energy=-127.17754  maxlinkdim=1024 maxerr=1.16E-06 time=182.499
After sweep 16 energy=-127.17807  maxlinkdim=1024 maxerr=1.18E-06 time=182.311
After sweep 17 energy=-127.17872  maxlinkdim=1024 maxerr=1.19E-06 time=181.507
After sweep 18 energy=-127.17837  maxlinkdim=1024 maxerr=1.20E-06 time=181.392
After sweep 19 energy=-127.17849  maxlinkdim=1024 maxerr=1.20E-06 time=181.549
After sweep 20 energy=-127.17844  maxlinkdim=1024 maxerr=1.21E-06 time=181.101
E0 = -127.17844
M = 16.000055
After sweep 1 energy=-106.99923  maxlinkdim=4 maxerr=0.00E+00 time=1.261
After sweep 2 energy=-120.68162  maxlinkdim=16 maxerr=0.00E+00 time=1.503
After sweep 3 energy=-126.00337  maxlinkdim=64 maxerr=0.00E+00 time=2.552
After sweep 4 energy=-126.89364  maxlinkdim=256 maxerr=0.00E+00 time=7.640
After sweep 5 energy=-127.01924  maxlinkdim=1024 maxerr=5.62E-17 time=52.231
After sweep 6 energy=-127.0662  maxlinkdim=1024 maxerr=1.03E-06 time=184.952
After sweep 7 energy=-127.101036  maxlinkdim=1024 maxerr=1.79E-06 time=182.028
After sweep 8 energy=-127.13438  maxlinkdim=1024 maxerr=1.76E-06 time=184.522
After sweep 9 energy=-127.1529  maxlinkdim=1024 maxerr=2.07E-06 time=186.775
