After sweep 1 energy=-136.98843  maxlinkdim=4 maxerr=0.00E+00 time=23.178
After sweep 2 energy=-151.40002  maxlinkdim=16 maxerr=0.00E+00 time=1.633
After sweep 3 energy=-158.25125  maxlinkdim=64 maxerr=0.00E+00 time=2.810
After sweep 4 energy=-159.42815  maxlinkdim=256 maxerr=0.00E+00 time=8.026
After sweep 5 energy=-159.58092  maxlinkdim=512 maxerr=2.32E-07 time=39.676
After sweep 6 energy=-159.69537  maxlinkdim=512 maxerr=3.32E-07 time=50.812
After sweep 7 energy=-159.74835  maxlinkdim=512 maxerr=5.42E-07 time=50.865
After sweep 8 energy=-159.77187  maxlinkdim=512 maxerr=8.85E-07 time=51.077
After sweep 9 energy=-159.78206  maxlinkdim=512 maxerr=4.82E-07 time=51.378
After sweep 10 energy=-159.78815  maxlinkdim=512 maxerr=1.31E-06 time=52.221
After sweep 11 energy=-159.79332  maxlinkdim=512 maxerr=1.28E-06 time=52.133
After sweep 12 energy=-159.79799  maxlinkdim=512 maxerr=1.34E-06 time=52.302
After sweep 13 energy=-159.80026  maxlinkdim=512 maxerr=8.98E-07 time=52.162
After sweep 14 energy=-159.80135  maxlinkdim=512 maxerr=9.22E-07 time=52.156
After sweep 15 energy=-159.80241  maxlinkdim=512 maxerr=8.34E-07 time=52.093
After sweep 16 energy=-159.80196  maxlinkdim=512 maxerr=7.96E-07 time=52.432
After sweep 17 energy=-160.39676  maxlinkdim=512 maxerr=8.00E-07 time=51.706
After sweep 18 energy=-160.4663  maxlinkdim=512 maxerr=1.80E-07 time=51.639
After sweep 19 energy=-160.47192  maxlinkdim=512 maxerr=1.80E-07 time=51.229
After sweep 20 energy=-160.48746  maxlinkdim=512 maxerr=1.80E-07 time=51.136
E0 = -160.48746
M = 72.24241
After sweep 1 energy=-135.82368  maxlinkdim=4 maxerr=0.00E+00 time=1.309
After sweep 2 energy=-150.5691  maxlinkdim=16 maxerr=0.00E+00 time=1.507
