After sweep 1 energy=-227.99426  maxlinkdim=4 maxerr=2.75E-07 time=19.940
After sweep 2 energy=-238.93158  maxlinkdim=16 maxerr=9.93E-07 time=1.414
After sweep 3 energy=-242.66405  maxlinkdim=54 maxerr=9.99E-07 time=1.611
After sweep 4 energy=-243.62227  maxlinkdim=119 maxerr=1.00E-06 time=1.852
After sweep 5 energy=-243.88437  maxlinkdim=210 maxerr=1.00E-06 time=2.835
After sweep 6 energy=-243.99939  maxlinkdim=308 maxerr=1.00E-06 time=4.155
After sweep 7 energy=-244.06688  maxlinkdim=412 maxerr=1.00E-06 time=7.092
After sweep 8 energy=-244.10352  maxlinkdim=512 maxerr=1.46E-06 time=10.426
After sweep 9 energy=-244.12885  maxlinkdim=512 maxerr=4.46E-06 time=13.769
After sweep 10 energy=-244.14857  maxlinkdim=512 maxerr=4.98E-06 time=14.559
After sweep 11 energy=-244.15671  maxlinkdim=512 maxerr=5.54E-06 time=14.550
After sweep 12 energy=-244.15927  maxlinkdim=512 maxerr=5.47E-06 time=14.404
After sweep 13 energy=-244.15895  maxlinkdim=512 maxerr=5.37E-06 time=14.308
After sweep 14 energy=-244.15993  maxlinkdim=512 maxerr=5.32E-06 time=14.693
After sweep 15 energy=-244.15982  maxlinkdim=512 maxerr=5.46E-06 time=13.897
After sweep 16 energy=-244.1608  maxlinkdim=512 maxerr=5.27E-06 time=13.825
After sweep 17 energy=-244.16046  maxlinkdim=512 maxerr=5.28E-06 time=13.801
After sweep 18 energy=-244.15929  maxlinkdim=512 maxerr=5.37E-06 time=13.924
After sweep 19 energy=-244.1607  maxlinkdim=512 maxerr=5.37E-06 time=13.836
After sweep 20 energy=-244.15916  maxlinkdim=512 maxerr=5.23E-06 time=14.465
E0 = -244.15916
M = 120.003
After sweep 1 energy=-226.99664  maxlinkdim=4 maxerr=5.14E-07 time=1.039
After sweep 2 energy=-238.58937  maxlinkdim=16 maxerr=9.94E-07 time=1.349
After sweep 3 energy=-242.18272  maxlinkdim=56 maxerr=9.99E-07 time=1.571
After sweep 4 energy=-243.25127  maxlinkdim=137 maxerr=1.00E-06 time=1.833
After sweep 5 energy=-243.69727  maxlinkdim=236 maxerr=1.00E-06 time=2.788
After sweep 6 energy=-243.9315  maxlinkdim=306 maxerr=1.00E-06 time=3.998
After sweep 7 energy=-244.05618  maxlinkdim=379 maxerr=1.00E-06 time=5.670
After sweep 8 energy=-244.1157  maxlinkdim=447 maxerr=1.00E-06 time=7.601
After sweep 9 energy=-244.14062  maxlinkdim=512 maxerr=1.24E-06 time=10.148
After sweep 10 energy=-244.1525  maxlinkdim=512 maxerr=4.25E-06 time=12.902
After sweep 11 energy=-244.15475  maxlinkdim=512 maxerr=4.70E-06 time=13.773
After sweep 12 energy=-244.15717  maxlinkdim=512 maxerr=4.83E-06 time=14.028
After sweep 13 energy=-244.15617  maxlinkdim=512 maxerr=5.15E-06 time=14.020
After sweep 14 energy=-244.15633  maxlinkdim=512 maxerr=5.28E-06 time=13.964
After sweep 15 energy=-244.15717  maxlinkdim=512 maxerr=5.29E-06 time=14.469
After sweep 16 energy=-244.15608  maxlinkdim=512 maxerr=5.23E-06 time=13.679
After sweep 17 energy=-244.15501  maxlinkdim=512 maxerr=5.36E-06 time=13.699
After sweep 18 energy=-244.15549  maxlinkdim=512 maxerr=5.30E-06 time=13.735
After sweep 19 energy=-244.15567  maxlinkdim=512 maxerr=5.26E-06 time=13.951
After sweep 20 energy=-244.15767  maxlinkdim=512 maxerr=5.30E-06 time=13.955
E0 = -244.15767
M = 120.00357
After sweep 1 energy=-228.3072  maxlinkdim=4 maxerr=9.56E-07 time=1.123
After sweep 2 energy=-238.85033  maxlinkdim=16 maxerr=9.97E-07 time=1.141
After sweep 3 energy=-242.02373  maxlinkdim=52 maxerr=1.00E-06 time=1.768
After sweep 4 energy=-243.11156  maxlinkdim=119 maxerr=1.00E-06 time=1.858
After sweep 5 energy=-243.48506  maxlinkdim=231 maxerr=1.00E-06 time=2.802
After sweep 6 energy=-243.73871  maxlinkdim=361 maxerr=1.00E-06 time=4.544
After sweep 7 energy=-243.87949  maxlinkdim=501 maxerr=1.00E-06 time=7.611
After sweep 8 energy=-243.97032  maxlinkdim=512 maxerr=3.05E-06 time=11.413
After sweep 9 energy=-244.04933  maxlinkdim=512 maxerr=6.11E-06 time=13.911
After sweep 10 energy=-244.10059  maxlinkdim=512 maxerr=5.62E-06 time=14.364
After sweep 11 energy=-244.12158  maxlinkdim=512 maxerr=5.93E-06 time=14.726
After sweep 12 energy=-244.12834  maxlinkdim=512 maxerr=6.31E-06 time=14.811
After sweep 13 energy=-244.1287  maxlinkdim=512 maxerr=6.15E-06 time=14.991
After sweep 14 energy=-244.13069  maxlinkdim=512 maxerr=6.36E-06 time=15.082
After sweep 15 energy=-244.13211  maxlinkdim=512 maxerr=6.48E-06 time=14.539
After sweep 16 energy=-244.1323  maxlinkdim=512 maxerr=6.68E-06 time=14.530
After sweep 17 energy=-244.13332  maxlinkdim=512 maxerr=6.99E-06 time=14.689
After sweep 18 energy=-244.13419  maxlinkdim=512 maxerr=7.56E-06 time=14.776
After sweep 19 energy=-244.13588  maxlinkdim=512 maxerr=8.15E-06 time=14.833
After sweep 20 energy=-244.13934  maxlinkdim=512 maxerr=8.11E-06 time=15.227
E0 = -244.13934
M = 121.925865
After sweep 1 energy=-229.67332  maxlinkdim=4 maxerr=5.13E-07 time=1.154
After sweep 2 energy=-239.31847  maxlinkdim=16 maxerr=9.96E-07 time=1.206
After sweep 3 energy=-242.46294  maxlinkdim=52 maxerr=9.99E-07 time=1.891
After sweep 4 energy=-243.39972  maxlinkdim=114 maxerr=1.00E-06 time=1.752
After sweep 5 energy=-243.79272  maxlinkdim=222 maxerr=9.99E-07 time=2.677
After sweep 6 energy=-243.97873  maxlinkdim=340 maxerr=1.00E-06 time=3.993
After sweep 7 energy=-244.05336  maxlinkdim=458 maxerr=1.00E-06 time=6.522
After sweep 8 energy=-244.10004  maxlinkdim=512 maxerr=3.11E-06 time=10.121
After sweep 9 energy=-244.13152  maxlinkdim=512 maxerr=3.72E-06 time=13.156
After sweep 10 energy=-244.14482  maxlinkdim=512 maxerr=3.74E-06 time=14.093
After sweep 11 energy=-244.14697  maxlinkdim=512 maxerr=4.38E-06 time=14.255
After sweep 12 energy=-244.14955  maxlinkdim=512 maxerr=5.01E-06 time=14.372
After sweep 13 energy=-244.15013  maxlinkdim=512 maxerr=5.25E-06 time=14.341
After sweep 14 energy=-244.1509  maxlinkdim=512 maxerr=5.27E-06 time=14.936
After sweep 15 energy=-244.14792  maxlinkdim=512 maxerr=5.26E-06 time=14.102
After sweep 16 energy=-244.14969  maxlinkdim=512 maxerr=5.34E-06 time=14.136
After sweep 17 energy=-244.15022  maxlinkdim=512 maxerr=5.39E-06 time=14.181
After sweep 18 energy=-244.15068  maxlinkdim=512 maxerr=5.53E-06 time=14.376
After sweep 19 energy=-244.15039  maxlinkdim=512 maxerr=5.63E-06 time=14.389
After sweep 20 energy=-244.15031  maxlinkdim=512 maxerr=5.53E-06 time=14.997
E0 = -244.15031
