After sweep 1 energy=-105.40356  maxlinkdim=4 maxerr=2.47E-07 time=18.623
After sweep 2 energy=-120.1257  maxlinkdim=16 maxerr=8.21E-07 time=1.322
After sweep 3 energy=-124.06347  maxlinkdim=64 maxerr=1.03E-06 time=1.674
After sweep 4 energy=-124.72867  maxlinkdim=209 maxerr=1.00E-06 time=2.707
After sweep 5 energy=-124.89668  maxlinkdim=510 maxerr=1.00E-06 time=7.861
After sweep 6 energy=-124.938545  maxlinkdim=512 maxerr=1.02E-05 time=15.614
After sweep 7 energy=-124.955894  maxlinkdim=512 maxerr=1.41E-05 time=16.053
After sweep 8 energy=-124.9648  maxlinkdim=512 maxerr=1.12E-05 time=15.848
After sweep 9 energy=-124.967285  maxlinkdim=512 maxerr=6.72E-06 time=16.071
After sweep 10 energy=-124.96845  maxlinkdim=512 maxerr=5.05E-06 time=16.314
After sweep 11 energy=-124.96904  maxlinkdim=512 maxerr=4.59E-06 time=16.174
After sweep 12 energy=-124.96906  maxlinkdim=512 maxerr=4.35E-06 time=15.784
After sweep 13 energy=-124.968925  maxlinkdim=512 maxerr=4.40E-06 time=15.832
After sweep 14 energy=-124.96866  maxlinkdim=512 maxerr=4.41E-06 time=15.963
After sweep 15 energy=-124.969315  maxlinkdim=512 maxerr=4.47E-06 time=16.529
After sweep 16 energy=-124.969604  maxlinkdim=512 maxerr=4.40E-06 time=15.764
After sweep 17 energy=-124.96859  maxlinkdim=512 maxerr=4.40E-06 time=15.775
After sweep 18 energy=-124.96956  maxlinkdim=512 maxerr=4.34E-06 time=15.897
After sweep 19 energy=-124.969185  maxlinkdim=512 maxerr=4.44E-06 time=16.011
After sweep 20 energy=-124.96868  maxlinkdim=512 maxerr=4.31E-06 time=16.603
E0 = -124.96868
M = 0.00012899002
After sweep 1 energy=-104.355484  maxlinkdim=4 maxerr=2.48E-07 time=1.086
After sweep 2 energy=-119.91968  maxlinkdim=16 maxerr=9.37E-07 time=1.365
After sweep 3 energy=-124.02948  maxlinkdim=63 maxerr=9.97E-07 time=1.675
After sweep 4 energy=-124.74356  maxlinkdim=209 maxerr=1.00E-06 time=2.581
After sweep 5 energy=-124.91303  maxlinkdim=512 maxerr=1.09E-06 time=7.588
After sweep 6 energy=-124.947296  maxlinkdim=512 maxerr=1.00E-05 time=15.216
After sweep 7 energy=-124.96114  maxlinkdim=512 maxerr=1.14E-05 time=15.821
After sweep 8 energy=-124.96626  maxlinkdim=512 maxerr=8.34E-06 time=15.904
After sweep 9 energy=-124.967865  maxlinkdim=512 maxerr=6.04E-06 time=16.116
After sweep 10 energy=-124.968185  maxlinkdim=512 maxerr=5.07E-06 time=16.327
After sweep 11 energy=-124.96877  maxlinkdim=512 maxerr=4.41E-06 time=16.303
After sweep 12 energy=-124.96937  maxlinkdim=512 maxerr=4.37E-06 time=15.791
After sweep 13 energy=-124.969345  maxlinkdim=512 maxerr=4.38E-06 time=15.847
After sweep 14 energy=-124.969284  maxlinkdim=512 maxerr=4.39E-06 time=16.037
After sweep 15 energy=-124.96894  maxlinkdim=512 maxerr=4.38E-06 time=16.705
