After sweep 1 energy=-382.79068  maxlinkdim=4 maxerr=9.15E-07 time=18.599
After sweep 2 energy=-384.24524  maxlinkdim=10 maxerr=9.95E-07 time=1.120
After sweep 3 energy=-384.43158  maxlinkdim=13 maxerr=9.99E-07 time=1.312
After sweep 4 energy=-384.4467  maxlinkdim=10 maxerr=1.00E-06 time=1.126
After sweep 5 energy=-384.4479  maxlinkdim=10 maxerr=9.99E-07 time=1.132
After sweep 6 energy=-384.44644  maxlinkdim=9 maxerr=9.85E-07 time=1.148
After sweep 7 energy=-384.44736  maxlinkdim=9 maxerr=9.59E-07 time=1.147
After sweep 8 energy=-384.44705  maxlinkdim=9 maxerr=9.77E-07 time=1.155
After sweep 9 energy=-384.4451  maxlinkdim=9 maxerr=9.90E-07 time=1.155
After sweep 10 energy=-384.44785  maxlinkdim=9 maxerr=9.33E-07 time=1.096
After sweep 11 energy=-384.44702  maxlinkdim=9 maxerr=9.92E-07 time=1.174
After sweep 12 energy=-384.44644  maxlinkdim=9 maxerr=9.81E-07 time=1.174
After sweep 13 energy=-384.4468  maxlinkdim=9 maxerr=9.96E-07 time=1.170
After sweep 14 energy=-384.44904  maxlinkdim=9 maxerr=9.95E-07 time=1.112
After sweep 15 energy=-384.44666  maxlinkdim=9 maxerr=9.64E-07 time=1.183
After sweep 16 energy=-384.4482  maxlinkdim=9 maxerr=9.63E-07 time=1.191
After sweep 17 energy=-384.4484  maxlinkdim=9 maxerr=9.95E-07 time=1.115
After sweep 18 energy=-384.44904  maxlinkdim=9 maxerr=9.72E-07 time=1.178
After sweep 19 energy=-384.44925  maxlinkdim=9 maxerr=9.45E-07 time=1.120
After sweep 20 energy=-384.4464  maxlinkdim=9 maxerr=9.66E-07 time=1.197
E0 = -384.4464
M = -0.00042808006
After sweep 1 energy=-381.34677  maxlinkdim=4 maxerr=9.72E-07 time=1.065
After sweep 2 energy=-384.2529  maxlinkdim=9 maxerr=9.98E-07 time=1.268
After sweep 3 energy=-384.439  maxlinkdim=12 maxerr=9.98E-07 time=1.145
After sweep 4 energy=-384.44504  maxlinkdim=9 maxerr=9.99E-07 time=1.238
After sweep 5 energy=-384.4481  maxlinkdim=9 maxerr=9.98E-07 time=1.119
After sweep 6 energy=-384.4477  maxlinkdim=9 maxerr=9.84E-07 time=1.202
After sweep 7 energy=-384.44846  maxlinkdim=9 maxerr=9.88E-07 time=1.192
After sweep 8 energy=-384.44702  maxlinkdim=9 maxerr=9.98E-07 time=1.127
After sweep 9 energy=-384.44785  maxlinkdim=9 maxerr=9.81E-07 time=1.198
After sweep 10 energy=-384.44473  maxlinkdim=9 maxerr=9.66E-07 time=1.207
After sweep 11 energy=-384.44638  maxlinkdim=9 maxerr=9.80E-07 time=1.130
After sweep 12 energy=-384.4493  maxlinkdim=9 maxerr=9.73E-07 time=1.206
After sweep 13 energy=-384.44586  maxlinkdim=9 maxerr=9.86E-07 time=1.146
After sweep 14 energy=-384.44733  maxlinkdim=9 maxerr=9.99E-07 time=1.210
After sweep 15 energy=-384.44617  maxlinkdim=9 maxerr=9.94E-07 time=1.132
After sweep 16 energy=-384.44824  maxlinkdim=9 maxerr=1.00E-06 time=1.211
After sweep 17 energy=-384.45074  maxlinkdim=9 maxerr=9.83E-07 time=1.136
After sweep 18 energy=-384.44806  maxlinkdim=9 maxerr=9.98E-07 time=1.216
After sweep 19 energy=-384.44894  maxlinkdim=9 maxerr=9.75E-07 time=1.178
After sweep 20 energy=-384.4463  maxlinkdim=9 maxerr=9.71E-07 time=1.143
E0 = -384.4463
M = -9.1441114e-5
After sweep 1 energy=-382.24326  maxlinkdim=4 maxerr=9.49E-07 time=1.090
After sweep 2 energy=-384.22742  maxlinkdim=9 maxerr=9.97E-07 time=1.301
After sweep 3 energy=-384.43918  maxlinkdim=12 maxerr=9.96E-07 time=1.146
After sweep 4 energy=-384.44525  maxlinkdim=9 maxerr=1.00E-06 time=1.174
After sweep 5 energy=-384.44537  maxlinkdim=9 maxerr=9.97E-07 time=1.201
After sweep 6 energy=-384.44427  maxlinkdim=9 maxerr=9.46E-07 time=1.196
After sweep 7 energy=-384.44745  maxlinkdim=9 maxerr=9.46E-07 time=1.128
After sweep 8 energy=-384.44864  maxlinkdim=9 maxerr=9.70E-07 time=1.206
After sweep 9 energy=-384.44815  maxlinkdim=9 maxerr=9.26E-07 time=1.132
After sweep 10 energy=-384.4487  maxlinkdim=9 maxerr=9.76E-07 time=1.213
After sweep 11 energy=-384.449  maxlinkdim=9 maxerr=9.57E-07 time=1.150
After sweep 12 energy=-384.4451  maxlinkdim=9 maxerr=9.79E-07 time=1.212
After sweep 13 energy=-384.44724  maxlinkdim=9 maxerr=9.97E-07 time=1.136
After sweep 14 energy=-384.44885  maxlinkdim=9 maxerr=9.48E-07 time=1.214
After sweep 15 energy=-384.44547  maxlinkdim=9 maxerr=9.78E-07 time=1.131
After sweep 16 energy=-384.44843  maxlinkdim=9 maxerr=9.88E-07 time=1.232
After sweep 17 energy=-384.44724  maxlinkdim=9 maxerr=9.90E-07 time=1.137
After sweep 18 energy=-384.4491  maxlinkdim=9 maxerr=1.00E-06 time=1.222
After sweep 19 energy=-384.4461  maxlinkdim=9 maxerr=9.60E-07 time=1.140
After sweep 20 energy=-384.44733  maxlinkdim=9 maxerr=9.74E-07 time=1.136
E0 = -384.44733
M = 0.00029200737
After sweep 1 energy=-381.5299  maxlinkdim=4 maxerr=8.29E-07 time=1.099
After sweep 2 energy=-384.2534  maxlinkdim=10 maxerr=9.96E-07 time=1.309
After sweep 3 energy=-384.43875  maxlinkdim=12 maxerr=1.00E-06 time=1.151
After sweep 4 energy=-384.44647  maxlinkdim=9 maxerr=9.98E-07 time=1.158
After sweep 5 energy=-384.44815  maxlinkdim=9 maxerr=9.96E-07 time=1.197
After sweep 6 energy=-384.44873  maxlinkdim=9 maxerr=9.85E-07 time=1.190
After sweep 7 energy=-384.4469  maxlinkdim=9 maxerr=9.94E-07 time=1.133
After sweep 8 energy=-384.4457  maxlinkdim=9 maxerr=9.98E-07 time=1.199
After sweep 9 energy=-384.44373  maxlinkdim=9 maxerr=9.90E-07 time=1.205
After sweep 10 energy=-384.4491  maxlinkdim=9 maxerr=9.89E-07 time=1.135
After sweep 11 energy=-384.44864  maxlinkdim=9 maxerr=9.90E-07 time=1.221
After sweep 12 energy=-384.44757  maxlinkdim=9 maxerr=9.58E-07 time=1.138
After sweep 13 energy=-384.4461  maxlinkdim=9 maxerr=9.56E-07 time=1.215
After sweep 14 energy=-384.44653  maxlinkdim=9 maxerr=9.71E-07 time=1.173
After sweep 15 energy=-384.4457  maxlinkdim=9 maxerr=9.98E-07 time=1.217
After sweep 16 energy=-384.44647  maxlinkdim=9 maxerr=9.89E-07 time=1.139
After sweep 17 energy=-384.4487  maxlinkdim=9 maxerr=9.53E-07 time=1.136
After sweep 18 energy=-384.4472  maxlinkdim=9 maxerr=9.74E-07 time=1.218
After sweep 19 energy=-384.44864  maxlinkdim=9 maxerr=9.63E-07 time=1.138
After sweep 20 energy=-384.44717  maxlinkdim=9 maxerr=9.99E-07 time=1.245
E0 = -384.44717
M = 2.1320222e-5
After sweep 1 energy=-382.7089  maxlinkdim=4 maxerr=9.03E-07 time=1.065
After sweep 2 energy=-384.26672  maxlinkdim=9 maxerr=9.97E-07 time=1.215
After sweep 3 energy=-384.4347  maxlinkdim=11 maxerr=9.99E-07 time=1.308
After sweep 4 energy=-384.44708  maxlinkdim=9 maxerr=9.98E-07 time=1.161
After sweep 5 energy=-384.4477  maxlinkdim=10 maxerr=9.99E-07 time=1.291
After sweep 6 energy=-384.44592  maxlinkdim=9 maxerr=9.85E-07 time=1.269
After sweep 7 energy=-384.4499  maxlinkdim=9 maxerr=9.77E-07 time=1.188
After sweep 8 energy=-384.4483  maxlinkdim=9 maxerr=9.68E-07 time=1.226
After sweep 9 energy=-384.446  maxlinkdim=9 maxerr=9.93E-07 time=1.128
After sweep 10 energy=-384.449  maxlinkdim=9 maxerr=9.85E-07 time=1.208
After sweep 11 energy=-384.4456  maxlinkdim=9 maxerr=9.91E-07 time=1.133
After sweep 12 energy=-384.44656  maxlinkdim=9 maxerr=9.97E-07 time=1.223
After sweep 13 energy=-384.44482  maxlinkdim=9 maxerr=9.94E-07 time=1.142
After sweep 14 energy=-384.4461  maxlinkdim=9 maxerr=9.70E-07 time=1.228
