After sweep 12 energy=-192.31699  maxlinkdim=512 maxerr=3.77E-05 time=35.625
After sweep 13 energy=-192.31955  maxlinkdim=512 maxerr=3.80E-05 time=36.300
After sweep 14 energy=-192.31984  maxlinkdim=512 maxerr=3.82E-05 time=35.852
After sweep 15 energy=-192.32388  maxlinkdim=512 maxerr=3.85E-05 time=36.050
After sweep 16 energy=-192.32968  maxlinkdim=512 maxerr=3.99E-05 time=36.109
After sweep 17 energy=-192.33476  maxlinkdim=512 maxerr=4.53E-05 time=35.640
After sweep 18 energy=-192.34349  maxlinkdim=512 maxerr=4.70E-05 time=36.437
After sweep 19 energy=-192.34882  maxlinkdim=512 maxerr=4.44E-05 time=35.371
After sweep 20 energy=-192.35347  maxlinkdim=512 maxerr=4.31E-05 time=36.354
E0 = -192.35347
M = 0.21461374
After sweep 1 energy=-149.90372  maxlinkdim=4 maxerr=2.27E-07 time=2.058
After sweep 2 energy=-174.49486  maxlinkdim=16 maxerr=9.79E-07 time=2.529
After sweep 3 energy=-183.55742  maxlinkdim=64 maxerr=9.97E-07 time=3.489
After sweep 4 energy=-185.02748  maxlinkdim=213 maxerr=1.00E-06 time=4.715
After sweep 5 energy=-185.40479  maxlinkdim=512 maxerr=1.48E-06 time=15.827
After sweep 6 energy=-189.06401  maxlinkdim=512 maxerr=9.10E-05 time=34.625
After sweep 7 energy=-189.83202  maxlinkdim=512 maxerr=1.31E-04 time=36.819
After sweep 8 energy=-191.28835  maxlinkdim=512 maxerr=1.37E-04 time=35.725
After sweep 9 energy=-192.25232  maxlinkdim=512 maxerr=6.25E-05 time=36.326
After sweep 10 energy=-192.30544  maxlinkdim=512 maxerr=4.86E-05 time=35.561
After sweep 11 energy=-192.31708  maxlinkdim=512 maxerr=4.15E-05 time=36.385
After sweep 12 energy=-192.323  maxlinkdim=512 maxerr=4.13E-05 time=35.622
After sweep 13 energy=-192.32901  maxlinkdim=512 maxerr=4.89E-05 time=36.149
After sweep 14 energy=-192.33601  maxlinkdim=512 maxerr=5.17E-05 time=35.710
After sweep 15 energy=-192.3433  maxlinkdim=512 maxerr=4.89E-05 time=36.111
After sweep 16 energy=-192.35033  maxlinkdim=512 maxerr=4.37E-05 time=36.070
After sweep 17 energy=-192.3584  maxlinkdim=512 maxerr=4.09E-05 time=35.763
After sweep 18 energy=-192.36662  maxlinkdim=512 maxerr=4.64E-05 time=36.499
After sweep 19 energy=-192.3731  maxlinkdim=512 maxerr=4.72E-05 time=35.425
After sweep 20 energy=-192.3785  maxlinkdim=512 maxerr=4.37E-05 time=36.569
E0 = -192.3785
M = -0.16582243
After sweep 1 energy=-150.67969  maxlinkdim=4 maxerr=2.41E-07 time=1.979
After sweep 2 energy=-173.41742  maxlinkdim=16 maxerr=9.88E-07 time=2.323
After sweep 3 energy=-182.89177  maxlinkdim=64 maxerr=9.98E-07 time=2.961
After sweep 4 energy=-185.08707  maxlinkdim=245 maxerr=1.00E-06 time=4.739
After sweep 5 energy=-186.29665  maxlinkdim=512 maxerr=2.70E-05 time=17.624
After sweep 6 energy=-190.77843  maxlinkdim=512 maxerr=7.45E-05 time=34.848
After sweep 7 energy=-192.05278  maxlinkdim=512 maxerr=1.16E-04 time=36.342
After sweep 8 energy=-192.30424  maxlinkdim=512 maxerr=5.83E-05 time=35.508
After sweep 9 energy=-192.33165  maxlinkdim=512 maxerr=4.76E-05 time=36.385
After sweep 10 energy=-192.34515  maxlinkdim=512 maxerr=4.72E-05 time=35.640
After sweep 11 energy=-192.35876  maxlinkdim=512 maxerr=5.05E-05 time=36.372
After sweep 12 energy=-192.36768  maxlinkdim=512 maxerr=5.30E-05 time=35.780
After sweep 13 energy=-192.37573  maxlinkdim=512 maxerr=4.49E-05 time=36.177
After sweep 14 energy=-192.3797  maxlinkdim=512 maxerr=3.88E-05 time=35.903
After sweep 15 energy=-192.38249  maxlinkdim=512 maxerr=3.56E-05 time=35.847
After sweep 16 energy=-192.38258  maxlinkdim=512 maxerr=3.38E-05 time=36.589
After sweep 17 energy=-192.3829  maxlinkdim=512 maxerr=3.31E-05 time=35.392
After sweep 18 energy=-192.3823  maxlinkdim=512 maxerr=3.26E-05 time=36.488
After sweep 19 energy=-192.38474  maxlinkdim=512 maxerr=3.20E-05 time=35.481
After sweep 20 energy=-192.38377  maxlinkdim=512 maxerr=3.24E-05 time=36.468
E0 = -192.38377
M = 0.13207921
After sweep 1 energy=-150.91602  maxlinkdim=4 maxerr=2.43E-07 time=2.080
After sweep 2 energy=-174.58893  maxlinkdim=16 maxerr=9.91E-07 time=2.368
After sweep 3 energy=-183.56557  maxlinkdim=64 maxerr=1.03E-06 time=3.230
After sweep 4 energy=-185.02515  maxlinkdim=212 maxerr=1.00E-06 time=4.692
After sweep 5 energy=-185.4033  maxlinkdim=512 maxerr=1.40E-06 time=15.807
After sweep 6 energy=-189.04712  maxlinkdim=512 maxerr=9.16E-05 time=34.553
After sweep 7 energy=-189.96002  maxlinkdim=512 maxerr=1.27E-04 time=36.727
After sweep 8 energy=-191.3478  maxlinkdim=512 maxerr=1.20E-04 time=35.762
After sweep 9 energy=-192.26027  maxlinkdim=512 maxerr=6.94E-05 time=36.362
After sweep 10 energy=-192.30592  maxlinkdim=512 maxerr=5.14E-05 time=35.561
After sweep 11 energy=-192.31723  maxlinkdim=512 maxerr=4.04E-05 time=36.285
After sweep 12 energy=-192.31998  maxlinkdim=512 maxerr=4.00E-05 time=35.615
After sweep 13 energy=-192.3234  maxlinkdim=512 maxerr=4.09E-05 time=36.226
After sweep 14 energy=-192.33124  maxlinkdim=512 maxerr=4.19E-05 time=35.706
After sweep 15 energy=-192.34308  maxlinkdim=512 maxerr=4.79E-05 time=36.152
After sweep 16 energy=-192.35637  maxlinkdim=512 maxerr=4.98E-05 time=36.085
After sweep 17 energy=-192.364  maxlinkdim=512 maxerr=4.83E-05 time=35.789
After sweep 18 energy=-192.3738  maxlinkdim=512 maxerr=4.26E-05 time=36.533
After sweep 19 energy=-192.37744  maxlinkdim=512 maxerr=3.84E-05 time=35.350
After sweep 20 energy=-192.38097  maxlinkdim=512 maxerr=3.57E-05 time=36.448
E0 = -192.38097
M = -0.23510689
After sweep 1 energy=-147.72113  maxlinkdim=4 maxerr=2.51E-07 time=2.194
After sweep 2 energy=-172.41829  maxlinkdim=16 maxerr=8.87E-07 time=2.196
After sweep 3 energy=-183.07596  maxlinkdim=64 maxerr=1.00E-06 time=3.479
After sweep 4 energy=-185.46028  maxlinkdim=241 maxerr=1.00E-06 time=4.979
After sweep 5 energy=-186.77022  maxlinkdim=512 maxerr=3.11E-05 time=18.509
After sweep 6 energy=-190.69719  maxlinkdim=512 maxerr=1.16E-04 time=35.110
After sweep 7 energy=-192.0728  maxlinkdim=512 maxerr=1.15E-04 time=36.428
After sweep 8 energy=-192.32506  maxlinkdim=512 maxerr=5.02E-05 time=35.559
After sweep 9 energy=-192.35202  maxlinkdim=512 maxerr=4.53E-05 time=36.313
After sweep 10 energy=-192.36371  maxlinkdim=512 maxerr=4.66E-05 time=35.577
After sweep 11 energy=-192.37256  maxlinkdim=512 maxerr=4.39E-05 time=36.203
After sweep 12 energy=-192.37715  maxlinkdim=512 maxerr=4.10E-05 time=35.645
After sweep 13 energy=-192.38124  maxlinkdim=512 maxerr=3.91E-05 time=36.050
After sweep 14 energy=-192.38316  maxlinkdim=512 maxerr=3.56E-05 time=36.025
After sweep 15 energy=-192.38234  maxlinkdim=512 maxerr=3.39E-05 time=35.817
After sweep 16 energy=-192.38373  maxlinkdim=512 maxerr=3.28E-05 time=36.521
After sweep 17 energy=-192.38248  maxlinkdim=512 maxerr=3.25E-05 time=35.361
After sweep 18 energy=-192.3837  maxlinkdim=512 maxerr=3.23E-05 time=36.499
After sweep 19 energy=-192.3836  maxlinkdim=512 maxerr=3.21E-05 time=35.482
After sweep 20 energy=-192.38336  maxlinkdim=512 maxerr=3.22E-05 time=36.457
E0 = -192.38336
M = -0.21358971
After sweep 1 energy=-151.17612  maxlinkdim=4 maxerr=2.24E-07 time=2.055
After sweep 2 energy=-174.44778  maxlinkdim=16 maxerr=9.92E-07 time=2.192
After sweep 3 energy=-183.54639  maxlinkdim=64 maxerr=9.99E-07 time=3.477
After sweep 4 energy=-185.02545  maxlinkdim=212 maxerr=1.00E-06 time=4.776
After sweep 5 energy=-185.40456  maxlinkdim=512 maxerr=1.57E-06 time=15.745
After sweep 6 energy=-189.07257  maxlinkdim=512 maxerr=8.85E-05 time=34.599
After sweep 7 energy=-190.05927  maxlinkdim=512 maxerr=1.24E-04 time=36.761
After sweep 8 energy=-191.56152  maxlinkdim=512 maxerr=1.18E-04 time=35.774
After sweep 9 energy=-192.25868  maxlinkdim=512 maxerr=6.70E-05 time=36.377
After sweep 10 energy=-192.31183  maxlinkdim=512 maxerr=5.21E-05 time=35.562
After sweep 11 energy=-192.33003  maxlinkdim=512 maxerr=4.67E-05 time=36.274
After sweep 12 energy=-192.34251  maxlinkdim=512 maxerr=4.88E-05 time=35.600
After sweep 13 energy=-192.35461  maxlinkdim=512 maxerr=4.69E-05 time=36.188
After sweep 14 energy=-192.36504  maxlinkdim=512 maxerr=4.61E-05 time=35.672
