After sweep 1 energy=-363.11993  maxlinkdim=4 maxerr=9.97E-07 time=20.262
After sweep 2 energy=-364.62122  maxlinkdim=9 maxerr=9.85E-07 time=1.186
After sweep 3 energy=-364.8088  maxlinkdim=8 maxerr=9.91E-07 time=1.216
After sweep 4 energy=-364.93842  maxlinkdim=10 maxerr=9.94E-07 time=1.234
After sweep 5 energy=-365.01562  maxlinkdim=10 maxerr=9.98E-07 time=1.234
After sweep 6 energy=-365.09735  maxlinkdim=12 maxerr=9.98E-07 time=1.242
After sweep 7 energy=-365.1577  maxlinkdim=14 maxerr=9.98E-07 time=1.461
After sweep 8 energy=-365.18674  maxlinkdim=16 maxerr=9.97E-07 time=1.214
After sweep 9 energy=-365.2001  maxlinkdim=17 maxerr=9.99E-07 time=1.319
After sweep 10 energy=-365.21042  maxlinkdim=19 maxerr=1.00E-06 time=1.304
After sweep 11 energy=-365.21887  maxlinkdim=19 maxerr=9.98E-07 time=1.260
After sweep 12 energy=-365.22186  maxlinkdim=19 maxerr=9.96E-07 time=1.314
After sweep 13 energy=-365.22385  maxlinkdim=19 maxerr=9.94E-07 time=1.307
After sweep 14 energy=-365.22952  maxlinkdim=18 maxerr=9.89E-07 time=1.230
After sweep 15 energy=-365.23148  maxlinkdim=18 maxerr=9.97E-07 time=1.276
After sweep 16 energy=-365.23242  maxlinkdim=18 maxerr=9.96E-07 time=1.286
After sweep 17 energy=-365.23096  maxlinkdim=19 maxerr=9.99E-07 time=1.172
After sweep 18 energy=-365.234  maxlinkdim=18 maxerr=9.93E-07 time=1.230
After sweep 19 energy=-365.23483  maxlinkdim=18 maxerr=9.89E-07 time=1.170
After sweep 20 energy=-365.2349  maxlinkdim=18 maxerr=9.70E-07 time=1.247
E0 = -365.2349
M = 191.99991
After sweep 1 energy=-363.74176  maxlinkdim=4 maxerr=9.95E-07 time=1.148
After sweep 2 energy=-364.63455  maxlinkdim=9 maxerr=9.97E-07 time=1.371
After sweep 3 energy=-364.8039  maxlinkdim=9 maxerr=9.83E-07 time=1.234
After sweep 4 energy=-364.9034  maxlinkdim=9 maxerr=9.98E-07 time=1.314
