After sweep 1 energy=-180.29416  maxlinkdim=4 maxerr=0.00E+00 time=23.584
After sweep 2 energy=-193.9394  maxlinkdim=16 maxerr=0.00E+00 time=1.623
After sweep 3 energy=-197.80086  maxlinkdim=64 maxerr=0.00E+00 time=2.773
After sweep 4 energy=-198.70786  maxlinkdim=256 maxerr=9.50E-17 time=8.666
After sweep 5 energy=-198.86728  maxlinkdim=512 maxerr=3.32E-08 time=37.444
After sweep 6 energy=-198.9352  maxlinkdim=512 maxerr=8.32E-08 time=49.313
After sweep 7 energy=-198.99216  maxlinkdim=512 maxerr=3.35E-07 time=49.310
After sweep 8 energy=-199.07549  maxlinkdim=512 maxerr=7.31E-07 time=49.394
After sweep 9 energy=-199.22896  maxlinkdim=512 maxerr=1.53E-06 time=49.518
After sweep 10 energy=-199.34233  maxlinkdim=512 maxerr=1.97E-06 time=50.264
After sweep 11 energy=-199.3809  maxlinkdim=512 maxerr=1.92E-06 time=50.285
After sweep 12 energy=-199.40302  maxlinkdim=512 maxerr=2.68E-06 time=50.395
After sweep 13 energy=-199.41734  maxlinkdim=512 maxerr=2.47E-06 time=50.559
After sweep 14 energy=-199.42845  maxlinkdim=512 maxerr=2.83E-06 time=50.930
After sweep 15 energy=-199.4396  maxlinkdim=512 maxerr=4.08E-06 time=50.997
After sweep 16 energy=-199.45673  maxlinkdim=512 maxerr=5.04E-06 time=51.618
After sweep 17 energy=-199.47966  maxlinkdim=512 maxerr=3.84E-06 time=51.635
After sweep 18 energy=-199.51639  maxlinkdim=512 maxerr=6.53E-06 time=52.024
After sweep 19 energy=-199.5736  maxlinkdim=512 maxerr=6.45E-06 time=51.921
After sweep 20 energy=-199.59908  maxlinkdim=512 maxerr=6.86E-06 time=51.898
E0 = -199.59908
M = 94.04495
After sweep 1 energy=-181.57465  maxlinkdim=4 maxerr=0.00E+00 time=1.383
After sweep 2 energy=-195.08823  maxlinkdim=16 maxerr=0.00E+00 time=1.602
After sweep 3 energy=-197.72202  maxlinkdim=64 maxerr=0.00E+00 time=2.686
After sweep 4 energy=-198.19553  maxlinkdim=256 maxerr=1.22E-19 time=7.609
After sweep 5 energy=-198.39108  maxlinkdim=512 maxerr=1.26E-08 time=36.626
After sweep 6 energy=-198.50804  maxlinkdim=512 maxerr=1.44E-07 time=48.976
After sweep 7 energy=-198.60446  maxlinkdim=512 maxerr=9.81E-07 time=49.000
After sweep 8 energy=-198.7848  maxlinkdim=512 maxerr=3.16E-06 time=48.914
After sweep 9 energy=-198.9178  maxlinkdim=512 maxerr=1.22E-06 time=48.872
After sweep 10 energy=-198.98479  maxlinkdim=512 maxerr=1.93E-07 time=49.003
After sweep 11 energy=-199.0335  maxlinkdim=512 maxerr=3.66E-06 time=48.793
After sweep 12 energy=-199.0759  maxlinkdim=512 maxerr=1.80E-06 time=49.099
After sweep 13 energy=-199.12079  maxlinkdim=512 maxerr=2.08E-06 time=48.961
After sweep 14 energy=-199.15947  maxlinkdim=512 maxerr=2.89E-06 time=49.095
After sweep 15 energy=-199.18459  maxlinkdim=512 maxerr=3.68E-06 time=49.572
After sweep 16 energy=-199.21326  maxlinkdim=512 maxerr=3.66E-06 time=49.754
After sweep 17 energy=-199.23924  maxlinkdim=512 maxerr=3.95E-06 time=49.435
After sweep 18 energy=-199.25569  maxlinkdim=512 maxerr=4.20E-06 time=49.741
After sweep 19 energy=-199.26317  maxlinkdim=512 maxerr=3.29E-06 time=50.384
After sweep 20 energy=-199.26674  maxlinkdim=512 maxerr=2.31E-06 time=50.813
E0 = -199.26674
M = 104.00358
After sweep 1 energy=-179.09009  maxlinkdim=4 maxerr=0.00E+00 time=1.313
After sweep 2 energy=-193.0978  maxlinkdim=16 maxerr=0.00E+00 time=1.564
After sweep 3 energy=-197.00792  maxlinkdim=64 maxerr=0.00E+00 time=2.590
After sweep 4 energy=-198.3345  maxlinkdim=256 maxerr=3.17E-17 time=7.590
After sweep 5 energy=-198.57446  maxlinkdim=512 maxerr=7.81E-09 time=36.475
After sweep 6 energy=-198.70157  maxlinkdim=512 maxerr=6.55E-08 time=48.925
After sweep 7 energy=-198.81671  maxlinkdim=512 maxerr=4.26E-07 time=48.965
After sweep 8 energy=-198.91028  maxlinkdim=512 maxerr=1.29E-06 time=48.996
After sweep 9 energy=-198.97252  maxlinkdim=512 maxerr=1.80E-07 time=48.899
After sweep 10 energy=-199.02098  maxlinkdim=512 maxerr=7.93E-06 time=49.171
After sweep 11 energy=-199.07079  maxlinkdim=512 maxerr=1.92E-06 time=49.033
After sweep 12 energy=-199.13988  maxlinkdim=512 maxerr=3.56E-06 time=49.116
After sweep 13 energy=-199.20523  maxlinkdim=512 maxerr=2.57E-06 time=49.108
After sweep 14 energy=-199.25714  maxlinkdim=512 maxerr=8.92E-07 time=49.232
After sweep 15 energy=-199.2934  maxlinkdim=512 maxerr=1.63E-06 time=49.154
After sweep 16 energy=-199.32454  maxlinkdim=512 maxerr=1.95E-06 time=49.443
After sweep 17 energy=-199.34619  maxlinkdim=512 maxerr=2.46E-06 time=49.260
After sweep 18 energy=-199.36203  maxlinkdim=512 maxerr=1.62E-06 time=49.218
After sweep 19 energy=-199.3743  maxlinkdim=512 maxerr=2.06E-06 time=49.425
After sweep 20 energy=-199.38423  maxlinkdim=512 maxerr=1.65E-06 time=49.752
E0 = -199.38423
M = 99.790016
After sweep 1 energy=-179.9346  maxlinkdim=4 maxerr=0.00E+00 time=1.316
After sweep 2 energy=-194.33823  maxlinkdim=16 maxerr=0.00E+00 time=1.572
After sweep 3 energy=-197.54512  maxlinkdim=64 maxerr=0.00E+00 time=2.599
After sweep 4 energy=-198.19121  maxlinkdim=256 maxerr=7.51E-19 time=7.596
After sweep 5 energy=-198.52373  maxlinkdim=512 maxerr=1.90E-08 time=36.600
After sweep 6 energy=-198.77344  maxlinkdim=512 maxerr=1.06E-07 time=48.937
After sweep 7 energy=-198.94218  maxlinkdim=512 maxerr=3.63E-07 time=49.100
After sweep 8 energy=-199.02199  maxlinkdim=512 maxerr=5.42E-07 time=49.161
After sweep 9 energy=-199.08183  maxlinkdim=512 maxerr=3.12E-07 time=49.148
After sweep 10 energy=-199.13275  maxlinkdim=512 maxerr=9.27E-07 time=49.268
After sweep 11 energy=-199.17659  maxlinkdim=512 maxerr=2.93E-06 time=48.827
After sweep 12 energy=-199.23389  maxlinkdim=512 maxerr=4.18E-06 time=49.038
After sweep 13 energy=-199.39659  maxlinkdim=512 maxerr=1.22E-05 time=49.403
After sweep 14 energy=-199.4945  maxlinkdim=512 maxerr=3.18E-06 time=49.484
After sweep 15 energy=-199.52338  maxlinkdim=512 maxerr=1.63E-06 time=49.568
After sweep 16 energy=-199.53339  maxlinkdim=512 maxerr=2.74E-06 time=49.914
After sweep 17 energy=-199.53487  maxlinkdim=512 maxerr=2.96E-06 time=49.947
After sweep 18 energy=-199.54338  maxlinkdim=512 maxerr=2.79E-06 time=50.582
After sweep 19 energy=-199.54454  maxlinkdim=512 maxerr=2.20E-06 time=51.023
After sweep 20 energy=-199.5476  maxlinkdim=512 maxerr=2.22E-06 time=51.108
E0 = -199.5476
M = 99.44954
After sweep 1 energy=-179.88177  maxlinkdim=4 maxerr=0.00E+00 time=1.310
After sweep 2 energy=-193.90154  maxlinkdim=16 maxerr=0.00E+00 time=1.564
After sweep 3 energy=-197.51427  maxlinkdim=64 maxerr=0.00E+00 time=2.579
After sweep 4 energy=-198.66884  maxlinkdim=256 maxerr=5.05E-17 time=7.571
After sweep 5 energy=-198.84116  maxlinkdim=512 maxerr=2.00E-09 time=36.521
After sweep 6 energy=-198.94366  maxlinkdim=512 maxerr=4.28E-06 time=49.009
After sweep 7 energy=-199.00882  maxlinkdim=512 maxerr=1.13E-07 time=48.865
After sweep 8 energy=-199.05864  maxlinkdim=512 maxerr=3.44E-07 time=48.703
After sweep 9 energy=-199.10533  maxlinkdim=512 maxerr=2.24E-06 time=48.668
After sweep 10 energy=-199.16043  maxlinkdim=512 maxerr=3.36E-06 time=49.080
After sweep 11 energy=-199.24345  maxlinkdim=512 maxerr=2.46E-06 time=48.686
After sweep 12 energy=-199.32477  maxlinkdim=512 maxerr=2.79E-06 time=49.013
After sweep 13 energy=-199.36009  maxlinkdim=512 maxerr=1.83E-06 time=49.183
After sweep 14 energy=-199.38042  maxlinkdim=512 maxerr=3.01E-06 time=49.451
After sweep 15 energy=-199.39676  maxlinkdim=512 maxerr=1.60E-06 time=49.782
After sweep 16 energy=-199.4109  maxlinkdim=512 maxerr=1.67E-06 time=50.102
After sweep 17 energy=-199.42462  maxlinkdim=512 maxerr=1.89E-06 time=49.906
After sweep 18 energy=-199.4392  maxlinkdim=512 maxerr=2.04E-06 time=49.966
After sweep 19 energy=-199.45137  maxlinkdim=512 maxerr=2.13E-06 time=50.112
After sweep 20 energy=-199.46231  maxlinkdim=512 maxerr=3.03E-06 time=50.152
E0 = -199.46231
M = 101.99471
After sweep 1 energy=-180.82925  maxlinkdim=4 maxerr=0.00E+00 time=1.304
After sweep 2 energy=-194.70503  maxlinkdim=16 maxerr=0.00E+00 time=1.556
After sweep 3 energy=-197.34291  maxlinkdim=64 maxerr=0.00E+00 time=2.581
After sweep 4 energy=-198.16315  maxlinkdim=256 maxerr=1.04E-17 time=7.557
After sweep 5 energy=-198.36395  maxlinkdim=512 maxerr=9.63E-09 time=36.687
After sweep 6 energy=-198.46043  maxlinkdim=512 maxerr=2.74E-08 time=48.941
