After sweep 1 energy=-143.26688  maxlinkdim=4 maxerr=0.00E+00 time=21.987
After sweep 2 energy=-157.76176  maxlinkdim=16 maxerr=0.00E+00 time=1.657
After sweep 3 energy=-165.01863  maxlinkdim=64 maxerr=0.00E+00 time=2.812
After sweep 4 energy=-167.85092  maxlinkdim=256 maxerr=3.95E-17 time=8.781
After sweep 5 energy=-167.98987  maxlinkdim=512 maxerr=8.34E-08 time=38.518
After sweep 6 energy=-168.01112  maxlinkdim=512 maxerr=1.68E-07 time=50.537
After sweep 7 energy=-168.01811  maxlinkdim=512 maxerr=2.04E-07 time=50.785
After sweep 8 energy=-168.0214  maxlinkdim=512 maxerr=3.29E-07 time=51.219
After sweep 9 energy=-168.02441  maxlinkdim=512 maxerr=9.53E-07 time=51.501
After sweep 10 energy=-168.02652  maxlinkdim=512 maxerr=6.37E-07 time=52.120
After sweep 11 energy=-168.02885  maxlinkdim=512 maxerr=6.00E-07 time=51.816
After sweep 12 energy=-168.02872  maxlinkdim=512 maxerr=4.73E-07 time=51.882
After sweep 13 energy=-168.03029  maxlinkdim=512 maxerr=5.15E-07 time=51.996
After sweep 14 energy=-168.0305  maxlinkdim=512 maxerr=4.57E-07 time=51.989
After sweep 15 energy=-168.03082  maxlinkdim=512 maxerr=4.26E-07 time=51.919
After sweep 16 energy=-168.03116  maxlinkdim=512 maxerr=4.13E-07 time=52.188
After sweep 17 energy=-168.03107  maxlinkdim=512 maxerr=4.03E-07 time=51.844
After sweep 18 energy=-168.03125  maxlinkdim=512 maxerr=4.07E-07 time=51.887
After sweep 19 energy=-168.03156  maxlinkdim=512 maxerr=3.85E-07 time=51.806
After sweep 20 energy=-168.03206  maxlinkdim=512 maxerr=3.87E-07 time=51.779
E0 = -168.03206
M = 76.000435
After sweep 1 energy=-143.00195  maxlinkdim=4 maxerr=0.00E+00 time=1.308
After sweep 2 energy=-156.9531  maxlinkdim=16 maxerr=0.00E+00 time=1.547
After sweep 3 energy=-164.78706  maxlinkdim=64 maxerr=0.00E+00 time=2.622
After sweep 4 energy=-166.77023  maxlinkdim=256 maxerr=1.85E-17 time=7.705
After sweep 5 energy=-166.8579  maxlinkdim=512 maxerr=7.48E-08 time=37.815
After sweep 6 energy=-166.87769  maxlinkdim=512 maxerr=3.46E-07 time=50.056
After sweep 7 energy=-166.88736  maxlinkdim=512 maxerr=5.25E-07 time=50.496
After sweep 8 energy=-166.89224  maxlinkdim=512 maxerr=8.91E-07 time=51.066
After sweep 9 energy=-166.89856  maxlinkdim=512 maxerr=8.04E-07 time=51.225
After sweep 10 energy=-167.99442  maxlinkdim=512 maxerr=4.52E-07 time=51.747
After sweep 11 energy=-168.02037  maxlinkdim=512 maxerr=5.35E-07 time=51.340
After sweep 12 energy=-168.0224  maxlinkdim=512 maxerr=6.17E-07 time=51.380
After sweep 13 energy=-168.02383  maxlinkdim=512 maxerr=5.62E-07 time=51.753
After sweep 14 energy=-168.02493  maxlinkdim=512 maxerr=6.07E-07 time=51.798
After sweep 15 energy=-168.02713  maxlinkdim=512 maxerr=4.96E-07 time=51.724
After sweep 16 energy=-168.0267  maxlinkdim=512 maxerr=4.85E-07 time=51.885
After sweep 17 energy=-168.02838  maxlinkdim=512 maxerr=6.80E-07 time=51.649
After sweep 18 energy=-168.02795  maxlinkdim=512 maxerr=5.45E-07 time=51.687
After sweep 19 energy=-168.0291  maxlinkdim=512 maxerr=5.53E-07 time=51.693
After sweep 20 energy=-168.02948  maxlinkdim=512 maxerr=4.94E-07 time=51.711
E0 = -168.02948
M = 75.9997
After sweep 1 energy=-143.22363  maxlinkdim=4 maxerr=0.00E+00 time=1.240
After sweep 2 energy=-158.44357  maxlinkdim=16 maxerr=0.00E+00 time=1.515
After sweep 3 energy=-165.28897  maxlinkdim=64 maxerr=0.00E+00 time=2.544
After sweep 4 energy=-166.6297  maxlinkdim=256 maxerr=0.00E+00 time=7.651
After sweep 5 energy=-166.70226  maxlinkdim=512 maxerr=1.83E-07 time=38.379
After sweep 6 energy=-166.71992  maxlinkdim=512 maxerr=3.13E-07 time=50.575
After sweep 7 energy=-166.92628  maxlinkdim=512 maxerr=9.11E-07 time=50.657
After sweep 8 energy=-168.43904  maxlinkdim=512 maxerr=9.23E-08 time=50.197
After sweep 9 energy=-168.46835  maxlinkdim=512 maxerr=5.57E-08 time=50.566
After sweep 10 energy=-168.47177  maxlinkdim=512 maxerr=8.62E-08 time=51.114
After sweep 11 energy=-168.47212  maxlinkdim=512 maxerr=4.97E-08 time=51.393
After sweep 12 energy=-168.47198  maxlinkdim=512 maxerr=4.86E-08 time=51.379
After sweep 13 energy=-168.4714  maxlinkdim=512 maxerr=4.84E-08 time=51.391
After sweep 14 energy=-168.47159  maxlinkdim=512 maxerr=4.86E-08 time=51.385
After sweep 15 energy=-168.4718  maxlinkdim=512 maxerr=4.86E-08 time=51.360
After sweep 16 energy=-168.47198  maxlinkdim=512 maxerr=4.86E-08 time=51.649
After sweep 17 energy=-168.47243  maxlinkdim=512 maxerr=4.88E-08 time=51.406
After sweep 18 energy=-168.47221  maxlinkdim=512 maxerr=4.86E-08 time=51.284
After sweep 19 energy=-168.47107  maxlinkdim=512 maxerr=4.85E-08 time=51.284
After sweep 20 energy=-168.47159  maxlinkdim=512 maxerr=4.86E-08 time=51.380
E0 = -168.47159
M = 71.99998
After sweep 1 energy=-142.58937  maxlinkdim=4 maxerr=0.00E+00 time=1.299
After sweep 2 energy=-157.4604  maxlinkdim=16 maxerr=0.00E+00 time=1.539
After sweep 3 energy=-164.81195  maxlinkdim=64 maxerr=0.00E+00 time=2.613
After sweep 4 energy=-166.61826  maxlinkdim=256 maxerr=5.75E-17 time=7.841
After sweep 5 energy=-166.69087  maxlinkdim=512 maxerr=1.01E-07 time=38.319
After sweep 6 energy=-166.70497  maxlinkdim=512 maxerr=6.27E-07 time=50.294
After sweep 7 energy=-166.7135  maxlinkdim=512 maxerr=6.87E-07 time=50.718
After sweep 8 energy=-166.71982  maxlinkdim=512 maxerr=6.53E-07 time=51.467
After sweep 9 energy=-167.23067  maxlinkdim=512 maxerr=8.68E-07 time=51.615
After sweep 10 energy=-167.85075  maxlinkdim=512 maxerr=8.55E-07 time=52.077
After sweep 11 energy=-167.85712  maxlinkdim=512 maxerr=8.89E-07 time=51.501
After sweep 12 energy=-167.85748  maxlinkdim=512 maxerr=1.03E-06 time=51.909
After sweep 13 energy=-167.9012  maxlinkdim=512 maxerr=1.94E-06 time=51.956
After sweep 14 energy=-168.01433  maxlinkdim=512 maxerr=5.23E-07 time=51.357
After sweep 15 energy=-168.02838  maxlinkdim=512 maxerr=7.81E-07 time=51.284
After sweep 16 energy=-168.0306  maxlinkdim=512 maxerr=2.34E-07 time=51.478
After sweep 17 energy=-168.0312  maxlinkdim=512 maxerr=3.16E-07 time=51.251
After sweep 18 energy=-168.03178  maxlinkdim=512 maxerr=2.79E-07 time=51.221
After sweep 19 energy=-168.03212  maxlinkdim=512 maxerr=2.40E-07 time=51.403
After sweep 20 energy=-168.03133  maxlinkdim=512 maxerr=1.92E-07 time=51.355
E0 = -168.03133
M = 74.00002
After sweep 1 energy=-143.11493  maxlinkdim=4 maxerr=0.00E+00 time=1.240
After sweep 2 energy=-158.64247  maxlinkdim=16 maxerr=0.00E+00 time=1.498
After sweep 3 energy=-166.39288  maxlinkdim=64 maxerr=0.00E+00 time=2.541
After sweep 4 energy=-167.31079  maxlinkdim=256 maxerr=4.79E-17 time=7.642
After sweep 5 energy=-167.55322  maxlinkdim=512 maxerr=1.04E-07 time=38.379
After sweep 6 energy=-168.43283  maxlinkdim=512 maxerr=5.50E-08 time=50.751
After sweep 7 energy=-168.46931  maxlinkdim=512 maxerr=4.92E-08 time=50.972
After sweep 8 energy=-168.47072  maxlinkdim=512 maxerr=4.84E-08 time=50.909
After sweep 9 energy=-168.47171  maxlinkdim=512 maxerr=5.15E-08 time=51.321
After sweep 10 energy=-168.47168  maxlinkdim=512 maxerr=5.08E-08 time=51.590
After sweep 11 energy=-168.47137  maxlinkdim=512 maxerr=4.94E-08 time=51.309
After sweep 12 energy=-168.47327  maxlinkdim=512 maxerr=4.94E-08 time=51.299
After sweep 13 energy=-168.4712  maxlinkdim=512 maxerr=4.91E-08 time=51.404
After sweep 14 energy=-168.47215  maxlinkdim=512 maxerr=4.87E-08 time=51.465
After sweep 15 energy=-168.472  maxlinkdim=512 maxerr=4.86E-08 time=51.399
After sweep 16 energy=-168.47173  maxlinkdim=512 maxerr=4.86E-08 time=51.628
After sweep 17 energy=-168.4715  maxlinkdim=512 maxerr=4.86E-08 time=51.452
After sweep 18 energy=-168.47179  maxlinkdim=512 maxerr=4.85E-08 time=51.376
After sweep 19 energy=-168.47182  maxlinkdim=512 maxerr=4.85E-08 time=51.327
After sweep 20 energy=-168.47086  maxlinkdim=512 maxerr=4.85E-08 time=51.320
E0 = -168.47086
M = 71.99988
After sweep 1 energy=-142.98091  maxlinkdim=4 maxerr=0.00E+00 time=1.207
After sweep 2 energy=-158.09595  maxlinkdim=16 maxerr=0.00E+00 time=1.480
After sweep 3 energy=-165.02473  maxlinkdim=64 maxerr=0.00E+00 time=2.515
After sweep 4 energy=-165.66698  maxlinkdim=256 maxerr=3.21E-17 time=7.664
After sweep 5 energy=-165.85117  maxlinkdim=512 maxerr=1.11E-07 time=38.468
After sweep 6 energy=-166.42569  maxlinkdim=512 maxerr=2.53E-07 time=50.339
After sweep 7 energy=-167.3699  maxlinkdim=512 maxerr=2.55E-07 time=50.085
After sweep 8 energy=-167.99088  maxlinkdim=512 maxerr=1.91E-07 time=50.323
After sweep 9 energy=-168.02925  maxlinkdim=512 maxerr=1.82E-07 time=50.680
After sweep 10 energy=-168.0312  maxlinkdim=512 maxerr=1.81E-07 time=51.554
After sweep 11 energy=-168.03052  maxlinkdim=512 maxerr=1.81E-07 time=51.287
After sweep 12 energy=-168.0316  maxlinkdim=512 maxerr=1.80E-07 time=51.274
After sweep 13 energy=-168.03114  maxlinkdim=512 maxerr=1.80E-07 time=51.253
After sweep 14 energy=-168.03105  maxlinkdim=512 maxerr=1.80E-07 time=51.224
After sweep 15 energy=-168.03127  maxlinkdim=512 maxerr=1.80E-07 time=51.230
After sweep 16 energy=-168.03142  maxlinkdim=512 maxerr=1.80E-07 time=51.527
After sweep 17 energy=-168.03117  maxlinkdim=512 maxerr=1.79E-07 time=51.204
