After sweep 1 energy=-199.74883  maxlinkdim=4 maxerr=2.93E-07 time=18.502
After sweep 2 energy=-209.67058  maxlinkdim=16 maxerr=1.00E-06 time=1.302
After sweep 3 energy=-212.47673  maxlinkdim=56 maxerr=1.00E-06 time=1.622
After sweep 4 energy=-213.55196  maxlinkdim=145 maxerr=1.00E-06 time=2.000
After sweep 5 energy=-213.97346  maxlinkdim=269 maxerr=1.00E-06 time=3.281
After sweep 6 energy=-214.06435  maxlinkdim=401 maxerr=1.00E-06 time=5.239
After sweep 7 energy=-214.09549  maxlinkdim=512 maxerr=1.00E-06 time=7.906
After sweep 8 energy=-214.1116  maxlinkdim=512 maxerr=2.34E-06 time=10.701
After sweep 9 energy=-214.12196  maxlinkdim=512 maxerr=3.42E-06 time=12.354
After sweep 10 energy=-214.23215  maxlinkdim=512 maxerr=3.30E-06 time=13.209
After sweep 11 energy=-214.29102  maxlinkdim=512 maxerr=2.33E-06 time=10.712
After sweep 12 energy=-214.2907  maxlinkdim=512 maxerr=2.63E-06 time=9.863
After sweep 13 energy=-214.29308  maxlinkdim=512 maxerr=2.18E-06 time=9.560
After sweep 14 energy=-214.29514  maxlinkdim=512 maxerr=1.63E-06 time=9.261
After sweep 15 energy=-214.29802  maxlinkdim=500 maxerr=1.10E-06 time=8.784
After sweep 16 energy=-214.29654  maxlinkdim=470 maxerr=1.00E-06 time=8.441
After sweep 17 energy=-214.29674  maxlinkdim=446 maxerr=1.00E-06 time=8.394
After sweep 18 energy=-214.29808  maxlinkdim=420 maxerr=1.00E-06 time=7.632
After sweep 19 energy=-214.29651  maxlinkdim=405 maxerr=1.00E-06 time=7.520
After sweep 20 energy=-214.29611  maxlinkdim=400 maxerr=1.00E-06 time=7.450
E0 = -214.29611
M = 0.00012020953
After sweep 1 energy=-197.42596  maxlinkdim=4 maxerr=1.98E-07 time=1.033
After sweep 2 energy=-209.07162  maxlinkdim=16 maxerr=9.89E-07 time=1.083
After sweep 3 energy=-212.68414  maxlinkdim=58 maxerr=1.00E-06 time=1.840
After sweep 4 energy=-213.735  maxlinkdim=133 maxerr=1.00E-06 time=1.914
After sweep 5 energy=-214.01682  maxlinkdim=259 maxerr=1.00E-06 time=3.126
After sweep 6 energy=-214.20212  maxlinkdim=383 maxerr=1.00E-06 time=5.143
After sweep 7 energy=-214.28372  maxlinkdim=428 maxerr=1.00E-06 time=6.574
After sweep 8 energy=-214.29536  maxlinkdim=448 maxerr=1.00E-06 time=7.200
After sweep 9 energy=-214.29684  maxlinkdim=441 maxerr=1.00E-06 time=7.578
After sweep 10 energy=-214.29723  maxlinkdim=424 maxerr=1.00E-06 time=7.597
After sweep 11 energy=-214.2977  maxlinkdim=415 maxerr=1.00E-06 time=7.597
After sweep 12 energy=-214.29672  maxlinkdim=408 maxerr=1.00E-06 time=7.517
After sweep 13 energy=-214.29785  maxlinkdim=403 maxerr=1.00E-06 time=7.492
After sweep 14 energy=-214.29704  maxlinkdim=402 maxerr=1.00E-06 time=7.484
After sweep 15 energy=-214.29706  maxlinkdim=401 maxerr=1.00E-06 time=7.638
After sweep 16 energy=-214.29768  maxlinkdim=399 maxerr=1.00E-06 time=7.617
After sweep 17 energy=-214.298  maxlinkdim=400 maxerr=1.00E-06 time=7.579
After sweep 18 energy=-214.29756  maxlinkdim=399 maxerr=1.00E-06 time=7.551
After sweep 19 energy=-214.29822  maxlinkdim=398 maxerr=1.00E-06 time=7.572
After sweep 20 energy=-214.29738  maxlinkdim=402 maxerr=1.00E-06 time=7.588
E0 = -214.29738
M = -0.00061070616
After sweep 1 energy=-198.18552  maxlinkdim=4 maxerr=2.36E-07 time=1.076
After sweep 2 energy=-209.13745  maxlinkdim=16 maxerr=9.91E-07 time=1.165
After sweep 3 energy=-212.3794  maxlinkdim=56 maxerr=1.00E-06 time=1.867
After sweep 4 energy=-213.50526  maxlinkdim=146 maxerr=1.00E-06 time=1.938
After sweep 5 energy=-213.83553  maxlinkdim=272 maxerr=1.00E-06 time=3.336
After sweep 6 energy=-214.02718  maxlinkdim=416 maxerr=1.00E-06 time=5.638
After sweep 7 energy=-214.12138  maxlinkdim=512 maxerr=1.62E-06 time=7.989
After sweep 8 energy=-214.2183  maxlinkdim=512 maxerr=2.60E-06 time=9.887
After sweep 9 energy=-214.27544  maxlinkdim=512 maxerr=1.35E-06 time=9.265
After sweep 10 energy=-214.2846  maxlinkdim=512 maxerr=1.55E-06 time=9.110
After sweep 11 energy=-214.28749  maxlinkdim=512 maxerr=1.61E-06 time=9.119
After sweep 12 energy=-214.28966  maxlinkdim=512 maxerr=1.33E-06 time=9.064
After sweep 13 energy=-214.29013  maxlinkdim=508 maxerr=1.11E-06 time=9.068
After sweep 14 energy=-214.29143  maxlinkdim=492 maxerr=1.00E-06 time=8.864
After sweep 15 energy=-214.29169  maxlinkdim=475 maxerr=1.00E-06 time=8.703
After sweep 16 energy=-214.29178  maxlinkdim=468 maxerr=1.00E-06 time=8.571
After sweep 17 energy=-214.29208  maxlinkdim=465 maxerr=1.00E-06 time=8.470
After sweep 18 energy=-214.29247  maxlinkdim=468 maxerr=1.00E-06 time=8.837
After sweep 19 energy=-214.29109  maxlinkdim=469 maxerr=1.00E-06 time=8.181
After sweep 20 energy=-214.29251  maxlinkdim=468 maxerr=1.00E-06 time=8.133
E0 = -214.29251
M = 0.00016807808
After sweep 1 energy=-199.32475  maxlinkdim=4 maxerr=5.74E-07 time=1.066
After sweep 2 energy=-209.33528  maxlinkdim=16 maxerr=1.00E-06 time=1.156
After sweep 3 energy=-212.42204  maxlinkdim=56 maxerr=9.99E-07 time=1.766
After sweep 4 energy=-213.6625  maxlinkdim=139 maxerr=1.00E-06 time=2.070
After sweep 5 energy=-213.94246  maxlinkdim=253 maxerr=1.00E-06 time=3.089
After sweep 6 energy=-214.17548  maxlinkdim=335 maxerr=1.00E-06 time=5.224
