After sweep 1 energy=-685.52527  maxlinkdim=4 maxerr=9.91E-07 time=18.565
After sweep 2 energy=-686.3663  maxlinkdim=6 maxerr=9.91E-07 time=1.101
After sweep 3 energy=-686.4324  maxlinkdim=7 maxerr=9.86E-07 time=1.142
After sweep 4 energy=-686.46027  maxlinkdim=7 maxerr=1.00E-06 time=1.176
After sweep 5 energy=-686.47174  maxlinkdim=7 maxerr=9.99E-07 time=1.152
After sweep 6 energy=-686.47485  maxlinkdim=7 maxerr=9.92E-07 time=1.180
After sweep 7 energy=-686.47705  maxlinkdim=7 maxerr=9.54E-07 time=1.180
After sweep 8 energy=-686.475  maxlinkdim=7 maxerr=5.52E-07 time=1.189
After sweep 9 energy=-686.48035  maxlinkdim=7 maxerr=5.84E-07 time=1.193
After sweep 10 energy=-686.4783  maxlinkdim=7 maxerr=5.70E-07 time=1.214
After sweep 11 energy=-686.48083  maxlinkdim=7 maxerr=5.80E-07 time=1.172
After sweep 12 energy=-686.4787  maxlinkdim=7 maxerr=5.83E-07 time=1.224
After sweep 13 energy=-686.4716  maxlinkdim=7 maxerr=5.93E-07 time=1.212
After sweep 14 energy=-686.48047  maxlinkdim=7 maxerr=5.65E-07 time=1.220
After sweep 15 energy=-686.4757  maxlinkdim=7 maxerr=5.83E-07 time=1.177
After sweep 16 energy=-686.4795  maxlinkdim=7 maxerr=5.55E-07 time=1.226
After sweep 17 energy=-686.47656  maxlinkdim=7 maxerr=5.61E-07 time=1.226
After sweep 18 energy=-686.4736  maxlinkdim=7 maxerr=5.77E-07 time=1.171
After sweep 19 energy=-686.47504  maxlinkdim=7 maxerr=5.47E-07 time=1.243
After sweep 20 energy=-686.4728  maxlinkdim=7 maxerr=5.58E-07 time=1.171
E0 = -686.4728
M = -0.0001122734
After sweep 1 energy=-685.7794  maxlinkdim=4 maxerr=9.89E-07 time=1.088
After sweep 2 energy=-686.38556  maxlinkdim=6 maxerr=9.89E-07 time=1.298
After sweep 3 energy=-686.4481  maxlinkdim=7 maxerr=9.84E-07 time=1.163
After sweep 4 energy=-686.47107  maxlinkdim=7 maxerr=9.99E-07 time=1.245
After sweep 5 energy=-686.4777  maxlinkdim=7 maxerr=9.12E-07 time=1.225
After sweep 6 energy=-686.47546  maxlinkdim=7 maxerr=5.56E-07 time=1.167
After sweep 7 energy=-686.4737  maxlinkdim=7 maxerr=5.56E-07 time=1.216
After sweep 8 energy=-686.47626  maxlinkdim=7 maxerr=5.62E-07 time=1.217
After sweep 9 energy=-686.4807  maxlinkdim=7 maxerr=5.77E-07 time=1.154
After sweep 10 energy=-686.4784  maxlinkdim=7 maxerr=5.76E-07 time=1.241
After sweep 11 energy=-686.4777  maxlinkdim=7 maxerr=5.64E-07 time=1.158
After sweep 12 energy=-686.4746  maxlinkdim=7 maxerr=5.33E-07 time=1.248
After sweep 13 energy=-686.47546  maxlinkdim=7 maxerr=5.47E-07 time=1.181
After sweep 14 energy=-686.47217  maxlinkdim=7 maxerr=6.00E-07 time=1.249
After sweep 15 energy=-686.4727  maxlinkdim=7 maxerr=6.31E-07 time=1.171
After sweep 16 energy=-686.4746  maxlinkdim=7 maxerr=5.72E-07 time=1.242
After sweep 17 energy=-686.4757  maxlinkdim=7 maxerr=6.12E-07 time=1.179
After sweep 18 energy=-686.4753  maxlinkdim=7 maxerr=5.68E-07 time=1.259
After sweep 19 energy=-686.4793  maxlinkdim=7 maxerr=5.90E-07 time=1.173
After sweep 20 energy=-686.4773  maxlinkdim=7 maxerr=6.18E-07 time=1.267
E0 = -686.4773
M = -0.00041385
After sweep 1 energy=-685.6041  maxlinkdim=4 maxerr=9.99E-07 time=1.111
After sweep 2 energy=-686.36053  maxlinkdim=6 maxerr=9.96E-07 time=1.309
After sweep 3 energy=-686.4184  maxlinkdim=7 maxerr=9.50E-07 time=1.150
After sweep 4 energy=-686.45483  maxlinkdim=7 maxerr=9.99E-07 time=1.161
After sweep 5 energy=-686.4678  maxlinkdim=7 maxerr=9.61E-07 time=1.211
After sweep 6 energy=-686.47473  maxlinkdim=7 maxerr=9.74E-07 time=1.209
After sweep 7 energy=-686.4736  maxlinkdim=7 maxerr=9.60E-07 time=1.151
After sweep 8 energy=-686.4788  maxlinkdim=7 maxerr=5.47E-07 time=1.213
After sweep 9 energy=-686.47766  maxlinkdim=7 maxerr=6.06E-07 time=1.217
After sweep 10 energy=-686.47736  maxlinkdim=7 maxerr=5.49E-07 time=1.163
After sweep 11 energy=-686.47656  maxlinkdim=7 maxerr=5.98E-07 time=1.223
After sweep 12 energy=-686.47766  maxlinkdim=7 maxerr=6.23E-07 time=1.152
After sweep 13 energy=-686.4786  maxlinkdim=7 maxerr=5.71E-07 time=1.227
After sweep 14 energy=-686.47876  maxlinkdim=7 maxerr=5.89E-07 time=1.161
After sweep 15 energy=-686.4741  maxlinkdim=7 maxerr=5.89E-07 time=1.240
After sweep 16 energy=-686.4764  maxlinkdim=7 maxerr=5.76E-07 time=1.159
After sweep 17 energy=-686.4741  maxlinkdim=7 maxerr=5.76E-07 time=1.239
After sweep 18 energy=-686.4766  maxlinkdim=7 maxerr=5.89E-07 time=1.167
After sweep 19 energy=-686.48016  maxlinkdim=7 maxerr=5.74E-07 time=1.244
After sweep 20 energy=-686.4801  maxlinkdim=7 maxerr=5.53E-07 time=1.197
E0 = -686.4801
M = -0.00022102444
After sweep 1 energy=-685.6691  maxlinkdim=4 maxerr=9.82E-07 time=1.107
After sweep 2 energy=-686.35046  maxlinkdim=6 maxerr=9.95E-07 time=1.315
After sweep 3 energy=-686.40106  maxlinkdim=7 maxerr=9.97E-07 time=1.216
After sweep 4 energy=-686.44147  maxlinkdim=7 maxerr=9.74E-07 time=1.159
After sweep 5 energy=-686.46674  maxlinkdim=7 maxerr=9.85E-07 time=1.209
After sweep 6 energy=-686.4747  maxlinkdim=7 maxerr=9.97E-07 time=1.209
After sweep 7 energy=-686.47516  maxlinkdim=7 maxerr=9.41E-07 time=1.141
After sweep 8 energy=-686.47595  maxlinkdim=7 maxerr=8.09E-07 time=1.219
After sweep 9 energy=-686.47876  maxlinkdim=7 maxerr=8.95E-07 time=1.218
After sweep 10 energy=-686.4734  maxlinkdim=7 maxerr=5.88E-07 time=1.171
After sweep 11 energy=-686.47205  maxlinkdim=7 maxerr=5.85E-07 time=1.245
After sweep 12 energy=-686.47614  maxlinkdim=7 maxerr=5.68E-07 time=1.166
After sweep 13 energy=-686.47784  maxlinkdim=7 maxerr=5.80E-07 time=1.260
After sweep 14 energy=-686.4774  maxlinkdim=7 maxerr=6.00E-07 time=1.163
After sweep 15 energy=-686.4762  maxlinkdim=7 maxerr=5.80E-07 time=1.280
After sweep 16 energy=-686.47205  maxlinkdim=7 maxerr=5.92E-07 time=1.179
After sweep 17 energy=-686.4766  maxlinkdim=7 maxerr=5.55E-07 time=1.345
After sweep 18 energy=-686.4811  maxlinkdim=7 maxerr=5.91E-07 time=1.238
After sweep 19 energy=-686.4752  maxlinkdim=7 maxerr=5.46E-07 time=1.206
After sweep 20 energy=-686.47504  maxlinkdim=7 maxerr=5.52E-07 time=1.304
E0 = -686.47504
M = -1.5808975e-5
After sweep 1 energy=-685.7103  maxlinkdim=4 maxerr=9.59E-07 time=1.089
After sweep 2 energy=-686.37445  maxlinkdim=6 maxerr=9.79E-07 time=1.305
After sweep 3 energy=-686.4301  maxlinkdim=7 maxerr=9.98E-07 time=1.191
After sweep 4 energy=-686.4493  maxlinkdim=7 maxerr=9.97E-07 time=1.243
After sweep 5 energy=-686.46606  maxlinkdim=7 maxerr=9.77E-07 time=1.173
After sweep 6 energy=-686.4727  maxlinkdim=7 maxerr=9.71E-07 time=1.216
After sweep 7 energy=-686.4775  maxlinkdim=7 maxerr=8.35E-07 time=1.149
After sweep 8 energy=-686.47626  maxlinkdim=7 maxerr=7.25E-07 time=1.222
After sweep 9 energy=-686.4752  maxlinkdim=7 maxerr=5.81E-07 time=1.245
After sweep 10 energy=-686.47266  maxlinkdim=7 maxerr=5.69E-07 time=1.171
After sweep 11 energy=-686.4825  maxlinkdim=7 maxerr=5.51E-07 time=1.246
After sweep 12 energy=-686.477  maxlinkdim=7 maxerr=6.09E-07 time=1.192
After sweep 13 energy=-686.47565  maxlinkdim=7 maxerr=5.90E-07 time=1.239
After sweep 14 energy=-686.47473  maxlinkdim=7 maxerr=6.28E-07 time=1.156
After sweep 15 energy=-686.4741  maxlinkdim=7 maxerr=5.63E-07 time=1.243
After sweep 16 energy=-686.479  maxlinkdim=7 maxerr=5.54E-07 time=1.163
After sweep 17 energy=-686.4774  maxlinkdim=7 maxerr=5.76E-07 time=1.273
After sweep 18 energy=-686.47473  maxlinkdim=7 maxerr=5.55E-07 time=1.173
After sweep 19 energy=-686.47626  maxlinkdim=7 maxerr=5.80E-07 time=1.250
After sweep 20 energy=-686.47595  maxlinkdim=7 maxerr=5.64E-07 time=1.220
E0 = -686.47595
M = 0.00016343223
After sweep 1 energy=-685.6626  maxlinkdim=4 maxerr=9.98E-07 time=1.158
After sweep 2 energy=-686.38763  maxlinkdim=6 maxerr=9.92E-07 time=1.354
After sweep 3 energy=-686.44434  maxlinkdim=7 maxerr=9.92E-07 time=1.192
After sweep 4 energy=-686.46954  maxlinkdim=7 maxerr=9.98E-07 time=1.181
After sweep 5 energy=-686.47687  maxlinkdim=7 maxerr=9.58E-07 time=1.256
After sweep 6 energy=-686.47577  maxlinkdim=7 maxerr=9.72E-07 time=1.236
After sweep 7 energy=-686.4739  maxlinkdim=7 maxerr=8.74E-07 time=1.180
After sweep 8 energy=-686.48114  maxlinkdim=7 maxerr=5.59E-07 time=1.254
After sweep 9 energy=-686.4732  maxlinkdim=7 maxerr=5.74E-07 time=1.252
After sweep 10 energy=-686.4773  maxlinkdim=7 maxerr=5.77E-07 time=1.162
After sweep 11 energy=-686.47644  maxlinkdim=7 maxerr=5.55E-07 time=1.239
After sweep 12 energy=-686.4766  maxlinkdim=7 maxerr=5.99E-07 time=1.159
After sweep 13 energy=-686.47565  maxlinkdim=7 maxerr=5.77E-07 time=1.266
After sweep 14 energy=-686.47284  maxlinkdim=7 maxerr=5.59E-07 time=1.173
After sweep 15 energy=-686.47675  maxlinkdim=7 maxerr=5.77E-07 time=1.263
After sweep 16 energy=-686.4734  maxlinkdim=7 maxerr=6.26E-07 time=1.171
After sweep 17 energy=-686.47595  maxlinkdim=7 maxerr=5.59E-07 time=1.256
After sweep 18 energy=-686.47766  maxlinkdim=7 maxerr=5.71E-07 time=1.167
After sweep 19 energy=-686.4773  maxlinkdim=7 maxerr=5.82E-07 time=1.308
After sweep 20 energy=-686.4775  maxlinkdim=7 maxerr=6.03E-07 time=1.204
E0 = -686.4775
M = -0.0002734166
After sweep 1 energy=-685.6393  maxlinkdim=4 maxerr=9.44E-07 time=1.154
After sweep 2 energy=-686.36975  maxlinkdim=6 maxerr=9.94E-07 time=1.342
After sweep 3 energy=-686.42993  maxlinkdim=7 maxerr=9.95E-07 time=1.175
After sweep 4 energy=-686.46234  maxlinkdim=7 maxerr=9.94E-07 time=1.181
After sweep 5 energy=-686.4734  maxlinkdim=7 maxerr=9.46E-07 time=1.265
After sweep 6 energy=-686.4727  maxlinkdim=7 maxerr=9.81E-07 time=1.240
