After sweep 1 energy=-159.71819  maxlinkdim=4 maxerr=0.00E+00 time=26.286
After sweep 2 energy=-174.57516  maxlinkdim=16 maxerr=0.00E+00 time=1.754
After sweep 3 energy=-179.19568  maxlinkdim=64 maxerr=0.00E+00 time=2.852
After sweep 4 energy=-180.62996  maxlinkdim=256 maxerr=4.94E-17 time=9.853
After sweep 5 energy=-181.44647  maxlinkdim=512 maxerr=1.80E-08 time=38.473
After sweep 6 energy=-181.8309  maxlinkdim=512 maxerr=2.14E-08 time=50.919
After sweep 7 energy=-182.08546  maxlinkdim=512 maxerr=5.47E-08 time=50.721
After sweep 8 energy=-182.31046  maxlinkdim=512 maxerr=2.09E-07 time=51.200
After sweep 9 energy=-182.42699  maxlinkdim=512 maxerr=1.30E-07 time=51.128
After sweep 10 energy=-182.48216  maxlinkdim=512 maxerr=6.46E-07 time=51.978
After sweep 11 energy=-182.50887  maxlinkdim=512 maxerr=2.51E-07 time=51.739
After sweep 12 energy=-182.5237  maxlinkdim=512 maxerr=7.23E-07 time=51.753
After sweep 13 energy=-182.53444  maxlinkdim=512 maxerr=1.06E-06 time=51.778
After sweep 14 energy=-182.54343  maxlinkdim=512 maxerr=1.22E-06 time=51.576
After sweep 15 energy=-182.55493  maxlinkdim=512 maxerr=2.82E-06 time=51.997
After sweep 16 energy=-182.5894  maxlinkdim=512 maxerr=3.00E-06 time=52.306
After sweep 17 energy=-182.68646  maxlinkdim=512 maxerr=1.43E-06 time=51.631
After sweep 18 energy=-182.72653  maxlinkdim=512 maxerr=1.61E-06 time=52.148
After sweep 19 energy=-182.7412  maxlinkdim=512 maxerr=1.69E-06 time=52.258
After sweep 20 energy=-182.74657  maxlinkdim=512 maxerr=1.81E-06 time=52.543
E0 = -182.74657
M = 77.56792
After sweep 1 energy=-159.61888  maxlinkdim=4 maxerr=0.00E+00 time=1.550
After sweep 2 energy=-174.0929  maxlinkdim=16 maxerr=0.00E+00 time=1.905
After sweep 3 energy=-178.74702  maxlinkdim=64 maxerr=0.00E+00 time=2.805
After sweep 4 energy=-180.33176  maxlinkdim=256 maxerr=1.02E-18 time=8.459
After sweep 5 energy=-180.75032  maxlinkdim=512 maxerr=9.85E-09 time=38.146
After sweep 6 energy=-181.01367  maxlinkdim=512 maxerr=1.25E-08 time=51.232
After sweep 7 energy=-181.33916  maxlinkdim=512 maxerr=6.30E-08 time=51.375
After sweep 8 energy=-182.00708  maxlinkdim=512 maxerr=5.86E-08 time=50.851
After sweep 9 energy=-182.33646  maxlinkdim=512 maxerr=2.84E-07 time=51.246
After sweep 10 energy=-182.44281  maxlinkdim=512 maxerr=2.95E-07 time=51.248
After sweep 11 energy=-182.48375  maxlinkdim=512 maxerr=2.16E-07 time=50.726
After sweep 12 energy=-182.50266  maxlinkdim=512 maxerr=1.04E-07 time=50.823
After sweep 13 energy=-182.5194  maxlinkdim=512 maxerr=8.72E-07 time=50.466
After sweep 14 energy=-182.53383  maxlinkdim=512 maxerr=2.29E-06 time=50.516
After sweep 15 energy=-182.546  maxlinkdim=512 maxerr=9.53E-07 time=52.342
After sweep 16 energy=-182.55574  maxlinkdim=512 maxerr=5.15E-07 time=51.864
After sweep 17 energy=-182.56259  maxlinkdim=512 maxerr=7.06E-07 time=52.039
After sweep 18 energy=-182.56627  maxlinkdim=512 maxerr=8.45E-07 time=51.211
After sweep 19 energy=-182.5701  maxlinkdim=512 maxerr=9.97E-07 time=53.079
After sweep 20 energy=-182.57349  maxlinkdim=512 maxerr=8.80E-07 time=52.982
E0 = -182.57349
M = 84.00035
After sweep 1 energy=-159.00177  maxlinkdim=4 maxerr=0.00E+00 time=1.515
After sweep 2 energy=-173.49911  maxlinkdim=16 maxerr=0.00E+00 time=1.720
After sweep 3 energy=-177.78285  maxlinkdim=64 maxerr=0.00E+00 time=2.791
After sweep 4 energy=-179.77274  maxlinkdim=256 maxerr=6.72E-18 time=7.817
After sweep 5 energy=-180.44556  maxlinkdim=512 maxerr=2.56E-08 time=38.751
After sweep 6 energy=-180.77798  maxlinkdim=512 maxerr=5.81E-08 time=50.746
After sweep 7 energy=-181.18192  maxlinkdim=512 maxerr=4.60E-07 time=50.848
After sweep 8 energy=-181.55379  maxlinkdim=512 maxerr=1.68E-07 time=51.045
After sweep 9 energy=-181.8481  maxlinkdim=512 maxerr=7.47E-07 time=51.757
After sweep 10 energy=-182.06609  maxlinkdim=512 maxerr=3.34E-07 time=51.471
After sweep 11 energy=-182.34804  maxlinkdim=512 maxerr=4.00E-07 time=51.261
After sweep 12 energy=-182.44777  maxlinkdim=512 maxerr=6.56E-07 time=51.901
After sweep 13 energy=-182.48766  maxlinkdim=512 maxerr=1.07E-06 time=51.013
After sweep 14 energy=-182.51736  maxlinkdim=512 maxerr=5.74E-07 time=50.609
After sweep 15 energy=-182.53732  maxlinkdim=512 maxerr=8.49E-07 time=51.500
After sweep 16 energy=-182.5531  maxlinkdim=512 maxerr=1.42E-06 time=52.020
After sweep 17 energy=-182.56189  maxlinkdim=512 maxerr=1.72E-06 time=52.163
After sweep 18 energy=-183.29095  maxlinkdim=512 maxerr=1.69E-06 time=52.063
After sweep 19 energy=-183.40678  maxlinkdim=512 maxerr=5.86E-07 time=53.305
After sweep 20 energy=-183.42485  maxlinkdim=512 maxerr=5.31E-07 time=52.154
E0 = -183.42485
M = 78.03104
After sweep 1 energy=-161.24553  maxlinkdim=4 maxerr=0.00E+00 time=1.421
After sweep 2 energy=-174.80907  maxlinkdim=16 maxerr=0.00E+00 time=1.946
After sweep 3 energy=-178.22705  maxlinkdim=64 maxerr=0.00E+00 time=2.887
After sweep 4 energy=-179.70758  maxlinkdim=256 maxerr=3.85E-18 time=8.409
After sweep 5 energy=-180.45195  maxlinkdim=512 maxerr=4.09E-09 time=38.035
After sweep 6 energy=-181.03896  maxlinkdim=512 maxerr=1.96E-07 time=50.634
After sweep 7 energy=-181.41939  maxlinkdim=512 maxerr=2.51E-07 time=50.731
After sweep 8 energy=-181.67711  maxlinkdim=512 maxerr=4.73E-08 time=50.833
After sweep 9 energy=-181.94043  maxlinkdim=512 maxerr=1.60E-07 time=51.263
After sweep 10 energy=-182.26021  maxlinkdim=512 maxerr=4.61E-07 time=51.265
After sweep 11 energy=-182.42241  maxlinkdim=512 maxerr=4.37E-07 time=52.844
After sweep 12 energy=-182.50703  maxlinkdim=512 maxerr=1.52E-06 time=50.490
After sweep 13 energy=-182.5397  maxlinkdim=512 maxerr=1.54E-06 time=50.616
After sweep 14 energy=-182.5612  maxlinkdim=512 maxerr=1.08E-06 time=51.081
After sweep 15 energy=-182.57297  maxlinkdim=512 maxerr=6.22E-07 time=51.513
After sweep 16 energy=-182.58327  maxlinkdim=512 maxerr=2.60E-06 time=51.292
After sweep 17 energy=-182.58981  maxlinkdim=512 maxerr=1.70E-06 time=51.390
After sweep 18 energy=-183.0394  maxlinkdim=512 maxerr=2.68E-06 time=52.296
After sweep 19 energy=-183.42351  maxlinkdim=512 maxerr=5.63E-07 time=52.323
After sweep 20 energy=-183.42885  maxlinkdim=512 maxerr=8.23E-07 time=52.297
E0 = -183.42885
M = 78.00031
After sweep 1 energy=-160.225  maxlinkdim=4 maxerr=0.00E+00 time=1.493
After sweep 2 energy=-174.89616  maxlinkdim=16 maxerr=0.00E+00 time=1.830
After sweep 3 energy=-178.98042  maxlinkdim=64 maxerr=0.00E+00 time=3.055
After sweep 4 energy=-180.53644  maxlinkdim=256 maxerr=3.93E-17 time=7.927
After sweep 5 energy=-181.10794  maxlinkdim=512 maxerr=9.20E-09 time=38.052
After sweep 6 energy=-181.35083  maxlinkdim=512 maxerr=1.27E-08 time=50.805
After sweep 7 energy=-181.51385  maxlinkdim=512 maxerr=5.04E-08 time=50.496
After sweep 8 energy=-181.66707  maxlinkdim=512 maxerr=1.01E-07 time=50.783
After sweep 9 energy=-181.87088  maxlinkdim=512 maxerr=1.37E-07 time=50.846
After sweep 10 energy=-182.12965  maxlinkdim=512 maxerr=4.39E-07 time=51.230
After sweep 11 energy=-182.30312  maxlinkdim=512 maxerr=1.55E-07 time=50.631
After sweep 12 energy=-182.38286  maxlinkdim=512 maxerr=1.22E-07 time=50.342
After sweep 13 energy=-182.41504  maxlinkdim=512 maxerr=6.37E-07 time=50.523
After sweep 14 energy=-182.44122  maxlinkdim=512 maxerr=6.44E-07 time=51.428
After sweep 15 energy=-182.46367  maxlinkdim=512 maxerr=2.29E-06 time=50.604
After sweep 16 energy=-182.48566  maxlinkdim=512 maxerr=5.46E-06 time=51.111
After sweep 17 energy=-182.50467  maxlinkdim=512 maxerr=7.03E-06 time=50.838
After sweep 18 energy=-182.51938  maxlinkdim=512 maxerr=3.78E-06 time=51.012
After sweep 19 energy=-182.53577  maxlinkdim=512 maxerr=5.96E-06 time=51.627
After sweep 20 energy=-182.54839  maxlinkdim=512 maxerr=2.57E-06 time=51.251
E0 = -182.54839
M = 83.9389
After sweep 1 energy=-159.61671  maxlinkdim=4 maxerr=0.00E+00 time=1.443
After sweep 2 energy=-173.6229  maxlinkdim=16 maxerr=0.00E+00 time=1.730
After sweep 3 energy=-178.67854  maxlinkdim=64 maxerr=0.00E+00 time=3.010
After sweep 4 energy=-180.95789  maxlinkdim=256 maxerr=4.27E-17 time=8.338
After sweep 5 energy=-181.44435  maxlinkdim=512 maxerr=3.06E-09 time=37.859
After sweep 6 energy=-181.69458  maxlinkdim=512 maxerr=9.18E-09 time=50.572
After sweep 7 energy=-181.87546  maxlinkdim=512 maxerr=3.41E-08 time=50.881
After sweep 8 energy=-182.04646  maxlinkdim=512 maxerr=2.80E-07 time=50.721
After sweep 9 energy=-182.20111  maxlinkdim=512 maxerr=8.76E-07 time=50.997
After sweep 10 energy=-182.28918  maxlinkdim=512 maxerr=2.02E-07 time=51.628
After sweep 11 energy=-182.3308  maxlinkdim=512 maxerr=1.36E-07 time=50.826
After sweep 12 energy=-182.37497  maxlinkdim=512 maxerr=3.15E-07 time=51.416
After sweep 13 energy=-182.43684  maxlinkdim=512 maxerr=2.31E-07 time=51.253
After sweep 14 energy=-182.50633  maxlinkdim=512 maxerr=2.55E-07 time=51.251
After sweep 15 energy=-182.79802  maxlinkdim=512 maxerr=8.49E-08 time=52.648
After sweep 16 energy=-183.22232  maxlinkdim=512 maxerr=1.07E-07 time=51.219
After sweep 17 energy=-183.34346  maxlinkdim=512 maxerr=8.42E-08 time=50.936
After sweep 18 energy=-183.38966  maxlinkdim=512 maxerr=3.54E-07 time=50.908
After sweep 19 energy=-183.40514  maxlinkdim=512 maxerr=2.11E-07 time=51.247
After sweep 20 energy=-183.40913  maxlinkdim=512 maxerr=6.86E-07 time=51.492
E0 = -183.40913
M = 78.01238
After sweep 1 energy=-160.15695  maxlinkdim=4 maxerr=0.00E+00 time=1.416
After sweep 2 energy=-174.09651  maxlinkdim=16 maxerr=0.00E+00 time=1.770
After sweep 3 energy=-178.445  maxlinkdim=64 maxerr=0.00E+00 time=2.869
After sweep 4 energy=-180.47835  maxlinkdim=256 maxerr=7.03E-17 time=7.986
After sweep 5 energy=-180.8101  maxlinkdim=512 maxerr=2.80E-09 time=38.437
After sweep 6 energy=-180.97649  maxlinkdim=512 maxerr=4.42E-09 time=50.446
After sweep 7 energy=-181.1166  maxlinkdim=512 maxerr=1.46E-08 time=50.568
After sweep 8 energy=-181.23781  maxlinkdim=512 maxerr=5.50E-08 time=50.785
After sweep 9 energy=-181.3359  maxlinkdim=512 maxerr=2.91E-07 time=50.818
After sweep 10 energy=-181.41174  maxlinkdim=512 maxerr=6.41E-07 time=51.308
After sweep 11 energy=-181.44801  maxlinkdim=512 maxerr=1.32E-07 time=50.279
After sweep 12 energy=-181.48116  maxlinkdim=512 maxerr=8.14E-07 time=50.780
After sweep 13 energy=-181.50925  maxlinkdim=512 maxerr=1.52E-07 time=50.497
After sweep 14 energy=-181.534  maxlinkdim=512 maxerr=1.52E-07 time=50.492
After sweep 15 energy=-181.55806  maxlinkdim=512 maxerr=1.93E-06 time=51.115
After sweep 16 energy=-181.57944  maxlinkdim=512 maxerr=1.91E-06 time=51.030
After sweep 17 energy=-181.59827  maxlinkdim=512 maxerr=2.01E-06 time=50.416
After sweep 18 energy=-182.32968  maxlinkdim=512 maxerr=2.58E-06 time=50.664
After sweep 19 energy=-182.47429  maxlinkdim=512 maxerr=3.67E-06 time=51.250
After sweep 20 energy=-182.49644  maxlinkdim=512 maxerr=2.37E-06 time=51.014
E0 = -182.49644
M = 81.96725
After sweep 1 energy=-160.2563  maxlinkdim=4 maxerr=0.00E+00 time=1.469
After sweep 2 energy=-173.85268  maxlinkdim=16 maxerr=0.00E+00 time=1.801
After sweep 3 energy=-178.86588  maxlinkdim=64 maxerr=0.00E+00 time=2.995
After sweep 4 energy=-180.83707  maxlinkdim=256 maxerr=3.88E-17 time=8.334
After sweep 5 energy=-181.20775  maxlinkdim=512 maxerr=9.05E-09 time=38.079
After sweep 6 energy=-181.35382  maxlinkdim=512 maxerr=1.17E-08 time=51.626
After sweep 7 energy=-181.4535  maxlinkdim=512 maxerr=3.91E-08 time=50.620
After sweep 8 energy=-181.57875  maxlinkdim=512 maxerr=1.50E-07 time=50.974
After sweep 9 energy=-181.64474  maxlinkdim=512 maxerr=4.77E-07 time=50.940
After sweep 10 energy=-181.70068  maxlinkdim=512 maxerr=3.65E-07 time=51.424
After sweep 11 energy=-181.756  maxlinkdim=512 maxerr=1.23E-06 time=51.127
After sweep 12 energy=-181.81465  maxlinkdim=512 maxerr=7.23E-07 time=50.782
After sweep 13 energy=-181.84006  maxlinkdim=512 maxerr=2.04E-06 time=51.224
After sweep 14 energy=-181.85638  maxlinkdim=512 maxerr=1.30E-06 time=52.292
After sweep 15 energy=-181.86884  maxlinkdim=512 maxerr=3.22E-06 time=51.533
After sweep 16 energy=-181.87769  maxlinkdim=512 maxerr=1.62E-06 time=51.425
After sweep 17 energy=-181.88898  maxlinkdim=512 maxerr=1.43E-06 time=51.323
After sweep 18 energy=-181.89737  maxlinkdim=512 maxerr=2.14E-06 time=52.013
After sweep 19 energy=-181.90546  maxlinkdim=512 maxerr=1.71E-06 time=52.225
After sweep 20 energy=-181.91249  maxlinkdim=512 maxerr=1.65E-06 time=52.904
E0 = -181.91249
M = 81.99993
After sweep 1 energy=-160.17131  maxlinkdim=4 maxerr=0.00E+00 time=1.431
After sweep 2 energy=-175.309  maxlinkdim=16 maxerr=0.00E+00 time=1.779
After sweep 3 energy=-179.56984  maxlinkdim=64 maxerr=0.00E+00 time=3.066
After sweep 4 energy=-180.6283  maxlinkdim=256 maxerr=3.03E-20 time=8.776
After sweep 5 energy=-181.0422  maxlinkdim=512 maxerr=1.19E-08 time=37.819
After sweep 6 energy=-181.38266  maxlinkdim=512 maxerr=2.17E-08 time=51.373
After sweep 7 energy=-181.64297  maxlinkdim=512 maxerr=1.25E-07 time=50.545
After sweep 8 energy=-181.89532  maxlinkdim=512 maxerr=9.01E-08 time=50.581
After sweep 9 energy=-182.24791  maxlinkdim=512 maxerr=7.97E-08 time=50.683
After sweep 10 energy=-182.41255  maxlinkdim=512 maxerr=3.65E-07 time=52.379
After sweep 11 energy=-182.45764  maxlinkdim=512 maxerr=1.93E-07 time=50.712
After sweep 12 energy=-182.48271  maxlinkdim=512 maxerr=3.10E-07 time=52.927
After sweep 13 energy=-182.4997  maxlinkdim=512 maxerr=1.39E-06 time=51.021
After sweep 14 energy=-182.5107  maxlinkdim=512 maxerr=4.47E-07 time=51.238
After sweep 15 energy=-182.52058  maxlinkdim=512 maxerr=8.11E-07 time=52.249
After sweep 16 energy=-182.53114  maxlinkdim=512 maxerr=5.49E-07 time=52.946
After sweep 17 energy=-182.5412  maxlinkdim=512 maxerr=5.72E-07 time=51.807
After sweep 18 energy=-182.5483  maxlinkdim=512 maxerr=1.09E-06 time=52.131
After sweep 19 energy=-182.55579  maxlinkdim=512 maxerr=6.91E-07 time=52.640
After sweep 20 energy=-182.56485  maxlinkdim=512 maxerr=9.08E-07 time=52.838
E0 = -182.56485
M = 81.90178
After sweep 1 energy=-159.46216  maxlinkdim=4 maxerr=0.00E+00 time=1.508
After sweep 2 energy=-173.49771  maxlinkdim=16 maxerr=0.00E+00 time=1.748
After sweep 3 energy=-177.247  maxlinkdim=64 maxerr=0.00E+00 time=2.844
After sweep 4 energy=-179.01509  maxlinkdim=256 maxerr=2.48E-18 time=8.309
After sweep 5 energy=-179.46106  maxlinkdim=512 maxerr=6.39E-09 time=38.169
After sweep 6 energy=-179.67252  maxlinkdim=512 maxerr=1.85E-08 time=50.696
After sweep 7 energy=-179.86699  maxlinkdim=512 maxerr=2.66E-08 time=50.975
After sweep 8 energy=-180.09732  maxlinkdim=512 maxerr=2.11E-07 time=50.902
After sweep 9 energy=-180.67635  maxlinkdim=512 maxerr=1.23E-06 time=51.170
After sweep 10 energy=-181.36838  maxlinkdim=512 maxerr=8.14E-07 time=51.852
After sweep 11 energy=-181.64221  maxlinkdim=512 maxerr=2.92E-07 time=51.033
After sweep 12 energy=-182.48026  maxlinkdim=512 maxerr=8.25E-07 time=50.873
After sweep 13 energy=-182.61586  maxlinkdim=512 maxerr=6.18E-07 time=50.959
After sweep 14 energy=-182.67123  maxlinkdim=512 maxerr=6.55E-08 time=51.478
After sweep 15 energy=-182.69499  maxlinkdim=512 maxerr=6.52E-08 time=50.696
After sweep 16 energy=-182.71089  maxlinkdim=512 maxerr=1.74E-07 time=51.405
After sweep 17 energy=-182.72075  maxlinkdim=512 maxerr=1.70E-07 time=50.715
After sweep 18 energy=-182.72813  maxlinkdim=512 maxerr=1.59E-07 time=51.225
After sweep 19 energy=-182.73322  maxlinkdim=512 maxerr=3.73E-07 time=52.616
After sweep 20 energy=-182.74106  maxlinkdim=512 maxerr=5.08E-07 time=52.079
E0 = -182.74106
M = 80.00022
