After sweep 1 energy=-104.24332  maxlinkdim=4 maxerr=0.00E+00 time=23.213
After sweep 2 energy=-119.482925  maxlinkdim=16 maxerr=0.00E+00 time=1.620
After sweep 3 energy=-124.01395  maxlinkdim=64 maxerr=0.00E+00 time=2.805
After sweep 4 energy=-124.74731  maxlinkdim=256 maxerr=0.00E+00 time=7.998
After sweep 5 energy=-124.87702  maxlinkdim=512 maxerr=6.08E-06 time=40.978
After sweep 6 energy=-124.92015  maxlinkdim=512 maxerr=1.25E-05 time=54.585
After sweep 7 energy=-124.93748  maxlinkdim=512 maxerr=1.22E-05 time=54.335
After sweep 8 energy=-124.9416  maxlinkdim=512 maxerr=9.05E-06 time=54.178
After sweep 9 energy=-124.944984  maxlinkdim=512 maxerr=8.24E-06 time=53.989
After sweep 10 energy=-124.946266  maxlinkdim=512 maxerr=7.53E-06 time=54.255
After sweep 11 energy=-124.94726  maxlinkdim=512 maxerr=7.01E-06 time=53.741
After sweep 12 energy=-124.94997  maxlinkdim=512 maxerr=7.12E-06 time=53.631
After sweep 13 energy=-124.95079  maxlinkdim=512 maxerr=7.21E-06 time=53.538
After sweep 14 energy=-124.95193  maxlinkdim=512 maxerr=7.27E-06 time=53.486
After sweep 15 energy=-124.952034  maxlinkdim=512 maxerr=7.32E-06 time=53.440
After sweep 16 energy=-124.95202  maxlinkdim=512 maxerr=7.36E-06 time=53.788
After sweep 17 energy=-124.95325  maxlinkdim=512 maxerr=7.38E-06 time=53.365
After sweep 18 energy=-124.95266  maxlinkdim=512 maxerr=7.40E-06 time=53.380
After sweep 19 energy=-124.95357  maxlinkdim=512 maxerr=7.44E-06 time=53.398
After sweep 20 energy=-124.9539  maxlinkdim=512 maxerr=7.46E-06 time=53.406
E0 = -124.9539
M = 4.000037
After sweep 1 energy=-105.03253  maxlinkdim=4 maxerr=0.00E+00 time=1.381
After sweep 2 energy=-119.60307  maxlinkdim=16 maxerr=0.00E+00 time=1.558
After sweep 3 energy=-123.9789  maxlinkdim=64 maxerr=0.00E+00 time=2.680
After sweep 4 energy=-124.81304  maxlinkdim=256 maxerr=0.00E+00 time=7.742
After sweep 5 energy=-124.95076  maxlinkdim=512 maxerr=4.44E-06 time=39.560
After sweep 6 energy=-124.95787  maxlinkdim=512 maxerr=6.35E-06 time=53.581
After sweep 7 energy=-124.959366  maxlinkdim=512 maxerr=5.99E-06 time=53.204
After sweep 8 energy=-124.960464  maxlinkdim=512 maxerr=6.02E-06 time=53.144
After sweep 9 energy=-124.96145  maxlinkdim=512 maxerr=6.00E-06 time=53.099
After sweep 10 energy=-124.96199  maxlinkdim=512 maxerr=5.99E-06 time=53.439
After sweep 11 energy=-124.9632  maxlinkdim=512 maxerr=5.99E-06 time=53.046
After sweep 12 energy=-124.96345  maxlinkdim=512 maxerr=5.98E-06 time=53.028
After sweep 13 energy=-124.96376  maxlinkdim=512 maxerr=5.97E-06 time=53.018
After sweep 14 energy=-124.964035  maxlinkdim=512 maxerr=5.96E-06 time=53.019
After sweep 15 energy=-124.96423  maxlinkdim=512 maxerr=5.96E-06 time=53.002
After sweep 16 energy=-124.96352  maxlinkdim=512 maxerr=5.95E-06 time=53.358
After sweep 17 energy=-124.963936  maxlinkdim=512 maxerr=5.95E-06 time=52.966
After sweep 18 energy=-124.96408  maxlinkdim=512 maxerr=5.95E-06 time=53.032
After sweep 19 energy=-124.96363  maxlinkdim=512 maxerr=5.95E-06 time=53.052
After sweep 20 energy=-124.96414  maxlinkdim=512 maxerr=5.95E-06 time=53.031
E0 = -124.96414
M = 2.0000153
After sweep 1 energy=-104.430336  maxlinkdim=4 maxerr=0.00E+00 time=1.359
After sweep 2 energy=-119.60486  maxlinkdim=16 maxerr=0.00E+00 time=1.668
After sweep 3 energy=-123.9532  maxlinkdim=64 maxerr=0.00E+00 time=2.782
After sweep 4 energy=-124.80136  maxlinkdim=256 maxerr=0.00E+00 time=7.779
After sweep 5 energy=-124.94716  maxlinkdim=512 maxerr=5.01E-06 time=39.680
After sweep 6 energy=-124.9558  maxlinkdim=512 maxerr=7.60E-06 time=53.758
After sweep 7 energy=-124.958435  maxlinkdim=512 maxerr=6.71E-06 time=53.447
After sweep 8 energy=-124.95849  maxlinkdim=512 maxerr=6.27E-06 time=53.326
After sweep 9 energy=-124.9593  maxlinkdim=512 maxerr=6.07E-06 time=53.208
After sweep 10 energy=-124.95991  maxlinkdim=512 maxerr=6.00E-06 time=53.522
After sweep 11 energy=-124.96237  maxlinkdim=512 maxerr=5.98E-06 time=53.100
After sweep 12 energy=-124.96224  maxlinkdim=512 maxerr=5.96E-06 time=53.027
After sweep 13 energy=-124.96317  maxlinkdim=512 maxerr=5.95E-06 time=53.022
After sweep 14 energy=-124.96322  maxlinkdim=512 maxerr=5.95E-06 time=53.023
After sweep 15 energy=-124.963425  maxlinkdim=512 maxerr=5.95E-06 time=53.003
After sweep 16 energy=-124.96321  maxlinkdim=512 maxerr=5.95E-06 time=53.381
After sweep 17 energy=-124.96429  maxlinkdim=512 maxerr=5.95E-06 time=52.966
After sweep 18 energy=-124.96416  maxlinkdim=512 maxerr=5.95E-06 time=53.000
After sweep 19 energy=-124.963646  maxlinkdim=512 maxerr=5.95E-06 time=53.026
