After sweep 1 energy=-599.18555  maxlinkdim=4 maxerr=9.89E-07 time=18.576
After sweep 2 energy=-600.0257  maxlinkdim=6 maxerr=9.99E-07 time=1.137
After sweep 3 energy=-600.1024  maxlinkdim=7 maxerr=9.96E-07 time=1.145
After sweep 4 energy=-600.1311  maxlinkdim=7 maxerr=9.72E-07 time=1.143
After sweep 5 energy=-600.1363  maxlinkdim=7 maxerr=9.85E-07 time=1.210
After sweep 6 energy=-600.136  maxlinkdim=7 maxerr=8.27E-07 time=1.177
After sweep 7 energy=-600.14154  maxlinkdim=7 maxerr=8.24E-07 time=1.166
After sweep 8 energy=-600.1394  maxlinkdim=7 maxerr=8.46E-07 time=1.176
After sweep 9 energy=-600.14044  maxlinkdim=7 maxerr=8.02E-07 time=1.175
After sweep 10 energy=-600.13763  maxlinkdim=7 maxerr=8.87E-07 time=1.194
After sweep 11 energy=-600.13947  maxlinkdim=7 maxerr=8.01E-07 time=1.138
After sweep 12 energy=-600.13855  maxlinkdim=7 maxerr=8.18E-07 time=1.188
After sweep 13 energy=-600.1419  maxlinkdim=7 maxerr=7.92E-07 time=1.175
After sweep 14 energy=-600.14276  maxlinkdim=7 maxerr=8.40E-07 time=1.183
After sweep 15 energy=-600.1428  maxlinkdim=7 maxerr=8.04E-07 time=1.200
After sweep 16 energy=-600.1375  maxlinkdim=7 maxerr=8.22E-07 time=1.141
After sweep 17 energy=-600.14087  maxlinkdim=7 maxerr=8.49E-07 time=1.198
After sweep 18 energy=-600.137  maxlinkdim=7 maxerr=8.17E-07 time=1.198
After sweep 19 energy=-600.1402  maxlinkdim=7 maxerr=8.19E-07 time=1.151
After sweep 20 energy=-600.13666  maxlinkdim=7 maxerr=8.15E-07 time=1.216
E0 = -600.13666
M = -4.498975e-5
After sweep 1 energy=-598.9955  maxlinkdim=4 maxerr=9.23E-07 time=1.100
After sweep 2 energy=-600.02325  maxlinkdim=6 maxerr=1.00E-06 time=1.289
After sweep 3 energy=-600.1  maxlinkdim=7 maxerr=9.87E-07 time=1.157
After sweep 4 energy=-600.12555  maxlinkdim=7 maxerr=9.91E-07 time=1.233
After sweep 5 energy=-600.1329  maxlinkdim=7 maxerr=9.86E-07 time=1.218
After sweep 6 energy=-600.13745  maxlinkdim=7 maxerr=9.66E-07 time=1.170
After sweep 7 energy=-600.13934  maxlinkdim=7 maxerr=8.44E-07 time=1.222
After sweep 8 energy=-600.1393  maxlinkdim=7 maxerr=8.13E-07 time=1.156
After sweep 9 energy=-600.1369  maxlinkdim=7 maxerr=8.03E-07 time=1.232
After sweep 10 energy=-600.1383  maxlinkdim=7 maxerr=8.55E-07 time=1.239
After sweep 11 energy=-600.1408  maxlinkdim=7 maxerr=7.91E-07 time=1.156
After sweep 12 energy=-600.1397  maxlinkdim=7 maxerr=8.20E-07 time=1.239
After sweep 13 energy=-600.1369  maxlinkdim=7 maxerr=8.14E-07 time=1.191
After sweep 14 energy=-600.1376  maxlinkdim=7 maxerr=8.37E-07 time=1.245
After sweep 15 energy=-600.1361  maxlinkdim=7 maxerr=8.12E-07 time=1.163
After sweep 16 energy=-600.13855  maxlinkdim=7 maxerr=8.35E-07 time=1.242
After sweep 17 energy=-600.13995  maxlinkdim=7 maxerr=7.79E-07 time=1.166
After sweep 18 energy=-600.13745  maxlinkdim=7 maxerr=8.19E-07 time=1.249
After sweep 19 energy=-600.1401  maxlinkdim=7 maxerr=8.23E-07 time=1.187
After sweep 20 energy=-600.13654  maxlinkdim=7 maxerr=8.66E-07 time=1.193
E0 = -600.13654
M = 0.00011148022
After sweep 1 energy=-599.20544  maxlinkdim=4 maxerr=9.84E-07 time=1.118
After sweep 2 energy=-600.03784  maxlinkdim=7 maxerr=9.68E-07 time=1.309
After sweep 3 energy=-600.1125  maxlinkdim=7 maxerr=9.97E-07 time=1.162
After sweep 4 energy=-600.13275  maxlinkdim=7 maxerr=9.99E-07 time=1.236
After sweep 5 energy=-600.13654  maxlinkdim=7 maxerr=9.35E-07 time=1.150
After sweep 6 energy=-600.1454  maxlinkdim=7 maxerr=8.24E-07 time=1.210
After sweep 7 energy=-600.13525  maxlinkdim=7 maxerr=8.00E-07 time=1.220
After sweep 8 energy=-600.13727  maxlinkdim=7 maxerr=8.55E-07 time=1.156
After sweep 9 energy=-600.1381  maxlinkdim=7 maxerr=8.15E-07 time=1.223
After sweep 10 energy=-600.1408  maxlinkdim=7 maxerr=7.99E-07 time=1.181
After sweep 11 energy=-600.1346  maxlinkdim=7 maxerr=7.94E-07 time=1.257
After sweep 12 energy=-600.14026  maxlinkdim=7 maxerr=8.17E-07 time=1.159
