After sweep 1 energy=-114.42168  maxlinkdim=4 maxerr=2.94E-07 time=18.603
After sweep 2 energy=-128.07556  maxlinkdim=16 maxerr=7.43E-07 time=1.228
After sweep 3 energy=-132.60611  maxlinkdim=64 maxerr=1.00E-06 time=1.711
After sweep 4 energy=-133.27414  maxlinkdim=202 maxerr=1.00E-06 time=2.589
After sweep 5 energy=-133.395  maxlinkdim=432 maxerr=1.00E-06 time=6.421
After sweep 6 energy=-133.43637  maxlinkdim=512 maxerr=2.92E-06 time=13.035
After sweep 7 energy=-133.4491  maxlinkdim=512 maxerr=3.40E-06 time=15.533
After sweep 8 energy=-133.45131  maxlinkdim=512 maxerr=3.73E-06 time=15.433
After sweep 9 energy=-133.4536  maxlinkdim=512 maxerr=3.49E-06 time=15.581
After sweep 10 energy=-133.45323  maxlinkdim=512 maxerr=3.41E-06 time=15.826
After sweep 11 energy=-133.45436  maxlinkdim=512 maxerr=3.32E-06 time=15.815
After sweep 12 energy=-133.45496  maxlinkdim=512 maxerr=3.21E-06 time=15.390
After sweep 13 energy=-133.45451  maxlinkdim=512 maxerr=3.12E-06 time=15.350
After sweep 14 energy=-133.45607  maxlinkdim=512 maxerr=3.12E-06 time=15.516
After sweep 15 energy=-133.45573  maxlinkdim=512 maxerr=3.07E-06 time=16.070
After sweep 16 energy=-133.45634  maxlinkdim=512 maxerr=2.99E-06 time=15.288
After sweep 17 energy=-133.4563  maxlinkdim=512 maxerr=2.98E-06 time=15.276
After sweep 18 energy=-133.45587  maxlinkdim=512 maxerr=3.01E-06 time=15.317
After sweep 19 energy=-133.45673  maxlinkdim=512 maxerr=2.97E-06 time=15.462
After sweep 20 energy=-133.45506  maxlinkdim=512 maxerr=2.94E-06 time=15.963
E0 = -133.45506
M = -0.00010980666
After sweep 1 energy=-114.57732  maxlinkdim=4 maxerr=2.43E-07 time=1.051
After sweep 2 energy=-128.46587  maxlinkdim=16 maxerr=9.81E-07 time=1.083
After sweep 3 energy=-132.71657  maxlinkdim=63 maxerr=9.98E-07 time=1.937
After sweep 4 energy=-133.29375  maxlinkdim=203 maxerr=9.99E-07 time=2.418
After sweep 5 energy=-133.40973  maxlinkdim=425 maxerr=1.00E-06 time=5.756
After sweep 6 energy=-133.44316  maxlinkdim=512 maxerr=2.02E-06 time=11.679
After sweep 7 energy=-133.45258  maxlinkdim=512 maxerr=3.19E-06 time=14.986
After sweep 8 energy=-133.45506  maxlinkdim=512 maxerr=2.96E-06 time=15.343
After sweep 9 energy=-133.45586  maxlinkdim=512 maxerr=2.91E-06 time=15.490
After sweep 10 energy=-133.4553  maxlinkdim=512 maxerr=2.84E-06 time=15.566
After sweep 11 energy=-133.45573  maxlinkdim=512 maxerr=2.90E-06 time=15.922
After sweep 12 energy=-133.45528  maxlinkdim=512 maxerr=2.90E-06 time=15.349
After sweep 13 energy=-133.45679  maxlinkdim=512 maxerr=2.93E-06 time=15.349
After sweep 14 energy=-133.45567  maxlinkdim=512 maxerr=2.90E-06 time=15.522
After sweep 15 energy=-133.45663  maxlinkdim=512 maxerr=2.93E-06 time=15.762
After sweep 16 energy=-133.45605  maxlinkdim=512 maxerr=2.92E-06 time=15.764
After sweep 17 energy=-133.4559  maxlinkdim=512 maxerr=2.94E-06 time=15.342
After sweep 18 energy=-133.45688  maxlinkdim=512 maxerr=2.91E-06 time=15.355
After sweep 19 energy=-133.45604  maxlinkdim=512 maxerr=2.92E-06 time=15.564
After sweep 20 energy=-133.45535  maxlinkdim=512 maxerr=2.88E-06 time=16.150
E0 = -133.45535
M = 0.00014142692
After sweep 1 energy=-114.54293  maxlinkdim=4 maxerr=2.89E-07 time=1.137
After sweep 2 energy=-129.0282  maxlinkdim=16 maxerr=9.55E-07 time=1.191
After sweep 3 energy=-132.75449  maxlinkdim=63 maxerr=1.19E-06 time=1.703
After sweep 4 energy=-133.32156  maxlinkdim=204 maxerr=1.00E-06 time=2.437
After sweep 5 energy=-133.41733  maxlinkdim=406 maxerr=1.00E-06 time=5.634
After sweep 6 energy=-133.44672  maxlinkdim=512 maxerr=1.89E-06 time=11.484
After sweep 7 energy=-133.45364  maxlinkdim=512 maxerr=2.63E-06 time=15.124
After sweep 8 energy=-133.45555  maxlinkdim=512 maxerr=2.71E-06 time=15.472
After sweep 9 energy=-133.4546  maxlinkdim=512 maxerr=2.76E-06 time=15.657
After sweep 10 energy=-133.45602  maxlinkdim=512 maxerr=2.85E-06 time=15.745
After sweep 11 energy=-133.4552  maxlinkdim=512 maxerr=2.89E-06 time=16.087
After sweep 12 energy=-133.4552  maxlinkdim=512 maxerr=2.93E-06 time=15.488
After sweep 13 energy=-133.45604  maxlinkdim=512 maxerr=2.92E-06 time=15.507
After sweep 14 energy=-133.45578  maxlinkdim=512 maxerr=2.95E-06 time=15.627
After sweep 15 energy=-133.45682  maxlinkdim=512 maxerr=2.93E-06 time=15.555
After sweep 16 energy=-133.45616  maxlinkdim=512 maxerr=2.89E-06 time=15.699
After sweep 17 energy=-133.45653  maxlinkdim=512 maxerr=2.92E-06 time=15.272
After sweep 18 energy=-133.45607  maxlinkdim=512 maxerr=2.92E-06 time=15.244
After sweep 19 energy=-133.45586  maxlinkdim=512 maxerr=2.92E-06 time=15.450
After sweep 20 energy=-133.45627  maxlinkdim=512 maxerr=2.95E-06 time=15.954
E0 = -133.45627
M = 0.00020152703
After sweep 1 energy=-112.94079  maxlinkdim=4 maxerr=2.79E-07 time=1.165
After sweep 2 energy=-128.06891  maxlinkdim=16 maxerr=6.42E-07 time=1.219
After sweep 3 energy=-132.58737  maxlinkdim=63 maxerr=9.97E-07 time=1.581
After sweep 4 energy=-133.24681  maxlinkdim=205 maxerr=1.00E-06 time=2.526
After sweep 5 energy=-133.37624  maxlinkdim=427 maxerr=1.00E-06 time=5.992
After sweep 6 energy=-133.42581  maxlinkdim=512 maxerr=2.69E-06 time=12.678
After sweep 7 energy=-133.44548  maxlinkdim=512 maxerr=3.62E-06 time=15.397
After sweep 8 energy=-133.45038  maxlinkdim=512 maxerr=3.89E-06 time=15.474
After sweep 9 energy=-133.45209  maxlinkdim=512 maxerr=3.80E-06 time=15.648
After sweep 10 energy=-133.4525  maxlinkdim=512 maxerr=3.82E-06 time=15.653
After sweep 11 energy=-133.4551  maxlinkdim=512 maxerr=3.71E-06 time=16.143
After sweep 12 energy=-133.45354  maxlinkdim=512 maxerr=3.75E-06 time=15.409
After sweep 13 energy=-133.45406  maxlinkdim=512 maxerr=3.63E-06 time=15.404
After sweep 14 energy=-133.45416  maxlinkdim=512 maxerr=3.52E-06 time=15.534
After sweep 15 energy=-133.45503  maxlinkdim=512 maxerr=3.48E-06 time=15.624
After sweep 16 energy=-133.45558  maxlinkdim=512 maxerr=3.23E-06 time=16.018
After sweep 17 energy=-133.45567  maxlinkdim=512 maxerr=3.16E-06 time=15.340
After sweep 18 energy=-133.45567  maxlinkdim=512 maxerr=3.11E-06 time=15.320
After sweep 19 energy=-133.45613  maxlinkdim=512 maxerr=3.05E-06 time=15.479
After sweep 20 energy=-133.4557  maxlinkdim=512 maxerr=2.96E-06 time=15.528
E0 = -133.4557
M = 0.0003250949
After sweep 1 energy=-112.872536  maxlinkdim=4 maxerr=2.60E-07 time=1.076
After sweep 2 energy=-128.00371  maxlinkdim=16 maxerr=7.49E-07 time=1.157
After sweep 3 energy=-132.52057  maxlinkdim=64 maxerr=9.96E-07 time=1.584
After sweep 4 energy=-133.218  maxlinkdim=208 maxerr=9.99E-07 time=2.738
After sweep 5 energy=-133.3785  maxlinkdim=425 maxerr=1.00E-06 time=6.217
After sweep 6 energy=-133.42952  maxlinkdim=512 maxerr=2.72E-06 time=12.885
After sweep 7 energy=-133.44556  maxlinkdim=512 maxerr=4.06E-06 time=15.393
After sweep 8 energy=-133.4507  maxlinkdim=512 maxerr=3.93E-06 time=15.452
