After sweep 1 energy=-259.39685  maxlinkdim=4 maxerr=9.66E-07 time=18.640
After sweep 2 energy=-265.11145  maxlinkdim=16 maxerr=9.96E-07 time=1.371
After sweep 3 energy=-267.30145  maxlinkdim=39 maxerr=9.99E-07 time=1.484
After sweep 4 energy=-268.0696  maxlinkdim=75 maxerr=1.00E-06 time=1.707
After sweep 5 energy=-268.49344  maxlinkdim=116 maxerr=1.00E-06 time=1.736
After sweep 6 energy=-268.66965  maxlinkdim=153 maxerr=1.00E-06 time=2.021
After sweep 7 energy=-268.71353  maxlinkdim=196 maxerr=1.00E-06 time=2.421
After sweep 8 energy=-268.73422  maxlinkdim=236 maxerr=1.00E-06 time=2.781
After sweep 9 energy=-268.74588  maxlinkdim=271 maxerr=1.00E-06 time=3.128
After sweep 10 energy=-268.75467  maxlinkdim=287 maxerr=1.00E-06 time=3.406
After sweep 11 energy=-268.7604  maxlinkdim=282 maxerr=1.00E-06 time=3.531
After sweep 12 energy=-268.76288  maxlinkdim=282 maxerr=1.00E-06 time=3.511
After sweep 13 energy=-268.76566  maxlinkdim=273 maxerr=1.00E-06 time=3.514
After sweep 14 energy=-268.76736  maxlinkdim=270 maxerr=1.00E-06 time=3.641
After sweep 15 energy=-268.77332  maxlinkdim=268 maxerr=1.00E-06 time=3.801
After sweep 16 energy=-268.77777  maxlinkdim=261 maxerr=1.00E-06 time=3.788
After sweep 17 energy=-268.77945  maxlinkdim=246 maxerr=1.00E-06 time=3.586
After sweep 18 energy=-268.7806  maxlinkdim=230 maxerr=1.00E-06 time=3.373
After sweep 19 energy=-268.7832  maxlinkdim=222 maxerr=1.00E-06 time=3.262
After sweep 20 energy=-268.78528  maxlinkdim=214 maxerr=1.00E-06 time=3.172
E0 = -268.78528
M = -0.008601345
After sweep 1 energy=-259.8058  maxlinkdim=4 maxerr=8.77E-07 time=1.055
After sweep 2 energy=-265.2389  maxlinkdim=16 maxerr=9.98E-07 time=1.299
After sweep 3 energy=-267.17273  maxlinkdim=39 maxerr=1.00E-06 time=1.443
After sweep 4 energy=-267.91653  maxlinkdim=74 maxerr=1.00E-06 time=1.747
After sweep 5 energy=-268.3997  maxlinkdim=111 maxerr=1.00E-06 time=1.767
After sweep 6 energy=-268.63785  maxlinkdim=155 maxerr=1.00E-06 time=1.987
After sweep 7 energy=-268.71893  maxlinkdim=190 maxerr=1.00E-06 time=2.398
After sweep 8 energy=-268.75006  maxlinkdim=208 maxerr=1.00E-06 time=2.734
After sweep 9 energy=-268.762  maxlinkdim=225 maxerr=1.00E-06 time=3.025
After sweep 10 energy=-268.76514  maxlinkdim=232 maxerr=1.00E-06 time=3.166
After sweep 11 energy=-268.76572  maxlinkdim=239 maxerr=1.00E-06 time=3.285
After sweep 12 energy=-268.76752  maxlinkdim=242 maxerr=1.00E-06 time=3.360
After sweep 13 energy=-268.76712  maxlinkdim=245 maxerr=1.00E-06 time=3.497
After sweep 14 energy=-268.7708  maxlinkdim=253 maxerr=1.00E-06 time=3.669
After sweep 15 energy=-268.7752  maxlinkdim=262 maxerr=1.00E-06 time=3.836
After sweep 16 energy=-268.7781  maxlinkdim=253 maxerr=1.00E-06 time=3.782
After sweep 17 energy=-268.7796  maxlinkdim=240 maxerr=1.00E-06 time=3.510
After sweep 18 energy=-268.7824  maxlinkdim=224 maxerr=1.00E-06 time=3.385
After sweep 19 energy=-268.78348  maxlinkdim=218 maxerr=1.00E-06 time=3.212
After sweep 20 energy=-268.78616  maxlinkdim=212 maxerr=1.00E-06 time=3.190
E0 = -268.78616
M = 0.008397527
After sweep 1 energy=-259.2802  maxlinkdim=4 maxerr=3.12E-07 time=1.156
After sweep 2 energy=-265.0491  maxlinkdim=15 maxerr=1.00E-06 time=1.189
After sweep 3 energy=-266.99005  maxlinkdim=38 maxerr=9.99E-07 time=1.525
After sweep 4 energy=-267.7834  maxlinkdim=77 maxerr=1.00E-06 time=1.716
After sweep 5 energy=-268.2937  maxlinkdim=114 maxerr=1.00E-06 time=1.789
After sweep 6 energy=-268.55515  maxlinkdim=146 maxerr=1.00E-06 time=2.032
After sweep 7 energy=-268.67252  maxlinkdim=194 maxerr=1.00E-06 time=2.487
After sweep 8 energy=-268.7643  maxlinkdim=187 maxerr=1.00E-06 time=2.768
After sweep 9 energy=-268.78552  maxlinkdim=191 maxerr=1.00E-06 time=2.877
After sweep 10 energy=-268.7896  maxlinkdim=199 maxerr=1.00E-06 time=3.000
After sweep 11 energy=-268.78876  maxlinkdim=199 maxerr=1.00E-06 time=2.998
After sweep 12 energy=-268.7887  maxlinkdim=202 maxerr=1.00E-06 time=2.995
After sweep 13 energy=-268.7891  maxlinkdim=202 maxerr=1.00E-06 time=3.014
After sweep 14 energy=-268.7897  maxlinkdim=204 maxerr=1.00E-06 time=3.008
After sweep 15 energy=-268.7891  maxlinkdim=202 maxerr=1.00E-06 time=3.049
After sweep 16 energy=-268.79007  maxlinkdim=203 maxerr=1.00E-06 time=3.030
After sweep 17 energy=-268.78775  maxlinkdim=205 maxerr=1.00E-06 time=3.052
After sweep 18 energy=-268.78677  maxlinkdim=205 maxerr=1.00E-06 time=3.038
After sweep 19 energy=-268.7898  maxlinkdim=205 maxerr=1.00E-06 time=3.066
After sweep 20 energy=-268.7886  maxlinkdim=204 maxerr=1.00E-06 time=3.045
E0 = -268.7886
M = 0.00019837171
After sweep 1 energy=-259.6884  maxlinkdim=4 maxerr=9.03E-07 time=1.153
After sweep 2 energy=-264.98682  maxlinkdim=16 maxerr=1.00E-06 time=1.168
After sweep 3 energy=-267.13058  maxlinkdim=40 maxerr=1.00E-06 time=1.465
After sweep 4 energy=-267.9362  maxlinkdim=84 maxerr=1.00E-06 time=1.777
After sweep 5 energy=-268.33752  maxlinkdim=121 maxerr=1.00E-06 time=1.812
After sweep 6 energy=-268.52396  maxlinkdim=154 maxerr=1.00E-06 time=2.082
After sweep 7 energy=-268.66644  maxlinkdim=199 maxerr=1.00E-06 time=2.589
After sweep 8 energy=-268.7231  maxlinkdim=201 maxerr=1.00E-06 time=2.830
After sweep 9 energy=-268.7506  maxlinkdim=206 maxerr=1.00E-06 time=3.030
After sweep 10 energy=-268.76105  maxlinkdim=223 maxerr=1.00E-06 time=3.254
After sweep 11 energy=-268.77213  maxlinkdim=239 maxerr=1.00E-06 time=3.407
After sweep 12 energy=-268.7809  maxlinkdim=239 maxerr=1.00E-06 time=3.441
After sweep 13 energy=-268.784  maxlinkdim=225 maxerr=1.00E-06 time=3.356
After sweep 14 energy=-268.78485  maxlinkdim=217 maxerr=1.00E-06 time=3.269
After sweep 15 energy=-268.78577  maxlinkdim=208 maxerr=1.00E-06 time=3.174
After sweep 16 energy=-268.78708  maxlinkdim=207 maxerr=9.99E-07 time=3.145
After sweep 17 energy=-268.78613  maxlinkdim=205 maxerr=1.00E-06 time=3.114
After sweep 18 energy=-268.78735  maxlinkdim=205 maxerr=1.00E-06 time=3.057
After sweep 19 energy=-268.78796  maxlinkdim=205 maxerr=1.00E-06 time=3.047
After sweep 20 energy=-268.7885  maxlinkdim=205 maxerr=1.00E-06 time=3.097
E0 = -268.7885
M = -0.0019379556
After sweep 1 energy=-259.3784  maxlinkdim=4 maxerr=8.04E-07 time=1.118
After sweep 2 energy=-265.31357  maxlinkdim=15 maxerr=9.98E-07 time=1.227
After sweep 3 energy=-267.20703  maxlinkdim=41 maxerr=9.99E-07 time=1.555
After sweep 4 energy=-267.93307  maxlinkdim=85 maxerr=1.00E-06 time=1.733
After sweep 5 energy=-268.33508  maxlinkdim=125 maxerr=1.00E-06 time=1.788
After sweep 6 energy=-268.60077  maxlinkdim=155 maxerr=1.00E-06 time=2.132
After sweep 7 energy=-268.67325  maxlinkdim=195 maxerr=1.00E-06 time=2.399
After sweep 8 energy=-268.71265  maxlinkdim=233 maxerr=1.00E-06 time=2.756
After sweep 9 energy=-268.7342  maxlinkdim=269 maxerr=1.00E-06 time=3.163
After sweep 10 energy=-268.7608  maxlinkdim=282 maxerr=1.00E-06 time=3.388
After sweep 11 energy=-268.77924  maxlinkdim=269 maxerr=1.00E-06 time=3.356
After sweep 12 energy=-268.78586  maxlinkdim=247 maxerr=1.00E-06 time=3.266
After sweep 13 energy=-268.7869  maxlinkdim=230 maxerr=1.00E-06 time=3.172
After sweep 14 energy=-268.7874  maxlinkdim=217 maxerr=1.00E-06 time=3.074
After sweep 15 energy=-268.78854  maxlinkdim=210 maxerr=1.00E-06 time=3.041
After sweep 16 energy=-268.7885  maxlinkdim=208 maxerr=1.00E-06 time=3.050
After sweep 17 energy=-268.7891  maxlinkdim=206 maxerr=1.00E-06 time=3.002
After sweep 18 energy=-268.7888  maxlinkdim=206 maxerr=1.00E-06 time=3.013
After sweep 19 energy=-268.78885  maxlinkdim=203 maxerr=1.00E-06 time=3.027
After sweep 20 energy=-268.7875  maxlinkdim=205 maxerr=1.00E-06 time=3.027
E0 = -268.7875
M = 0.0002623722
After sweep 1 energy=-259.68695  maxlinkdim=4 maxerr=6.85E-07 time=1.087
After sweep 2 energy=-265.28726  maxlinkdim=16 maxerr=9.99E-07 time=1.340
After sweep 3 energy=-267.1661  maxlinkdim=42 maxerr=1.00E-06 time=1.452
After sweep 4 energy=-268.01056  maxlinkdim=79 maxerr=1.00E-06 time=1.705
After sweep 5 energy=-268.5053  maxlinkdim=104 maxerr=9.99E-07 time=1.758
After sweep 6 energy=-268.66718  maxlinkdim=131 maxerr=1.00E-06 time=1.934
After sweep 7 energy=-268.70584  maxlinkdim=171 maxerr=1.00E-06 time=2.246
After sweep 8 energy=-268.7312  maxlinkdim=199 maxerr=1.00E-06 time=2.723
After sweep 9 energy=-268.7415  maxlinkdim=214 maxerr=1.00E-06 time=2.894
After sweep 10 energy=-268.74695  maxlinkdim=228 maxerr=1.00E-06 time=3.170
After sweep 11 energy=-268.75104  maxlinkdim=240 maxerr=1.00E-06 time=3.366
After sweep 12 energy=-268.74854  maxlinkdim=242 maxerr=1.00E-06 time=3.395
After sweep 13 energy=-268.74985  maxlinkdim=242 maxerr=1.00E-06 time=3.369
After sweep 14 energy=-268.74994  maxlinkdim=239 maxerr=1.00E-06 time=3.390
After sweep 15 energy=-268.75052  maxlinkdim=237 maxerr=1.00E-06 time=3.401
After sweep 16 energy=-268.7496  maxlinkdim=237 maxerr=1.00E-06 time=3.416
After sweep 17 energy=-268.75183  maxlinkdim=237 maxerr=1.00E-06 time=3.415
After sweep 18 energy=-268.74905  maxlinkdim=236 maxerr=1.00E-06 time=3.412
After sweep 19 energy=-268.75046  maxlinkdim=235 maxerr=1.00E-06 time=3.448
After sweep 20 energy=-268.75146  maxlinkdim=237 maxerr=1.00E-06 time=3.449
E0 = -268.75146
M = -0.0038952082
After sweep 1 energy=-259.81363  maxlinkdim=4 maxerr=8.16E-07 time=1.077
After sweep 2 energy=-265.1918  maxlinkdim=16 maxerr=1.00E-06 time=1.232
After sweep 3 energy=-267.19534  maxlinkdim=44 maxerr=9.99E-07 time=1.542
After sweep 4 energy=-267.93988  maxlinkdim=84 maxerr=1.00E-06 time=1.685
After sweep 5 energy=-268.41296  maxlinkdim=130 maxerr=1.00E-06 time=1.813
After sweep 6 energy=-268.62695  maxlinkdim=150 maxerr=1.00E-06 time=2.051
After sweep 7 energy=-268.69815  maxlinkdim=180 maxerr=1.00E-06 time=2.415
After sweep 8 energy=-268.7418  maxlinkdim=198 maxerr=1.00E-06 time=2.762
After sweep 9 energy=-268.75647  maxlinkdim=216 maxerr=1.00E-06 time=3.040
After sweep 10 energy=-268.76337  maxlinkdim=219 maxerr=1.00E-06 time=3.178
After sweep 11 energy=-268.7678  maxlinkdim=235 maxerr=1.00E-06 time=3.297
After sweep 12 energy=-268.77133  maxlinkdim=254 maxerr=1.00E-06 time=3.412
After sweep 13 energy=-268.7769  maxlinkdim=260 maxerr=1.00E-06 time=3.505
After sweep 14 energy=-268.78125  maxlinkdim=253 maxerr=1.00E-06 time=3.504
After sweep 15 energy=-268.78156  maxlinkdim=236 maxerr=1.00E-06 time=3.337
After sweep 16 energy=-268.78403  maxlinkdim=226 maxerr=1.00E-06 time=3.259
After sweep 17 energy=-268.78564  maxlinkdim=217 maxerr=1.00E-06 time=3.158
After sweep 18 energy=-268.78595  maxlinkdim=213 maxerr=1.00E-06 time=3.116
After sweep 19 energy=-268.78845  maxlinkdim=209 maxerr=1.00E-06 time=3.070
After sweep 20 energy=-268.78726  maxlinkdim=210 maxerr=1.00E-06 time=3.069
E0 = -268.78726
M = 0.003146693
After sweep 1 energy=-258.31927  maxlinkdim=4 maxerr=4.66E-07 time=1.059
