After sweep 12 energy=-127.1707  maxlinkdim=512 maxerr=4.60E-06 time=53.257
After sweep 13 energy=-127.17126  maxlinkdim=512 maxerr=4.58E-06 time=53.214
After sweep 14 energy=-127.17207  maxlinkdim=512 maxerr=4.56E-06 time=53.157
After sweep 15 energy=-127.17192  maxlinkdim=512 maxerr=4.56E-06 time=53.128
After sweep 16 energy=-127.17268  maxlinkdim=512 maxerr=4.55E-06 time=53.316
After sweep 17 energy=-127.17181  maxlinkdim=512 maxerr=4.56E-06 time=53.043
After sweep 18 energy=-127.17351  maxlinkdim=512 maxerr=4.57E-06 time=53.125
After sweep 19 energy=-127.17277  maxlinkdim=512 maxerr=4.57E-06 time=53.155
After sweep 20 energy=-127.17329  maxlinkdim=512 maxerr=4.57E-06 time=53.153
E0 = -127.17329
M = 16.000116
After sweep 1 energy=-107.23837  maxlinkdim=4 maxerr=0.00E+00 time=1.260
After sweep 2 energy=-120.755325  maxlinkdim=16 maxerr=0.00E+00 time=1.511
After sweep 3 energy=-126.05975  maxlinkdim=64 maxerr=0.00E+00 time=2.507
After sweep 4 energy=-126.92332  maxlinkdim=256 maxerr=0.00E+00 time=7.586
After sweep 5 energy=-127.08224  maxlinkdim=512 maxerr=4.15E-06 time=40.015
After sweep 6 energy=-127.142105  maxlinkdim=512 maxerr=7.82E-06 time=54.668
After sweep 7 energy=-127.1596  maxlinkdim=512 maxerr=7.26E-06 time=54.426
After sweep 8 energy=-127.16416  maxlinkdim=512 maxerr=5.58E-06 time=53.990
After sweep 9 energy=-127.166176  maxlinkdim=512 maxerr=4.64E-06 time=53.773
After sweep 10 energy=-127.16844  maxlinkdim=512 maxerr=4.53E-06 time=53.808
After sweep 11 energy=-127.169136  maxlinkdim=512 maxerr=4.51E-06 time=53.292
After sweep 12 energy=-127.16977  maxlinkdim=512 maxerr=4.51E-06 time=53.266
After sweep 13 energy=-127.17094  maxlinkdim=512 maxerr=4.52E-06 time=53.186
After sweep 14 energy=-127.17128  maxlinkdim=512 maxerr=4.52E-06 time=53.183
After sweep 15 energy=-127.17277  maxlinkdim=512 maxerr=4.53E-06 time=53.206
After sweep 16 energy=-127.17193  maxlinkdim=512 maxerr=4.54E-06 time=53.483
After sweep 17 energy=-127.172386  maxlinkdim=512 maxerr=4.55E-06 time=53.165
After sweep 18 energy=-127.17287  maxlinkdim=512 maxerr=4.55E-06 time=53.157
After sweep 19 energy=-127.17238  maxlinkdim=512 maxerr=4.55E-06 time=53.068
After sweep 20 energy=-127.17304  maxlinkdim=512 maxerr=4.55E-06 time=53.065
E0 = -127.17304
M = 16.000053
After sweep 1 energy=-106.35429  maxlinkdim=4 maxerr=0.00E+00 time=1.248
After sweep 2 energy=-120.620766  maxlinkdim=16 maxerr=0.00E+00 time=1.489
After sweep 3 energy=-126.190674  maxlinkdim=64 maxerr=0.00E+00 time=2.512
After sweep 4 energy=-126.97955  maxlinkdim=256 maxerr=0.00E+00 time=7.622
After sweep 5 energy=-127.07986  maxlinkdim=512 maxerr=3.32E-06 time=40.025
After sweep 6 energy=-127.09943  maxlinkdim=512 maxerr=8.96E-06 time=54.744
After sweep 7 energy=-127.13997  maxlinkdim=512 maxerr=1.12E-05 time=54.724
After sweep 8 energy=-127.156456  maxlinkdim=512 maxerr=7.83E-06 time=54.467
After sweep 9 energy=-127.161674  maxlinkdim=512 maxerr=5.97E-06 time=54.016
After sweep 10 energy=-127.16379  maxlinkdim=512 maxerr=5.19E-06 time=54.019
After sweep 11 energy=-127.16591  maxlinkdim=512 maxerr=4.91E-06 time=53.600
After sweep 12 energy=-127.16779  maxlinkdim=512 maxerr=4.78E-06 time=53.422
After sweep 13 energy=-127.16952  maxlinkdim=512 maxerr=4.75E-06 time=53.371
After sweep 14 energy=-127.16932  maxlinkdim=512 maxerr=4.69E-06 time=53.451
After sweep 15 energy=-127.17095  maxlinkdim=512 maxerr=4.67E-06 time=53.417
After sweep 16 energy=-127.171455  maxlinkdim=512 maxerr=4.63E-06 time=53.709
After sweep 17 energy=-127.17227  maxlinkdim=512 maxerr=4.61E-06 time=53.436
After sweep 18 energy=-127.17284  maxlinkdim=512 maxerr=4.59E-06 time=53.360
After sweep 19 energy=-127.172485  maxlinkdim=512 maxerr=4.56E-06 time=53.302
After sweep 20 energy=-127.17331  maxlinkdim=512 maxerr=4.56E-06 time=53.255
E0 = -127.17331
M = 16.0001
After sweep 1 energy=-106.354935  maxlinkdim=4 maxerr=0.00E+00 time=1.255
After sweep 2 energy=-120.384415  maxlinkdim=16 maxerr=0.00E+00 time=1.511
After sweep 3 energy=-126.18985  maxlinkdim=64 maxerr=0.00E+00 time=2.509
After sweep 4 energy=-127.04348  maxlinkdim=256 maxerr=0.00E+00 time=7.617
After sweep 5 energy=-127.13758  maxlinkdim=512 maxerr=2.95E-06 time=39.793
After sweep 6 energy=-127.15317  maxlinkdim=512 maxerr=5.49E-06 time=54.209
After sweep 7 energy=-127.157875  maxlinkdim=512 maxerr=5.50E-06 time=54.064
After sweep 8 energy=-127.16269  maxlinkdim=512 maxerr=5.24E-06 time=53.866
