After sweep 1 energy=-108.79476  maxlinkdim=4 maxerr=0.00E+00 time=23.113
After sweep 2 energy=-122.184006  maxlinkdim=16 maxerr=0.00E+00 time=1.632
After sweep 3 energy=-127.53847  maxlinkdim=64 maxerr=0.00E+00 time=2.775
After sweep 4 energy=-128.8472  maxlinkdim=256 maxerr=0.00E+00 time=7.977
After sweep 5 energy=-129.04187  maxlinkdim=512 maxerr=4.77E-06 time=41.002
After sweep 6 energy=-129.09431  maxlinkdim=512 maxerr=1.34E-05 time=54.736
After sweep 7 energy=-129.12027  maxlinkdim=512 maxerr=1.48E-05 time=54.626
After sweep 8 energy=-129.13553  maxlinkdim=512 maxerr=1.11E-05 time=54.463
After sweep 9 energy=-129.1405  maxlinkdim=512 maxerr=8.00E-06 time=54.216
After sweep 10 energy=-129.14449  maxlinkdim=512 maxerr=7.13E-06 time=54.422
After sweep 11 energy=-129.1457  maxlinkdim=512 maxerr=6.74E-06 time=53.829
After sweep 12 energy=-129.14673  maxlinkdim=512 maxerr=6.58E-06 time=53.702
After sweep 13 energy=-129.14938  maxlinkdim=512 maxerr=6.45E-06 time=53.605
After sweep 14 energy=-129.14885  maxlinkdim=512 maxerr=6.38E-06 time=53.523
After sweep 15 energy=-129.1491  maxlinkdim=512 maxerr=6.40E-06 time=53.526
After sweep 16 energy=-129.15001  maxlinkdim=512 maxerr=6.44E-06 time=53.838
After sweep 17 energy=-129.15018  maxlinkdim=512 maxerr=6.48E-06 time=53.502
After sweep 18 energy=-129.15117  maxlinkdim=512 maxerr=6.52E-06 time=53.470
After sweep 19 energy=-129.15053  maxlinkdim=512 maxerr=6.52E-06 time=53.485
After sweep 20 energy=-129.15028  maxlinkdim=512 maxerr=6.56E-06 time=53.461
E0 = -129.15028
M = 22.000172
After sweep 1 energy=-109.80844  maxlinkdim=4 maxerr=0.00E+00 time=1.472
After sweep 2 energy=-122.57181  maxlinkdim=16 maxerr=0.00E+00 time=1.656
After sweep 3 energy=-127.77195  maxlinkdim=64 maxerr=0.00E+00 time=2.712
After sweep 4 energy=-128.85194  maxlinkdim=256 maxerr=0.00E+00 time=7.761
After sweep 5 energy=-129.07256  maxlinkdim=512 maxerr=4.81E-06 time=40.283
After sweep 6 energy=-129.12271  maxlinkdim=512 maxerr=8.86E-06 time=54.968
After sweep 7 energy=-129.1351  maxlinkdim=512 maxerr=8.39E-06 time=54.544
After sweep 8 energy=-129.14066  maxlinkdim=512 maxerr=7.36E-06 time=54.180
After sweep 9 energy=-129.14398  maxlinkdim=512 maxerr=6.77E-06 time=53.900
After sweep 10 energy=-129.14622  maxlinkdim=512 maxerr=6.52E-06 time=54.102
After sweep 11 energy=-129.14748  maxlinkdim=512 maxerr=6.44E-06 time=53.647
After sweep 12 energy=-129.14853  maxlinkdim=512 maxerr=6.46E-06 time=53.580
After sweep 13 energy=-129.14941  maxlinkdim=512 maxerr=6.48E-06 time=53.525
After sweep 14 energy=-129.15031  maxlinkdim=512 maxerr=6.50E-06 time=53.540
After sweep 15 energy=-129.1501  maxlinkdim=512 maxerr=6.52E-06 time=53.495
After sweep 16 energy=-129.15088  maxlinkdim=512 maxerr=6.53E-06 time=53.773
After sweep 17 energy=-129.15062  maxlinkdim=512 maxerr=6.55E-06 time=53.475
After sweep 18 energy=-129.1507  maxlinkdim=512 maxerr=6.56E-06 time=53.473
After sweep 19 energy=-129.15103  maxlinkdim=512 maxerr=6.58E-06 time=53.438
After sweep 20 energy=-129.15053  maxlinkdim=512 maxerr=6.59E-06 time=53.426
E0 = -129.15053
M = 22.000124
After sweep 1 energy=-108.759186  maxlinkdim=4 maxerr=0.00E+00 time=1.354
