After sweep 1 energy=-107.22283  maxlinkdim=4 maxerr=2.69E-07 time=18.599
After sweep 2 energy=-122.54578  maxlinkdim=16 maxerr=6.16E-07 time=1.249
After sweep 3 energy=-127.03986  maxlinkdim=63 maxerr=9.95E-07 time=1.744
After sweep 4 energy=-127.58535  maxlinkdim=201 maxerr=1.00E-06 time=2.447
After sweep 5 energy=-127.701416  maxlinkdim=425 maxerr=1.00E-06 time=6.325
After sweep 6 energy=-127.73486  maxlinkdim=512 maxerr=4.05E-06 time=13.038
After sweep 7 energy=-127.74412  maxlinkdim=512 maxerr=5.52E-06 time=15.299
After sweep 8 energy=-127.748405  maxlinkdim=512 maxerr=5.43E-06 time=15.288
After sweep 9 energy=-127.75044  maxlinkdim=512 maxerr=4.76E-06 time=15.462
After sweep 10 energy=-127.75141  maxlinkdim=512 maxerr=4.23E-06 time=15.692
After sweep 11 energy=-127.75133  maxlinkdim=512 maxerr=3.85E-06 time=15.717
After sweep 12 energy=-127.7509  maxlinkdim=512 maxerr=3.74E-06 time=15.285
After sweep 13 energy=-127.75094  maxlinkdim=512 maxerr=3.60E-06 time=15.304
After sweep 14 energy=-127.751015  maxlinkdim=512 maxerr=3.59E-06 time=15.512
After sweep 15 energy=-127.75114  maxlinkdim=512 maxerr=3.64E-06 time=15.849
After sweep 16 energy=-127.75074  maxlinkdim=512 maxerr=3.58E-06 time=15.650
After sweep 17 energy=-127.75108  maxlinkdim=512 maxerr=3.53E-06 time=15.258
After sweep 18 energy=-127.75227  maxlinkdim=512 maxerr=3.62E-06 time=15.302
After sweep 19 energy=-127.751465  maxlinkdim=512 maxerr=3.58E-06 time=15.511
After sweep 20 energy=-127.750824  maxlinkdim=512 maxerr=3.58E-06 time=15.556
E0 = -127.750824
M = -9.242074e-5
After sweep 1 energy=-106.76388  maxlinkdim=4 maxerr=2.41E-07 time=1.059
After sweep 2 energy=-121.771095  maxlinkdim=16 maxerr=7.56E-07 time=1.111
After sweep 3 energy=-126.757416  maxlinkdim=63 maxerr=1.00E-06 time=1.604
After sweep 4 energy=-127.55381  maxlinkdim=211 maxerr=1.00E-06 time=2.791
After sweep 5 energy=-127.673035  maxlinkdim=440 maxerr=1.00E-06 time=6.379
After sweep 6 energy=-127.713295  maxlinkdim=512 maxerr=3.82E-06 time=13.062
After sweep 7 energy=-127.72659  maxlinkdim=512 maxerr=4.98E-06 time=15.129
After sweep 8 energy=-127.73359  maxlinkdim=512 maxerr=4.26E-06 time=15.233
After sweep 9 energy=-127.73722  maxlinkdim=512 maxerr=3.80E-06 time=15.429
After sweep 10 energy=-127.73991  maxlinkdim=512 maxerr=3.65E-06 time=15.682
After sweep 11 energy=-127.74038  maxlinkdim=512 maxerr=3.54E-06 time=15.661
After sweep 12 energy=-127.74138  maxlinkdim=512 maxerr=3.43E-06 time=15.204
After sweep 13 energy=-127.74134  maxlinkdim=512 maxerr=3.38E-06 time=15.206
After sweep 14 energy=-127.742584  maxlinkdim=512 maxerr=3.43E-06 time=15.403
After sweep 15 energy=-127.74236  maxlinkdim=512 maxerr=3.37E-06 time=16.020
After sweep 16 energy=-127.74244  maxlinkdim=512 maxerr=3.41E-06 time=15.192
After sweep 17 energy=-127.74273  maxlinkdim=512 maxerr=3.35E-06 time=15.192
After sweep 18 energy=-127.74254  maxlinkdim=512 maxerr=3.40E-06 time=15.206
After sweep 19 energy=-127.74245  maxlinkdim=512 maxerr=3.43E-06 time=15.398
After sweep 20 energy=-127.74189  maxlinkdim=512 maxerr=3.32E-06 time=15.972
E0 = -127.74189
