After sweep 12 energy=-269.4873  maxlinkdim=512 maxerr=2.59E-06 time=13.287
After sweep 13 energy=-269.48773  maxlinkdim=512 maxerr=2.43E-06 time=13.557
After sweep 14 energy=-269.48972  maxlinkdim=512 maxerr=2.30E-06 time=13.570
After sweep 15 energy=-269.49  maxlinkdim=512 maxerr=2.28E-06 time=13.600
After sweep 16 energy=-269.49158  maxlinkdim=512 maxerr=2.32E-06 time=14.013
After sweep 17 energy=-269.49277  maxlinkdim=512 maxerr=2.30E-06 time=13.327
After sweep 18 energy=-269.49426  maxlinkdim=512 maxerr=2.27E-06 time=13.297
After sweep 19 energy=-269.4948  maxlinkdim=512 maxerr=2.29E-06 time=13.308
After sweep 20 energy=-269.49402  maxlinkdim=512 maxerr=2.21E-06 time=13.484
E0 = -269.49402
M = 132.00018
After sweep 1 energy=-255.99425  maxlinkdim=4 maxerr=6.73E-07 time=1.176
After sweep 2 energy=-264.63385  maxlinkdim=16 maxerr=9.99E-07 time=1.266
After sweep 3 energy=-267.34128  maxlinkdim=50 maxerr=9.99E-07 time=1.587
After sweep 4 energy=-268.3474  maxlinkdim=113 maxerr=1.00E-06 time=1.799
After sweep 5 energy=-268.909  maxlinkdim=180 maxerr=1.00E-06 time=2.167
After sweep 6 energy=-269.2582  maxlinkdim=229 maxerr=1.00E-06 time=2.906
After sweep 7 energy=-269.36774  maxlinkdim=297 maxerr=1.00E-06 time=3.834
After sweep 8 energy=-269.41898  maxlinkdim=380 maxerr=1.00E-06 time=5.630
After sweep 9 energy=-269.44168  maxlinkdim=450 maxerr=1.00E-06 time=8.005
After sweep 10 energy=-269.4508  maxlinkdim=512 maxerr=2.02E-06 time=10.823
After sweep 11 energy=-269.4651  maxlinkdim=512 maxerr=4.02E-06 time=12.943
After sweep 12 energy=-269.4845  maxlinkdim=512 maxerr=3.29E-06 time=13.430
After sweep 13 energy=-269.48727  maxlinkdim=512 maxerr=2.78E-06 time=13.668
After sweep 14 energy=-269.48724  maxlinkdim=512 maxerr=2.62E-06 time=13.679
After sweep 15 energy=-269.49088  maxlinkdim=512 maxerr=2.43E-06 time=13.628
After sweep 16 energy=-269.49042  maxlinkdim=512 maxerr=2.44E-06 time=14.229
After sweep 17 energy=-269.4926  maxlinkdim=512 maxerr=2.29E-06 time=13.367
After sweep 18 energy=-269.49258  maxlinkdim=512 maxerr=2.27E-06 time=13.322
After sweep 19 energy=-269.49356  maxlinkdim=512 maxerr=2.30E-06 time=13.318
After sweep 20 energy=-269.49387  maxlinkdim=512 maxerr=2.22E-06 time=13.517
E0 = -269.49387
M = 132.00005
After sweep 1 energy=-255.44661  maxlinkdim=4 maxerr=5.94E-07 time=1.145
After sweep 2 energy=-264.518  maxlinkdim=16 maxerr=9.96E-07 time=1.223
After sweep 3 energy=-267.4111  maxlinkdim=47 maxerr=9.99E-07 time=1.757
After sweep 4 energy=-268.5477  maxlinkdim=102 maxerr=1.00E-06 time=1.867
After sweep 5 energy=-269.06708  maxlinkdim=171 maxerr=1.00E-06 time=2.153
After sweep 6 energy=-269.27103  maxlinkdim=225 maxerr=1.00E-06 time=2.795
After sweep 7 energy=-269.359  maxlinkdim=293 maxerr=1.00E-06 time=3.618
