After sweep 1 energy=-555.93195  maxlinkdim=4 maxerr=9.85E-07 time=18.326
After sweep 2 energy=-556.8709  maxlinkdim=6 maxerr=1.00E-06 time=1.093
After sweep 3 energy=-556.94995  maxlinkdim=7 maxerr=9.80E-07 time=1.156
After sweep 4 energy=-556.96985  maxlinkdim=8 maxerr=1.00E-06 time=1.136
After sweep 5 energy=-556.976  maxlinkdim=8 maxerr=9.99E-07 time=1.135
After sweep 6 energy=-556.9773  maxlinkdim=8 maxerr=9.97E-07 time=1.475
After sweep 7 energy=-556.977  maxlinkdim=7 maxerr=9.81E-07 time=1.180
After sweep 8 energy=-556.9765  maxlinkdim=8 maxerr=9.79E-07 time=1.132
After sweep 9 energy=-556.97974  maxlinkdim=7 maxerr=9.73E-07 time=1.178
After sweep 10 energy=-556.9809  maxlinkdim=8 maxerr=9.66E-07 time=1.162
After sweep 11 energy=-556.9781  maxlinkdim=7 maxerr=9.86E-07 time=1.173
After sweep 12 energy=-556.9788  maxlinkdim=7 maxerr=9.79E-07 time=1.175
After sweep 13 energy=-556.9776  maxlinkdim=7 maxerr=9.77E-07 time=1.187
After sweep 14 energy=-556.9781  maxlinkdim=8 maxerr=9.96E-07 time=1.140
After sweep 15 energy=-556.97687  maxlinkdim=7 maxerr=9.86E-07 time=1.206
After sweep 16 energy=-556.9802  maxlinkdim=7 maxerr=9.75E-07 time=1.187
After sweep 17 energy=-556.97546  maxlinkdim=8 maxerr=9.92E-07 time=1.124
After sweep 18 energy=-556.9767  maxlinkdim=8 maxerr=9.97E-07 time=1.189
After sweep 19 energy=-556.97943  maxlinkdim=7 maxerr=9.90E-07 time=1.199
After sweep 20 energy=-556.9819  maxlinkdim=8 maxerr=9.73E-07 time=1.148
E0 = -556.9819
M = -0.00028542252
After sweep 1 energy=-555.5005  maxlinkdim=4 maxerr=9.48E-07 time=1.106
After sweep 2 energy=-556.87494  maxlinkdim=7 maxerr=9.96E-07 time=1.327
After sweep 3 energy=-556.9524  maxlinkdim=7 maxerr=9.98E-07 time=1.198
After sweep 4 energy=-556.97565  maxlinkdim=8 maxerr=9.68E-07 time=1.263
After sweep 5 energy=-556.97723  maxlinkdim=8 maxerr=9.99E-07 time=1.225
After sweep 6 energy=-556.98114  maxlinkdim=7 maxerr=9.90E-07 time=1.183
After sweep 7 energy=-556.9758  maxlinkdim=8 maxerr=9.78E-07 time=1.231
After sweep 8 energy=-556.97986  maxlinkdim=7 maxerr=9.98E-07 time=1.160
After sweep 9 energy=-556.9767  maxlinkdim=7 maxerr=9.91E-07 time=1.236
After sweep 10 energy=-556.9771  maxlinkdim=7 maxerr=9.97E-07 time=1.233
After sweep 11 energy=-556.97845  maxlinkdim=7 maxerr=9.88E-07 time=1.169
After sweep 12 energy=-556.97626  maxlinkdim=7 maxerr=9.96E-07 time=1.269
After sweep 13 energy=-556.9782  maxlinkdim=8 maxerr=9.79E-07 time=1.174
After sweep 14 energy=-556.98047  maxlinkdim=7 maxerr=9.91E-07 time=1.248
After sweep 15 energy=-556.9773  maxlinkdim=8 maxerr=9.92E-07 time=1.165
After sweep 16 energy=-556.9806  maxlinkdim=7 maxerr=9.85E-07 time=1.173
After sweep 17 energy=-556.9779  maxlinkdim=7 maxerr=9.88E-07 time=1.241
After sweep 18 energy=-556.9787  maxlinkdim=7 maxerr=9.97E-07 time=1.161
After sweep 19 energy=-556.9774  maxlinkdim=7 maxerr=9.77E-07 time=1.248
After sweep 20 energy=-556.979  maxlinkdim=8 maxerr=9.95E-07 time=1.173
E0 = -556.979
M = -0.00018990145
After sweep 1 energy=-555.67487  maxlinkdim=4 maxerr=9.25E-07 time=1.142
After sweep 2 energy=-556.8647  maxlinkdim=6 maxerr=9.97E-07 time=1.375
After sweep 3 energy=-556.9469  maxlinkdim=7 maxerr=9.79E-07 time=1.177
After sweep 4 energy=-556.97125  maxlinkdim=8 maxerr=9.93E-07 time=1.179
After sweep 5 energy=-556.9733  maxlinkdim=8 maxerr=9.89E-07 time=1.235
After sweep 6 energy=-556.98047  maxlinkdim=7 maxerr=9.94E-07 time=1.222
After sweep 7 energy=-556.9783  maxlinkdim=7 maxerr=9.88E-07 time=1.174
After sweep 8 energy=-556.97784  maxlinkdim=8 maxerr=9.84E-07 time=1.241
After sweep 9 energy=-556.9764  maxlinkdim=7 maxerr=9.93E-07 time=1.163
After sweep 10 energy=-556.97687  maxlinkdim=8 maxerr=9.93E-07 time=1.254
After sweep 11 energy=-556.9787  maxlinkdim=7 maxerr=9.64E-07 time=1.163
After sweep 12 energy=-556.97455  maxlinkdim=8 maxerr=9.85E-07 time=1.255
After sweep 13 energy=-556.97656  maxlinkdim=8 maxerr=9.92E-07 time=1.168
After sweep 14 energy=-556.978  maxlinkdim=8 maxerr=9.87E-07 time=1.249
After sweep 15 energy=-556.9783  maxlinkdim=8 maxerr=9.85E-07 time=1.167
After sweep 16 energy=-556.9779  maxlinkdim=8 maxerr=9.88E-07 time=1.253
After sweep 17 energy=-556.98065  maxlinkdim=7 maxerr=9.78E-07 time=1.168
After sweep 18 energy=-556.9788  maxlinkdim=8 maxerr=9.85E-07 time=1.277
After sweep 19 energy=-556.9767  maxlinkdim=7 maxerr=9.90E-07 time=1.181
After sweep 20 energy=-556.98083  maxlinkdim=7 maxerr=9.78E-07 time=1.170
E0 = -556.98083
M = -0.00016773323
After sweep 1 energy=-555.6417  maxlinkdim=4 maxerr=9.92E-07 time=1.102
After sweep 2 energy=-556.87134  maxlinkdim=6 maxerr=9.92E-07 time=1.328
After sweep 3 energy=-556.9468  maxlinkdim=7 maxerr=9.57E-07 time=1.162
After sweep 4 energy=-556.9704  maxlinkdim=8 maxerr=9.81E-07 time=1.156
After sweep 5 energy=-556.9758  maxlinkdim=8 maxerr=9.96E-07 time=1.218
After sweep 6 energy=-556.97705  maxlinkdim=8 maxerr=9.81E-07 time=1.212
After sweep 7 energy=-556.97797  maxlinkdim=8 maxerr=9.92E-07 time=1.148
After sweep 8 energy=-556.9789  maxlinkdim=7 maxerr=9.99E-07 time=1.235
After sweep 9 energy=-556.97943  maxlinkdim=8 maxerr=9.69E-07 time=1.151
After sweep 10 energy=-556.98065  maxlinkdim=8 maxerr=9.73E-07 time=1.226
After sweep 11 energy=-556.97797  maxlinkdim=8 maxerr=9.84E-07 time=1.157
After sweep 12 energy=-556.97833  maxlinkdim=7 maxerr=9.77E-07 time=1.253
After sweep 13 energy=-556.97815  maxlinkdim=7 maxerr=9.80E-07 time=1.157
After sweep 14 energy=-556.9773  maxlinkdim=7 maxerr=9.76E-07 time=1.254
After sweep 15 energy=-556.97925  maxlinkdim=7 maxerr=9.95E-07 time=1.167
After sweep 16 energy=-556.978  maxlinkdim=8 maxerr=9.96E-07 time=1.248
After sweep 17 energy=-556.9794  maxlinkdim=7 maxerr=9.96E-07 time=1.190
After sweep 18 energy=-556.9759  maxlinkdim=8 maxerr=9.79E-07 time=1.257
After sweep 19 energy=-556.97595  maxlinkdim=7 maxerr=9.93E-07 time=1.243
After sweep 20 energy=-556.97736  maxlinkdim=7 maxerr=9.93E-07 time=1.267
E0 = -556.97736
M = 0.00023983896
After sweep 1 energy=-555.62225  maxlinkdim=4 maxerr=9.11E-07 time=1.188
After sweep 2 energy=-556.8798  maxlinkdim=7 maxerr=1.00E-06 time=1.364
