After sweep 12 energy=-132.59715  maxlinkdim=512 maxerr=8.19E-05 time=28.242
After sweep 13 energy=-132.6039  maxlinkdim=512 maxerr=7.88E-05 time=28.475
After sweep 14 energy=-132.60497  maxlinkdim=512 maxerr=7.87E-05 time=27.837
After sweep 15 energy=-132.60641  maxlinkdim=512 maxerr=7.85E-05 time=28.849
After sweep 16 energy=-132.60695  maxlinkdim=512 maxerr=7.81E-05 time=27.713
After sweep 17 energy=-132.6073  maxlinkdim=512 maxerr=7.83E-05 time=27.991
After sweep 18 energy=-132.60695  maxlinkdim=512 maxerr=7.83E-05 time=28.656
After sweep 19 energy=-132.60732  maxlinkdim=512 maxerr=7.81E-05 time=27.724
After sweep 20 energy=-132.6075  maxlinkdim=512 maxerr=7.83E-05 time=28.207
E0 = -132.6075
M = -4.2750442e-5
After sweep 1 energy=-104.10425  maxlinkdim=4 maxerr=2.32E-07 time=1.291
After sweep 2 energy=-117.457214  maxlinkdim=16 maxerr=6.27E-07 time=1.386
After sweep 3 energy=-127.63771  maxlinkdim=64 maxerr=1.21E-06 time=1.982
After sweep 4 energy=-131.24002  maxlinkdim=256 maxerr=4.75E-07 time=4.214
After sweep 5 energy=-132.29012  maxlinkdim=512 maxerr=3.67E-05 time=22.036
After sweep 6 energy=-132.35236  maxlinkdim=512 maxerr=8.00E-05 time=27.798
After sweep 7 energy=-132.35942  maxlinkdim=512 maxerr=8.64E-05 time=28.521
After sweep 8 energy=-132.3627  maxlinkdim=512 maxerr=8.87E-05 time=28.119
After sweep 9 energy=-132.36418  maxlinkdim=512 maxerr=9.01E-05 time=27.970
After sweep 10 energy=-132.36519  maxlinkdim=512 maxerr=9.19E-05 time=28.752
After sweep 11 energy=-132.36752  maxlinkdim=512 maxerr=9.21E-05 time=27.751
After sweep 12 energy=-132.36693  maxlinkdim=512 maxerr=9.25E-05 time=28.232
After sweep 13 energy=-132.36691  maxlinkdim=512 maxerr=9.23E-05 time=28.531
After sweep 14 energy=-132.3673  maxlinkdim=512 maxerr=9.23E-05 time=27.861
After sweep 15 energy=-132.36752  maxlinkdim=512 maxerr=9.37E-05 time=28.872
After sweep 16 energy=-132.36897  maxlinkdim=512 maxerr=9.31E-05 time=27.765
After sweep 17 energy=-132.36852  maxlinkdim=512 maxerr=9.16E-05 time=28.037
After sweep 18 energy=-132.36836  maxlinkdim=512 maxerr=9.31E-05 time=28.710
After sweep 19 energy=-132.36934  maxlinkdim=512 maxerr=9.19E-05 time=27.781
After sweep 20 energy=-132.3691  maxlinkdim=512 maxerr=9.25E-05 time=28.272
E0 = -132.3691
M = 0.38978273
After sweep 1 energy=-104.027725  maxlinkdim=4 maxerr=2.97E-07 time=1.301
After sweep 2 energy=-118.020676  maxlinkdim=16 maxerr=8.32E-07 time=1.399
After sweep 3 energy=-127.86695  maxlinkdim=64 maxerr=8.29E-07 time=2.003
After sweep 4 energy=-131.30849  maxlinkdim=256 maxerr=4.20E-07 time=4.226
After sweep 5 energy=-132.30188  maxlinkdim=512 maxerr=3.89E-05 time=22.043
After sweep 6 energy=-132.35834  maxlinkdim=512 maxerr=8.14E-05 time=27.807
After sweep 7 energy=-132.36414  maxlinkdim=512 maxerr=9.00E-05 time=28.561
After sweep 8 energy=-132.36748  maxlinkdim=512 maxerr=9.06E-05 time=28.081
After sweep 9 energy=-132.36702  maxlinkdim=512 maxerr=9.19E-05 time=27.978
After sweep 10 energy=-132.36891  maxlinkdim=512 maxerr=9.29E-05 time=28.780
After sweep 11 energy=-132.3683  maxlinkdim=512 maxerr=9.21E-05 time=27.777
After sweep 12 energy=-132.3691  maxlinkdim=512 maxerr=9.25E-05 time=28.238
After sweep 13 energy=-132.37029  maxlinkdim=512 maxerr=9.38E-05 time=28.499
After sweep 14 energy=-132.36974  maxlinkdim=512 maxerr=9.33E-05 time=27.882
After sweep 15 energy=-132.37033  maxlinkdim=512 maxerr=9.30E-05 time=28.866
After sweep 16 energy=-132.36983  maxlinkdim=512 maxerr=9.26E-05 time=27.760
After sweep 17 energy=-132.37009  maxlinkdim=512 maxerr=9.26E-05 time=28.053
After sweep 18 energy=-132.37114  maxlinkdim=512 maxerr=9.32E-05 time=28.729
After sweep 19 energy=-132.37112  maxlinkdim=512 maxerr=9.29E-05 time=27.807
After sweep 20 energy=-132.3704  maxlinkdim=512 maxerr=9.30E-05 time=28.284
E0 = -132.3704
M = -1.6350284
After sweep 1 energy=-103.89547  maxlinkdim=4 maxerr=2.17E-07 time=1.307
After sweep 2 energy=-117.102554  maxlinkdim=16 maxerr=3.75E-07 time=1.404
After sweep 3 energy=-127.85573  maxlinkdim=64 maxerr=7.62E-07 time=1.992
After sweep 4 energy=-131.3266  maxlinkdim=256 maxerr=5.20E-07 time=4.214
After sweep 5 energy=-132.30095  maxlinkdim=512 maxerr=3.74E-05 time=22.036
After sweep 6 energy=-132.35703  maxlinkdim=512 maxerr=8.06E-05 time=27.836
After sweep 7 energy=-132.36345  maxlinkdim=512 maxerr=8.75E-05 time=28.915
After sweep 8 energy=-132.3652  maxlinkdim=512 maxerr=9.03E-05 time=27.760
After sweep 9 energy=-132.36629  maxlinkdim=512 maxerr=9.07E-05 time=27.984
After sweep 10 energy=-132.36668  maxlinkdim=512 maxerr=9.11E-05 time=28.743
After sweep 11 energy=-132.36684  maxlinkdim=512 maxerr=9.21E-05 time=27.777
After sweep 12 energy=-132.36742  maxlinkdim=512 maxerr=9.15E-05 time=28.237
After sweep 13 energy=-132.3684  maxlinkdim=512 maxerr=9.18E-05 time=28.495
After sweep 14 energy=-132.3683  maxlinkdim=512 maxerr=9.14E-05 time=27.879
After sweep 15 energy=-132.3689  maxlinkdim=512 maxerr=9.19E-05 time=28.917
After sweep 16 energy=-132.3691  maxlinkdim=512 maxerr=9.18E-05 time=27.787
After sweep 17 energy=-132.36906  maxlinkdim=512 maxerr=9.23E-05 time=28.048
After sweep 18 energy=-132.37006  maxlinkdim=512 maxerr=9.24E-05 time=28.658
After sweep 19 energy=-132.36852  maxlinkdim=512 maxerr=9.37E-05 time=27.805
After sweep 20 energy=-132.36958  maxlinkdim=512 maxerr=9.30E-05 time=28.302
E0 = -132.36958
M = -0.7126353
After sweep 1 energy=-104.11171  maxlinkdim=4 maxerr=2.55E-07 time=1.298
After sweep 2 energy=-117.85099  maxlinkdim=16 maxerr=2.61E-07 time=1.388
After sweep 3 energy=-127.910675  maxlinkdim=64 maxerr=1.25E-06 time=1.980
After sweep 4 energy=-131.40544  maxlinkdim=256 maxerr=3.98E-07 time=4.211
After sweep 5 energy=-132.31937  maxlinkdim=512 maxerr=3.89E-05 time=22.044
After sweep 6 energy=-132.36314  maxlinkdim=512 maxerr=8.03E-05 time=27.820
After sweep 7 energy=-132.36726  maxlinkdim=512 maxerr=8.69E-05 time=28.571
After sweep 8 energy=-132.36742  maxlinkdim=512 maxerr=8.91E-05 time=28.047
After sweep 9 energy=-132.36807  maxlinkdim=512 maxerr=8.98E-05 time=28.008
After sweep 10 energy=-132.36916  maxlinkdim=512 maxerr=9.07E-05 time=28.785
After sweep 11 energy=-132.36836  maxlinkdim=512 maxerr=9.07E-05 time=27.790
After sweep 12 energy=-132.3689  maxlinkdim=512 maxerr=9.12E-05 time=28.289
After sweep 13 energy=-132.36931  maxlinkdim=512 maxerr=9.05E-05 time=28.487
After sweep 14 energy=-132.3688  maxlinkdim=512 maxerr=9.07E-05 time=27.890
After sweep 15 energy=-132.36932  maxlinkdim=512 maxerr=9.14E-05 time=28.887
After sweep 16 energy=-132.36922  maxlinkdim=512 maxerr=9.08E-05 time=27.777
After sweep 17 energy=-132.3693  maxlinkdim=512 maxerr=9.15E-05 time=28.073
After sweep 18 energy=-132.3695  maxlinkdim=512 maxerr=9.13E-05 time=28.683
After sweep 19 energy=-132.36977  maxlinkdim=512 maxerr=9.13E-05 time=27.820
After sweep 20 energy=-132.36986  maxlinkdim=512 maxerr=9.13E-05 time=28.358
E0 = -132.36986
M = -0.5608648
After sweep 1 energy=-104.90633  maxlinkdim=4 maxerr=2.05E-07 time=1.311
After sweep 2 energy=-117.6288  maxlinkdim=16 maxerr=4.33E-07 time=1.414
After sweep 3 energy=-127.8029  maxlinkdim=64 maxerr=1.24E-06 time=2.000
After sweep 4 energy=-131.2817  maxlinkdim=256 maxerr=5.30E-07 time=4.253
After sweep 5 energy=-132.29982  maxlinkdim=512 maxerr=3.69E-05 time=22.070
After sweep 6 energy=-132.3557  maxlinkdim=512 maxerr=7.96E-05 time=27.836
After sweep 7 energy=-132.36372  maxlinkdim=512 maxerr=8.61E-05 time=28.883
After sweep 8 energy=-132.36588  maxlinkdim=512 maxerr=8.78E-05 time=27.776
After sweep 9 energy=-132.36679  maxlinkdim=512 maxerr=8.90E-05 time=28.017
After sweep 10 energy=-132.3661  maxlinkdim=512 maxerr=8.93E-05 time=28.739
After sweep 11 energy=-132.3675  maxlinkdim=512 maxerr=9.01E-05 time=27.782
After sweep 12 energy=-132.36732  maxlinkdim=512 maxerr=8.99E-05 time=28.275
After sweep 13 energy=-132.36842  maxlinkdim=512 maxerr=9.10E-05 time=28.532
After sweep 14 energy=-132.36826  maxlinkdim=512 maxerr=9.09E-05 time=27.927
After sweep 15 energy=-132.36824  maxlinkdim=512 maxerr=9.05E-05 time=28.929
After sweep 16 energy=-132.36852  maxlinkdim=512 maxerr=9.08E-05 time=27.783
After sweep 17 energy=-132.36823  maxlinkdim=512 maxerr=9.09E-05 time=28.051
After sweep 18 energy=-132.369  maxlinkdim=512 maxerr=9.12E-05 time=28.655
After sweep 19 energy=-132.3683  maxlinkdim=512 maxerr=9.05E-05 time=27.803
After sweep 20 energy=-132.36897  maxlinkdim=512 maxerr=9.10E-05 time=28.303
E0 = -132.36897
M = -0.6024779
After sweep 1 energy=-103.99924  maxlinkdim=4 maxerr=2.60E-07 time=1.302
After sweep 2 energy=-117.75991  maxlinkdim=16 maxerr=2.80E-07 time=1.400
After sweep 3 energy=-127.80276  maxlinkdim=64 maxerr=1.25E-06 time=1.983
After sweep 4 energy=-131.34793  maxlinkdim=256 maxerr=5.68E-07 time=4.229
After sweep 5 energy=-132.31534  maxlinkdim=512 maxerr=4.01E-05 time=22.185
After sweep 6 energy=-132.3659  maxlinkdim=512 maxerr=8.22E-05 time=27.879
After sweep 7 energy=-132.36981  maxlinkdim=512 maxerr=8.90E-05 time=28.673
After sweep 8 energy=-132.37141  maxlinkdim=512 maxerr=9.10E-05 time=28.115
After sweep 9 energy=-132.37212  maxlinkdim=512 maxerr=9.17E-05 time=28.128
After sweep 10 energy=-132.37225  maxlinkdim=512 maxerr=9.17E-05 time=28.762
After sweep 11 energy=-132.37192  maxlinkdim=512 maxerr=9.29E-05 time=27.774
After sweep 12 energy=-132.37212  maxlinkdim=512 maxerr=9.33E-05 time=28.270
After sweep 13 energy=-132.37311  maxlinkdim=512 maxerr=9.24E-05 time=28.569
After sweep 14 energy=-132.37218  maxlinkdim=512 maxerr=9.20E-05 time=27.928
After sweep 15 energy=-132.37277  maxlinkdim=512 maxerr=9.33E-05 time=28.858
After sweep 16 energy=-132.37338  maxlinkdim=512 maxerr=9.35E-05 time=27.760
After sweep 17 energy=-132.37407  maxlinkdim=512 maxerr=9.23E-05 time=28.068
After sweep 18 energy=-132.37352  maxlinkdim=512 maxerr=9.19E-05 time=28.696
After sweep 19 energy=-132.37427  maxlinkdim=512 maxerr=9.28E-05 time=27.804
After sweep 20 energy=-132.37411  maxlinkdim=512 maxerr=9.36E-05 time=28.325
E0 = -132.37411
M = 0.4093034
