After sweep 1 energy=-104.63033  maxlinkdim=4 maxerr=0.00E+00 time=22.062
After sweep 2 energy=-119.21858  maxlinkdim=16 maxerr=0.00E+00 time=1.565
After sweep 3 energy=-123.63311  maxlinkdim=64 maxerr=0.00E+00 time=2.651
After sweep 4 energy=-124.42626  maxlinkdim=256 maxerr=0.00E+00 time=7.884
After sweep 5 energy=-124.55535  maxlinkdim=512 maxerr=4.36E-06 time=40.348
After sweep 6 energy=-124.56051  maxlinkdim=512 maxerr=6.17E-06 time=53.537
After sweep 7 energy=-124.561424  maxlinkdim=512 maxerr=6.05E-06 time=53.218
After sweep 8 energy=-124.56129  maxlinkdim=512 maxerr=6.03E-06 time=53.198
After sweep 9 energy=-124.56153  maxlinkdim=512 maxerr=6.02E-06 time=53.167
After sweep 10 energy=-124.56143  maxlinkdim=512 maxerr=6.02E-06 time=53.456
After sweep 11 energy=-124.56108  maxlinkdim=512 maxerr=6.02E-06 time=53.201
After sweep 12 energy=-124.56091  maxlinkdim=512 maxerr=6.02E-06 time=53.194
After sweep 13 energy=-124.561935  maxlinkdim=512 maxerr=6.02E-06 time=53.150
After sweep 14 energy=-124.560936  maxlinkdim=512 maxerr=6.02E-06 time=53.183
After sweep 15 energy=-124.56132  maxlinkdim=512 maxerr=6.02E-06 time=53.125
After sweep 16 energy=-124.56142  maxlinkdim=512 maxerr=6.02E-06 time=53.366
After sweep 17 energy=-124.56188  maxlinkdim=512 maxerr=6.02E-06 time=53.095
After sweep 18 energy=-124.560684  maxlinkdim=512 maxerr=6.02E-06 time=53.083
After sweep 19 energy=-124.56184  maxlinkdim=512 maxerr=6.02E-06 time=53.059
After sweep 20 energy=-124.56149  maxlinkdim=512 maxerr=6.02E-06 time=53.080
E0 = -124.56149
M = 1.7456266
After sweep 1 energy=-104.70435  maxlinkdim=4 maxerr=0.00E+00 time=1.303
After sweep 2 energy=-119.31409  maxlinkdim=16 maxerr=0.00E+00 time=1.531
After sweep 3 energy=-123.58729  maxlinkdim=64 maxerr=0.00E+00 time=2.608
After sweep 4 energy=-124.42394  maxlinkdim=256 maxerr=0.00E+00 time=7.636
After sweep 5 energy=-124.55519  maxlinkdim=512 maxerr=4.37E-06 time=39.405
After sweep 6 energy=-124.562675  maxlinkdim=512 maxerr=6.13E-06 time=53.399
After sweep 7 energy=-124.562  maxlinkdim=512 maxerr=6.03E-06 time=53.024
After sweep 8 energy=-124.56254  maxlinkdim=512 maxerr=6.01E-06 time=53.084
After sweep 9 energy=-124.56351  maxlinkdim=512 maxerr=6.02E-06 time=53.078
After sweep 10 energy=-124.56207  maxlinkdim=512 maxerr=6.02E-06 time=53.354
After sweep 11 energy=-124.56273  maxlinkdim=512 maxerr=6.02E-06 time=53.163
After sweep 12 energy=-124.56266  maxlinkdim=512 maxerr=6.02E-06 time=53.188
After sweep 13 energy=-124.56283  maxlinkdim=512 maxerr=6.01E-06 time=53.142
After sweep 14 energy=-124.56286  maxlinkdim=512 maxerr=6.01E-06 time=53.155
After sweep 15 energy=-124.56275  maxlinkdim=512 maxerr=6.02E-06 time=53.079
After sweep 16 energy=-124.56243  maxlinkdim=512 maxerr=6.02E-06 time=53.254
After sweep 17 energy=-124.56266  maxlinkdim=512 maxerr=6.02E-06 time=53.182
After sweep 18 energy=-124.562996  maxlinkdim=512 maxerr=6.01E-06 time=53.205
After sweep 19 energy=-124.56296  maxlinkdim=512 maxerr=6.02E-06 time=53.109
