After sweep 1 energy=-104.52212  maxlinkdim=4 maxerr=0.00E+00 time=23.122
After sweep 2 energy=-119.35505  maxlinkdim=16 maxerr=0.00E+00 time=1.591
After sweep 3 energy=-123.792244  maxlinkdim=64 maxerr=0.00E+00 time=2.724
After sweep 4 energy=-124.6203  maxlinkdim=256 maxerr=0.00E+00 time=7.970
After sweep 5 energy=-124.7565  maxlinkdim=512 maxerr=4.62E-06 time=40.540
After sweep 6 energy=-124.764084  maxlinkdim=512 maxerr=6.17E-06 time=53.432
After sweep 7 energy=-124.7643  maxlinkdim=512 maxerr=6.02E-06 time=53.126
After sweep 8 energy=-124.76465  maxlinkdim=512 maxerr=6.01E-06 time=53.148
After sweep 9 energy=-124.76438  maxlinkdim=512 maxerr=6.01E-06 time=53.219
After sweep 10 energy=-124.764244  maxlinkdim=512 maxerr=6.01E-06 time=53.627
After sweep 11 energy=-124.76363  maxlinkdim=512 maxerr=6.02E-06 time=53.177
After sweep 12 energy=-124.76423  maxlinkdim=512 maxerr=6.01E-06 time=53.127
After sweep 13 energy=-124.76442  maxlinkdim=512 maxerr=6.01E-06 time=53.144
After sweep 14 energy=-124.76453  maxlinkdim=512 maxerr=6.01E-06 time=53.167
After sweep 15 energy=-124.76479  maxlinkdim=512 maxerr=6.01E-06 time=53.161
After sweep 16 energy=-124.763855  maxlinkdim=512 maxerr=6.01E-06 time=53.511
After sweep 17 energy=-124.764366  maxlinkdim=512 maxerr=6.01E-06 time=53.130
After sweep 18 energy=-124.76384  maxlinkdim=512 maxerr=6.01E-06 time=53.110
After sweep 19 energy=-124.76458  maxlinkdim=512 maxerr=6.00E-06 time=53.143
After sweep 20 energy=-124.76457  maxlinkdim=512 maxerr=6.01E-06 time=53.134
E0 = -124.76457
M = 2.0000095
After sweep 1 energy=-104.41265  maxlinkdim=4 maxerr=0.00E+00 time=1.358
After sweep 2 energy=-119.191  maxlinkdim=16 maxerr=0.00E+00 time=1.592
After sweep 3 energy=-123.620155  maxlinkdim=64 maxerr=0.00E+00 time=2.724
After sweep 4 energy=-124.4259  maxlinkdim=256 maxerr=5.57E-18 time=7.722
After sweep 5 energy=-124.7103  maxlinkdim=512 maxerr=4.22E-06 time=39.558
After sweep 6 energy=-124.76004  maxlinkdim=512 maxerr=8.30E-06 time=53.485
After sweep 7 energy=-124.763504  maxlinkdim=512 maxerr=6.37E-06 time=53.241
After sweep 8 energy=-124.76416  maxlinkdim=512 maxerr=6.03E-06 time=53.183
After sweep 9 energy=-124.76418  maxlinkdim=512 maxerr=6.02E-06 time=53.223
After sweep 10 energy=-124.764305  maxlinkdim=512 maxerr=6.01E-06 time=53.613
After sweep 11 energy=-124.76349  maxlinkdim=512 maxerr=6.01E-06 time=53.173
After sweep 12 energy=-124.76471  maxlinkdim=512 maxerr=6.00E-06 time=53.148
After sweep 13 energy=-124.76454  maxlinkdim=512 maxerr=6.00E-06 time=53.169
After sweep 14 energy=-124.76472  maxlinkdim=512 maxerr=6.00E-06 time=53.194
After sweep 15 energy=-124.76476  maxlinkdim=512 maxerr=6.00E-06 time=53.208
After sweep 16 energy=-124.76467  maxlinkdim=512 maxerr=6.00E-06 time=53.629
After sweep 17 energy=-124.76414  maxlinkdim=512 maxerr=6.00E-06 time=53.253
After sweep 18 energy=-124.76455  maxlinkdim=512 maxerr=6.00E-06 time=53.217
After sweep 19 energy=-124.76456  maxlinkdim=512 maxerr=6.00E-06 time=53.186
After sweep 20 energy=-124.76387  maxlinkdim=512 maxerr=5.99E-06 time=53.198
E0 = -124.76387
M = 2.0000062
After sweep 1 energy=-104.64839  maxlinkdim=4 maxerr=0.00E+00 time=1.356
After sweep 2 energy=-119.44722  maxlinkdim=16 maxerr=0.00E+00 time=1.581
After sweep 3 energy=-123.79657  maxlinkdim=64 maxerr=0.00E+00 time=2.675
After sweep 4 energy=-124.62012  maxlinkdim=256 maxerr=0.00E+00 time=7.733
After sweep 5 energy=-124.75642  maxlinkdim=512 maxerr=4.27E-06 time=39.546
After sweep 6 energy=-124.76344  maxlinkdim=512 maxerr=6.23E-06 time=53.424
After sweep 7 energy=-124.76457  maxlinkdim=512 maxerr=6.02E-06 time=53.173
After sweep 8 energy=-124.76428  maxlinkdim=512 maxerr=6.01E-06 time=53.155
After sweep 9 energy=-124.764145  maxlinkdim=512 maxerr=6.02E-06 time=53.185
After sweep 10 energy=-124.764  maxlinkdim=512 maxerr=6.02E-06 time=53.566
After sweep 11 energy=-124.76441  maxlinkdim=512 maxerr=6.01E-06 time=53.178
After sweep 12 energy=-124.76418  maxlinkdim=512 maxerr=6.01E-06 time=53.121
After sweep 13 energy=-124.764404  maxlinkdim=512 maxerr=6.00E-06 time=53.118
After sweep 14 energy=-124.76447  maxlinkdim=512 maxerr=6.00E-06 time=53.170
After sweep 15 energy=-124.76405  maxlinkdim=512 maxerr=6.00E-06 time=53.166
After sweep 16 energy=-124.76474  maxlinkdim=512 maxerr=6.00E-06 time=53.516
After sweep 17 energy=-124.76415  maxlinkdim=512 maxerr=5.99E-06 time=53.098
After sweep 18 energy=-124.76574  maxlinkdim=512 maxerr=5.99E-06 time=53.138
After sweep 19 energy=-124.76484  maxlinkdim=512 maxerr=5.99E-06 time=53.172
After sweep 20 energy=-124.76395  maxlinkdim=512 maxerr=5.99E-06 time=53.141
E0 = -124.76395
M = 2.0000043
After sweep 1 energy=-106.0041  maxlinkdim=4 maxerr=0.00E+00 time=1.373
After sweep 2 energy=-119.50097  maxlinkdim=16 maxerr=0.00E+00 time=1.603
After sweep 3 energy=-123.78699  maxlinkdim=64 maxerr=0.00E+00 time=2.669
After sweep 4 energy=-124.62048  maxlinkdim=256 maxerr=0.00E+00 time=7.723
After sweep 5 energy=-124.75684  maxlinkdim=512 maxerr=4.35E-06 time=39.523
After sweep 6 energy=-124.76347  maxlinkdim=512 maxerr=6.06E-06 time=53.511
After sweep 7 energy=-124.7637  maxlinkdim=512 maxerr=6.01E-06 time=53.158
After sweep 8 energy=-124.76413  maxlinkdim=512 maxerr=6.01E-06 time=53.193
After sweep 9 energy=-124.76424  maxlinkdim=512 maxerr=6.01E-06 time=53.188
After sweep 10 energy=-124.76365  maxlinkdim=512 maxerr=6.00E-06 time=53.584
After sweep 11 energy=-124.76393  maxlinkdim=512 maxerr=6.00E-06 time=53.221
After sweep 12 energy=-124.76528  maxlinkdim=512 maxerr=5.99E-06 time=53.175
After sweep 13 energy=-124.764046  maxlinkdim=512 maxerr=5.99E-06 time=53.144
After sweep 14 energy=-124.76389  maxlinkdim=512 maxerr=5.99E-06 time=53.186
After sweep 15 energy=-124.764755  maxlinkdim=512 maxerr=5.99E-06 time=53.170
After sweep 16 energy=-124.76451  maxlinkdim=512 maxerr=5.99E-06 time=53.537
After sweep 17 energy=-124.763954  maxlinkdim=512 maxerr=5.99E-06 time=53.154
After sweep 18 energy=-124.76453  maxlinkdim=512 maxerr=5.99E-06 time=53.159
After sweep 19 energy=-124.763824  maxlinkdim=512 maxerr=5.98E-06 time=53.126
After sweep 20 energy=-124.764824  maxlinkdim=512 maxerr=5.99E-06 time=53.151
E0 = -124.764824
M = 2.0000117
After sweep 1 energy=-104.59692  maxlinkdim=4 maxerr=0.00E+00 time=1.313
After sweep 2 energy=-119.39791  maxlinkdim=16 maxerr=0.00E+00 time=1.630
After sweep 3 energy=-123.80153  maxlinkdim=64 maxerr=0.00E+00 time=2.778
After sweep 4 energy=-124.62326  maxlinkdim=256 maxerr=0.00E+00 time=7.746
After sweep 5 energy=-124.757126  maxlinkdim=512 maxerr=4.29E-06 time=39.512
After sweep 6 energy=-124.76319  maxlinkdim=512 maxerr=6.39E-06 time=53.450
After sweep 7 energy=-124.76397  maxlinkdim=512 maxerr=6.03E-06 time=53.118
After sweep 8 energy=-124.763985  maxlinkdim=512 maxerr=6.04E-06 time=53.211
After sweep 9 energy=-124.76412  maxlinkdim=512 maxerr=6.04E-06 time=53.203
After sweep 10 energy=-124.76452  maxlinkdim=512 maxerr=6.03E-06 time=53.625
After sweep 11 energy=-124.764244  maxlinkdim=512 maxerr=6.02E-06 time=53.221
After sweep 12 energy=-124.764275  maxlinkdim=512 maxerr=6.01E-06 time=53.193
After sweep 13 energy=-124.76466  maxlinkdim=512 maxerr=6.01E-06 time=53.195
After sweep 14 energy=-124.764626  maxlinkdim=512 maxerr=6.00E-06 time=53.181
After sweep 15 energy=-124.76427  maxlinkdim=512 maxerr=6.00E-06 time=53.152
After sweep 16 energy=-124.764275  maxlinkdim=512 maxerr=6.00E-06 time=53.545
After sweep 17 energy=-124.76462  maxlinkdim=512 maxerr=6.00E-06 time=53.153
After sweep 18 energy=-124.76421  maxlinkdim=512 maxerr=6.00E-06 time=53.153
After sweep 19 energy=-124.76476  maxlinkdim=512 maxerr=6.00E-06 time=53.122
After sweep 20 energy=-124.76409  maxlinkdim=512 maxerr=5.99E-06 time=53.117
E0 = -124.76409
M = 2.0000038
After sweep 1 energy=-104.260124  maxlinkdim=4 maxerr=0.00E+00 time=1.279
After sweep 2 energy=-119.47106  maxlinkdim=16 maxerr=0.00E+00 time=1.639
After sweep 3 energy=-123.78224  maxlinkdim=64 maxerr=0.00E+00 time=2.744
After sweep 4 energy=-124.61935  maxlinkdim=256 maxerr=0.00E+00 time=7.770
After sweep 5 energy=-124.75714  maxlinkdim=512 maxerr=4.38E-06 time=39.567
After sweep 6 energy=-124.764244  maxlinkdim=512 maxerr=6.30E-06 time=53.524
After sweep 7 energy=-124.7645  maxlinkdim=512 maxerr=6.02E-06 time=53.219
