After sweep 1 energy=-168.28027  maxlinkdim=4 maxerr=0.00E+00 time=22.320
After sweep 2 energy=-183.80179  maxlinkdim=16 maxerr=0.00E+00 time=1.602
After sweep 3 energy=-187.93954  maxlinkdim=64 maxerr=0.00E+00 time=2.708
After sweep 4 energy=-188.56104  maxlinkdim=256 maxerr=6.37E-18 time=8.546
After sweep 5 energy=-188.69745  maxlinkdim=512 maxerr=7.90E-09 time=36.753
After sweep 6 energy=-188.97363  maxlinkdim=512 maxerr=2.73E-05 time=49.095
After sweep 7 energy=-189.27531  maxlinkdim=512 maxerr=2.07E-07 time=49.097
After sweep 8 energy=-189.46664  maxlinkdim=512 maxerr=3.14E-07 time=49.336
After sweep 9 energy=-189.65598  maxlinkdim=512 maxerr=6.62E-07 time=49.335
After sweep 10 energy=-189.93669  maxlinkdim=512 maxerr=3.23E-06 time=49.768
After sweep 11 energy=-190.39117  maxlinkdim=512 maxerr=2.01E-06 time=49.146
After sweep 12 energy=-190.88141  maxlinkdim=512 maxerr=5.91E-07 time=49.050
After sweep 13 energy=-191.02875  maxlinkdim=512 maxerr=2.06E-07 time=49.264
After sweep 14 energy=-191.10397  maxlinkdim=512 maxerr=2.93E-07 time=49.577
After sweep 15 energy=-191.15265  maxlinkdim=512 maxerr=5.41E-07 time=49.454
After sweep 16 energy=-191.18916  maxlinkdim=512 maxerr=9.28E-07 time=50.096
After sweep 17 energy=-191.20229  maxlinkdim=512 maxerr=4.59E-07 time=49.506
After sweep 18 energy=-191.21231  maxlinkdim=512 maxerr=5.87E-07 time=49.979
After sweep 19 energy=-191.2204  maxlinkdim=512 maxerr=8.31E-07 time=50.466
After sweep 20 energy=-191.22461  maxlinkdim=512 maxerr=8.26E-07 time=51.193
E0 = -191.22461
M = 81.45848
After sweep 1 energy=-171.59912  maxlinkdim=4 maxerr=0.00E+00 time=1.392
After sweep 2 energy=-184.97992  maxlinkdim=16 maxerr=0.00E+00 time=1.613
After sweep 3 energy=-187.31374  maxlinkdim=64 maxerr=0.00E+00 time=2.691
After sweep 4 energy=-188.18982  maxlinkdim=256 maxerr=1.48E-20 time=7.629
After sweep 5 energy=-188.4302  maxlinkdim=512 maxerr=4.63E-08 time=36.639
