After sweep 1 energy=-226.7441  maxlinkdim=4 maxerr=8.85E-07 time=18.665
After sweep 2 energy=-235.49937  maxlinkdim=16 maxerr=9.99E-07 time=1.330
After sweep 3 energy=-238.14742  maxlinkdim=54 maxerr=1.00E-06 time=1.585
After sweep 4 energy=-239.1735  maxlinkdim=115 maxerr=1.00E-06 time=1.814
After sweep 5 energy=-239.49277  maxlinkdim=206 maxerr=1.00E-06 time=2.499
After sweep 6 energy=-239.64502  maxlinkdim=257 maxerr=1.00E-06 time=3.343
After sweep 7 energy=-239.72563  maxlinkdim=320 maxerr=1.00E-06 time=4.504
After sweep 8 energy=-239.78593  maxlinkdim=358 maxerr=1.00E-06 time=5.926
After sweep 9 energy=-239.8285  maxlinkdim=381 maxerr=1.00E-06 time=6.623
After sweep 10 energy=-239.84308  maxlinkdim=395 maxerr=1.00E-06 time=7.329
After sweep 11 energy=-239.84515  maxlinkdim=398 maxerr=1.00E-06 time=7.368
After sweep 12 energy=-239.8446  maxlinkdim=395 maxerr=1.00E-06 time=7.428
After sweep 13 energy=-239.84715  maxlinkdim=394 maxerr=1.00E-06 time=7.372
After sweep 14 energy=-239.8471  maxlinkdim=390 maxerr=1.00E-06 time=7.348
After sweep 15 energy=-239.84515  maxlinkdim=391 maxerr=1.00E-06 time=7.301
After sweep 16 energy=-239.84557  maxlinkdim=391 maxerr=1.00E-06 time=7.446
After sweep 17 energy=-239.84714  maxlinkdim=392 maxerr=1.00E-06 time=7.494
After sweep 18 energy=-239.84639  maxlinkdim=391 maxerr=1.00E-06 time=7.513
After sweep 19 energy=-239.8472  maxlinkdim=392 maxerr=1.00E-06 time=7.499
After sweep 20 energy=-239.84726  maxlinkdim=393 maxerr=1.00E-06 time=7.586
E0 = -239.84726
M = -4.906427e-5
After sweep 1 energy=-226.30298  maxlinkdim=4 maxerr=9.23E-07 time=1.130
After sweep 2 energy=-235.6944  maxlinkdim=16 maxerr=9.85E-07 time=1.219
After sweep 3 energy=-238.37453  maxlinkdim=49 maxerr=1.00E-06 time=1.531
After sweep 4 energy=-239.34348  maxlinkdim=106 maxerr=1.00E-06 time=1.851
After sweep 5 energy=-239.61546  maxlinkdim=174 maxerr=1.00E-06 time=2.293
After sweep 6 energy=-239.69221  maxlinkdim=250 maxerr=1.00E-06 time=3.306
After sweep 7 energy=-239.71518  maxlinkdim=328 maxerr=1.00E-06 time=4.680
