bond_dimension,energy,final_maxerr
513,-0.53614047776006035,1.2483593593333343e-05
1025,-0.53623664628808276,2.6881712910558742e-06
2049,-0.53625839176936174,5.3744133620235792e-07
4096,-0.53626237822188871,7.9949361058049493e-08
