chi,E0,E_per_site,S,final_maxerr,energy_variance,energy_variance_per_site,m1202_bulk_connected,m120_bulk_connected,m1202_full_connected,m1202_offdiag_bulk_connected,best_K,rms_dZ_to_highest_chi,max_dZ_to_highest_chi,rms_dCconn_to_highest_chi,max_dCconn_to_highest_chi,path
513,-115.80634319617305,-0.53614047776006035,1.9109080563818817,1.2483593593333343e-05,0.11239377503261494,0.00052034155107692098,0.015646703994863797,0.12508678585231853,0.012005624545366226,0.011250160314992753,K2,0.00035997727429747583,0.0014301537640286355,0.0002961738314649596,0.0013328048315268126,processed_data/ground_state_search_C6_L36_J0.043_1Delta1.0_2Delta1.0_chi513.h5
1025,-115.82711559822587,-0.53623664628808276,1.9521174976188218,2.6881712910558742e-06,0.027499930165504338,0.00012731449150696453,0.015927675680425673,0.12620489562780707,0.012221521915522535,0.011532841356959235,K2,9.8531029086836098e-05,0.00038770548524341697,7.8304947796479227e-05,0.00033526780957282565,processed_data/ground_state_search_C6_L36_J0.043_1Delta1.0_2Delta1.0_chi1025.h5
2049,-115.83181262218214,-0.53625839176936174,1.9692613886521591,5.3744133620235792e-07,0.0055267362295126077,2.5586741803299111e-05,0.016039830830105004,0.12664845372172928,0.012308056535980423,0.011645675509786922,K2,0,0,0,0,processed_data/ground_state_search_C6_L36_J0.043_1Delta1.0_2Delta1.0_chi2049.h5
