chi,E0,E_per_site,S,final_maxerr,energy_variance,energy_variance_per_site,m1202_bulk_connected,m120_bulk_connected,m1202_full_connected,m1202_offdiag_bulk_connected,best_K,rms_dZ_to_highest_chi,max_dZ_to_highest_chi,rms_dCconn_to_highest_chi,max_dCconn_to_highest_chi,path
513,-115.80634319617305,-0.53614047776006035,1.9109080563818817,1.2483593593333343e-05,0.11239377503261494,0.00052034155107692098,0.015646703994863797,0.12508678585231853,0.012005624545366226,0.011250160314992753,K2,0.00038585481190119762,0.0015372125662888869,0.0003168396844365566,0.0014181437864191626,processed_data/ground_state_search_C6_L36_J0.043_1Delta1.0_2Delta1.0_chi513.h5
1025,-115.82711559822587,-0.53623664628808276,1.9521174976188218,2.6881712910558742e-06,0.027499930165504338,0.00012731449150696453,0.015927675680425673,0.12620489562780707,0.012221521915522535,0.011532841356959235,K2,0.00012519224494324959,0.00049476428750366841,0.00010086440847090574,0.00042213695895944314,processed_data/ground_state_search_C6_L36_J0.043_1Delta1.0_2Delta1.0_chi1025.h5
2049,-115.83181262218214,-0.53625839176936174,1.9692613886521591,5.3744133620235792e-07,0.0055267362295126077,2.5586741803299111e-05,0.016039830830105004,0.12664845372172928,0.012308056535980423,0.011645675509786922,K2,2.6913932519117797e-05,0.00010705880226025144,2.3430337214631718e-05,8.7507991573781974e-05,processed_data/ground_state_search_C6_L36_J0.043_1Delta1.0_2Delta1.0_chi2049.h5
4096,-115.83267369592797,-0.53626237822188871,1.9746043285848252,7.9949361058049493e-08,NaN,NaN,0.016075230145154489,0.12678813093170233,0.012335678394918127,0.011681288273264725,K2,0,0,0,0,processed_data/ground_state_search_C6_L36_J0.043_1Delta1.0_2Delta1.0_chi4096.h5
